id,nome,originalPais,currentPais,lat,lon,nearestCity,nearestCc,distKm,hotelCount
11842,"Mestia",GE,RU,43.043762,42.724453,"Tyrnyauz",RU,40.8,55
3861,"Bangkok/Khao San Road",TH,IE,53.35222,-7.20167,"Edenderry",IE,10.3,54
9032,"Idyllwild",MX,US,33.740276,-116.71894,"Valle Vista",US,16.1,52
18973,"Yonghe",PH,CN,36.759502,110.62649,"Wayaobu",CN,95.6,50
3220,"Amsterdam/Canal District",NL,IT,44.79532,7.99373,"Alba",IT,11.1,48
4616,"Boston/North End",US,GB,52.9556,-0.1677266,"Boston",GB,9.7,45
11221,"Macau/Peninsula",CN,MO,22.115894,113.5717,"Luhuan",MO,2.0,44
3532,"A Taste of Coastal Texas",MX,US,31.25044,-99.25061,"Brady",US,15.1,43
11754,"Medicine Park",BR,US,34.727478,-98.501366,"Lawton",US,16.7,42
22747,"L'Estartit",FR,ES,42.051216,3.1990824,"Torroella de Montgrí",ES,6.0,42
26460,"Voyages of Ibn Battuta",CN,AF,34.21105,61.94619,"Chahār Burj",AF,22.9,42
12985,"Norfolk Island",AU,NF,-29.032804,167.94832,"Kingston",NF,3.0,41
18480,"Wellfleet",BR,US,41.937607,-70.0328,"Eastham",US,12.9,41
22541,"Albufera Natural Park",ES,AU,-34.5902,150.6012,"Albion Park",AU,16.1,41
22624,"Södra Kungsleden",NO,SE,59.09184,15.158297,"Kumla",SE,4.1,41
23055,"Prehistoric Pile Dwellings around the Alps",CH,JM,18.33333,-77.51667,"Duncans",JM,15.1,41
6521,"D-Day beaches",FR,FR,54.83909,-111.96596,"Bonnyville",CA,101.7,40
4896,"Bukit Peninsula",ID,US,41.24117,-81.55262,"Macedonia",US,8.9,40
5631,"Chatham Islands",NZ,SD,22.42446,31.82595,"Wadi Halfa",SD,84.1,40
6718,"Diving the Cape Peninsula and False Bay",ZA,CA,49.49128,-124.35006,"Qualicum Beach",CA,17.3,40
11122,"Lubec",US,CA,44.86117,-66.9835,"Eastern Charlotte",CA,30.7,40
12673,"Natuna Islands",CN,ID,3.9305165,108.19015,"Ranai Kota",ID,20.8,40
13591,"Pai",TH,ID,-8.441723,119.00121,"Bima",ID,30.3,40
19249,"Christianity",PH,US,34.82919,-111.75673,"Sedona",US,4.5,40
22292,"Prespa (North Macedonia)",GR,MK,40.885864,21.035168,"Resen",MK,22.8,40
26126,"Taman Mini Indonesia Indah",ID,DZ,36.01159,3.08254,"’Aïn Boucif",DZ,15.0,40
28122,"Hapcheon",KR,ES,38.56288,1.68172,"Ibiza",ES,44.1,40
4324,"Bhutan",IN,BT,27.549511,90.511925,"Trongsa",BT,5.2,39
5428,"Cave City",NZ,US,37.18962,-82.06933,"Richlands",US,26.7,39
10131,"Ko Lipe",TH,MY,6.487591,99.30247,"Padang Mat Sirat",MY,49.9,39
16430,"Southeast Arizona",MX,CZ,49.4763,16.16517,"Bystřice nad Pernštejnem",CZ,8.7,39
21724,"Ancient Egypt",EG,SG,1.2536728,103.82284,"Telok Blangah",SG,2.6,39
24117,"Salla",RU,AT,47.108597,14.972965,"Voitsberg",AT,15.4,39
24185,"Via Pontica",RO,IT,44.57433,11.470535,"Granarolo dell'Emilia e Viadagola",IT,3.2,39
8575,"Havelock Island",TH,IN,11.965196,92.99562,"Bamboo Flat",IN,42.3,38
23317,"Pangaion Hills",GR,US,41.55419,-91.53489,"Iowa City",US,11.9,38
24880,"Quirindi",AU,TZ,-10.613341,40.56546,"Madimba",TZ,34.7,38
23066,"Kremnica",HU,SK,48.704212,18.917484,"Handlová",SK,11.8,37
15403,"Samothrace",GR,TR,40.474434,25.524815,"Gökçeada",TR,44.5,35
21522,"Old West",FR,IT,41.13871,14.313234,"San Prisco",IT,6.6,35
12941,"Niue",NZ,NU,-19.053642,-169.86134,"Alofi",NU,6.1,34
20205,"Benson (Arizona)",MX,US,31.967989,-110.294334,"Vail",US,40.4,34
21201,"Käsivarsi Wilderness Area",NO,IT,44.83141,9.41722,"Solaro",IT,20.0,33
10512,"Lamai",TH,TZ,-1.5617577,34.70204,"Matongo",TZ,22.5,32
21790,"Industrial Britain",GB,US,41.663143,-72.75435,"New Britain",US,2.1,32
10893,"Listvyanka",CN,RU,51.85693,104.86058,"Rechka-Vydrino",RU,41.1,31
17211,"Tel Aviv/South and East",CN,JM,17.901588,-77.74622,"Bull Savannah",JM,16.6,31
24142,"Muonio",SE,FI,67.95934,23.677404,"Kittilä",FI,60.7,31
24252,"Záhony",AT,UA,48.402905,22.178768,"Chop",UA,3.7,31
24481,"Huxi",TW,CN,29.179052,120.387146,"Ānwén",CN,14.2,31
4910,"Bundang",KR,CM,9.13333,12.95,"Tchéboa",CM,28.3,30
9965,"Kilpisjärvi",FI,NO,69.04836,20.79846,"Tromsdalen",NO,96.7,30
20751,"Baengnyeong Island",KR,KP,37.938976,124.70337,"Changyŏn",KP,48.8,30
21835,"E6 through Sweden and Norway",RU,NO,62,10,"Røros",NO,95.9,30
3227,"Amsterdam/West",NL,CM,5.5,10.66667,"Foumbot",CM,3.9,29
3604,"Austin/UT and the Drag",US,RO,47.01667,23.4,"Baciu",RO,25.7,29
23529,"Alona Beach",PH,VN,13.51396,109.34533,"Sông Cầu",VN,14.7,29
24555,"On the trail of Alexander the Great",GR,ZA,-26.262312,27.996586,"Johannesburg",ZA,8.2,29
12612,"Nanton",CA,FR,46.61981,4.8154435,"Tournus",FR,9.0,28
14543,"Punakaiki",NZ,IT,44.63799,10.89211,"Modena",IT,2.9,28
17844,"Ukraine",RU,UA,49.487198,31.271832,"Korsun-Shevchenkivskyi",UA,7.8,28
21727,"Surfing",PE,VN,10.950278,108.254456,"Mui Ne",VN,3.7,28
2948,"Aguas Calientes",PE,AR,-24.584251,-64.92321,"San Pedro de Jujuy",AR,39.7,27
3180,"Amber Road",IT,US,37.008892,-81.27254,"Wytheville",US,18.0,27
5853,"Christmas Island",GB,CX,-10.483777,105.64723,"Flying Fish Cove",CX,7.7,27
9719,"Kaslo",CH,CA,49.912155,-116.90489,"Nelson",CA,53.4,27
20089,"Storlien",DE,NO,63.316605,12.100724,"Verdal",NO,61.2,27
20145,"Swedish Classic Circuit",SE,DE,52.52413,9.756553,"Isernhagen Farster Bauerschaft",DE,8.3,27
22273,"Hogeland",NL,US,48.85424,-108.65713,"Havre",US,82.6,27
24271,"Speakeasies",US,MX,25.12444,-100.47639,"Santiago",MX,46.6,27
26076,"San Fili",IT,FR,42.27808,9.77354,"Borgo",FR,41.9,27
10556,"Langeland",DK,DE,51.78241,8.997726,"Altenbeken",DE,4.3,26
11111,"Lower Mainland",CA,US,40.255936,-75.360176,"Kulpsville",US,2.5,26
16678,"St. Joseph Island",CA,US,46.189407,-83.931114,"Sault Ste. Marie",US,46.6,26
22242,"Oldambt",DE,NL,53.22234,7.0689826,"Winschoten",NL,9.0,26
22645,"Tubac",ES,US,31.61259,-111.04592,"Rio Rico",US,17.0,26
23598,"Begur",GB,ES,41.954193,3.208835,"Palafrugell",ES,5.6,26
16149,"Sigiriya",IN,LK,7.9498096,80.746346,"Dambulla",LK,14.4,25
28117,"Swedish canon",SE,DE,53.13897,14.2816,"Schwedt (Oder)",DE,8.8,25
5977,"Cloudcroft",MX,US,32.957664,-105.74272,"Alamogordo",US,21.3,24
8678,"Herculaneum",IT,US,38.268387,-90.38012,"Pevely",US,2.1,24
21933,"Juist",DE,NL,52.944424,6.9913173,"Musselkanaal",NL,2.1,24
8774,"Hiva Oa",FR,FR,-9.7793255,-139.00679,"Taiohae",PF,154.0,23
