id,nome,pais_code,pais,hotelCount
23654,"Letenye",HR,HR,52
13026,"North Coast (Zealand)",FI,FI,51
17652,"Triglav National Park",IT,IT,50
6506,"Dawson City",CA,CA,49
18169,"Villach",AT,AT,48
11220,"Macau/Cotai",CN,CN,47
4230,"Bergen",NO,NO,44
27016,"Maritime history",NZ,NZ,44
24194,"Functionalist architecture in Finland",FI,FI,43
8734,"Hiking in South Africa",ZA,ZA,43
19560,"Saint Petersburg/Center",FI,FI,43
3548,"Atlanta/East",US,US,42
22357,"Aviation history",FR,FR,42
4124,"Beirut/Downtown",LB,LB,42
22169,"Lighthouses",EG,EG,42
24693,"Lusatian Lake District",NZ,NZ,42
11778,"Melilla",ES,ES,42
12099,"Monaco",MC,MC,42
13922,"Perhentian Islands",MY,MY,42
14795,"Rømø",DK,DK,42
16736,"St. Pete Beach",US,US,42
24795,"Tourist Drive 33",AU,AU,42
24066,"Via Egnatia",GR,GR,42
23500,"Biomes and ecosystems",AU,AU,41
4403,"Birmingham",US,US,41
22817,"Cycling the Western Sahara",MA,MA,41
23368,"Fortifications",CN,CN,41
22598,"Iskandar Puteri",MY,MY,41
20013,"Judaism",EG,EG,41
7572,"La Fortuna",CR,CR,41
11142,"Luhansk",UA,UA,41
13675,"Panama City Beach",US,US,41
21799,"Pasir Gudang",MY,MY,41
25241,"Tiszafüred",HU,HU,41
24966,"Vakka-Suomi countryside",FI,FI,41
4360,"Australia's big things",AU,AU,40
21042,"Ghost towns",IT,IT,40
23369,"Grand houses",JP,JP,40
23997,"Indonesian cuisine",ID,ID,40
20963,"Kimitoön",FI,FI,40
20635,"Military museums and sites in Australia",FR,FR,40
21886,"Mining tourism",EG,EG,40
26959,"Montseny Natural Park",ES,ES,40
28102,"National parks in Thailand",TH,TH,40
14026,"Phu Quoc",VN,VN,40
20713,"Pyeongchang",KR,KR,40
16664,"St Helens (Tasmania)",AU,AU,40
17538,"Tornio",FI,FI,40
26107,"Turkish TV series tourism",TR,TR,40
20259,"Vikings and the Old Norse",CA,CA,40
21497,"World War II in Europe",DE,DE,40
4250,"Berlin/East Central",DE,DE,39
4532,"Bohemian Paradise",CZ,CZ,39
6716,"Diving in Thailand",TH,TH,39
19615,"Kronstadt",RO,RO,39
27499,"Pocheon",KR,KR,39
19988,"Copenhagen Airport",SE,SE,38
13273,"Odsherred",DK,DK,38
23682,"Pacsa",HU,HU,38
4541,"Bokaro Steel City",IN,IN,37
9974,"Kincardine (Ontario)",CA,CA,37
2582,"Bergen",NO,NO,36
5856,"Chugoku 33 Kannon Temple Pilgrimage",JP,JP,36
24381,"Go",JP,JP,36
23584,"Kamenice nad Lipou",CZ,CZ,35
26484,"Tzoumerka National Park",GR,GR,35
7942,"Glacier National Park (Montana)",CA,CA,34
8440,"Haman County",KR,KR,34
9888,"Kgalagadi Transfrontier Park",ZA,ZA,34
13607,"Pakse",LA,LA,34
14391,"Poulsbo",US,US,34
15405,"Samsø",TR,TR,34
24738,"Encs",HU,HU,33
13347,"Ollantaytambo",PE,PE,33
13812,"Patras",GR,GR,33
19773,"Samoeng Loop",TH,TH,33
21057,"Semenic-Caraș Gorge National Park",RO,RO,33
16861,"Sur",LB,LB,33
17065,"Taman Negara",MY,MY,33
17303,"The Catlins",NZ,NZ,33
5094,"Cairo/East",EG,EG,32
24685,"Georgian cuisine",US,US,32
13842,"Peace River (Alberta)",CA,CA,32
16152,"Sigulda",LV,LV,32
16170,"Sillamäe",EE,EE,32
6102,"Comoros",FR,FR,31
6763,"Dong Hoi",VN,VN,31
22462,"Flores (Azores)",PT,PT,31
28135,"Hadong",KR,KR,31
24789,"LaGuardia Airport",CA,CA,31
13536,"Oxapampa",PE,PE,31
15657,"Sa Pa",VN,VN,31
7445,"Finland in ten days by car",FI,FI,30
20037,"Laponia",NO,NO,30
12509,"Mysen",NO,NO,30
23696,"Reefton",NZ,NZ,30
16672,"St. Jacobs (Ontario)",CA,CA,30
24019,"Arts in Japan",JP,JP,29
4627,"Kathmandu/East",NP,NP,29
26363,"Military and police ceremonies",CA,CA,29
13870,"Pelister National Park",GR,GR,29
8447,"Hamelin",DE,DE,28
26135,"Hiking in Kosciuszko National Park",AU,AU,28
24210,"Pelkosenniemi",SE,SE,28
15561,"San Pedro de Atacama",CL,CL,28
23156,"Spies and secrets",GB,GB,28
23045,"Stećci Medieval Tombstones Graveyards",HR,HR,28
25459,"Zec du Gros-Brochet",CA,CA,28
5871,"Chuy",BR,BR,27
8102,"Grand Case",MF,MF,27
27380,"Haciendas",ES,ES,27
19565,"Koroni",FM,FM,27
11714,"Mývatn",IS,IS,27
15200,"Saaremaa",DE,DE,27
26389,"Swedish Grace tour",SE,SE,27
3551,"Atlanta/West",US,US,26
4112,"Beijing/Northern Suburbs",CN,CN,26
22537,"European art",JP,JP,26
27327,"Legacy food markets",JP,JP,26
12647,"Narva",EE,EE,26
21615,"Prehistoric Europe",GR,GR,26
24964,"Rymättylä",FI,FI,26
15706,"Saturna Island",CA,CA,26
16833,"Sundarbans National Park",IN,IN,26
17932,"Utsjoki",NO,NO,26
18154,"Vietnam",VN,VN,26
25998,"Askola",FI,FI,25
26130,"Danish Empire",NO,NO,25
22123,"Dong Van Karst Plateau Geopark",CN,CN,25
6908,"East Bohemia",CZ,CZ,25
26278,"Ilmajoki",FI,FI,25
10669,"Lüderitz",NA,NA,25
19740,"Marathon race",JP,JP,25
23644,"Moravian Karst",CZ,CZ,25
24962,"Paimio",FI,FI,25
22701,"Savinja and Šalek Valley",AT,AT,25
26301,"Bad Staffelstein",DE,DE,24
4116,"Beijing/Southern Suburbs",CN,CN,24
26290,"Bella Coola",CA,CA,24
8892,"Huay Xai",TH,TH,24
27786,"Höga Kustenleden",SE,SE,24
10594,"Lappajärvi",SE,SE,24
26954,"Linnanmäki",FI,FI,24
13516,"Ouray",CH,CH,24
28018,"Tatehuarí Huajuyé",MX,MX,24
17266,"Terra Nova National Park",PT,PT,24
6377,"Cuyahoga Valley National Park",MX,MX,23
8929,"Huanchaco",PE,PE,23
10437,"Lahemaa National Park",FI,FI,23
22945,"Manazuru",JP,JP,23
24977,"Nordic monarchies",NO,NO,23
19665,"Taipa-Mangonui",NZ,NZ,23
2810,"Tour de 2 dias em Melilha",ES,ES,23
8612,"Höfn",IS,IS,22
13602,"Paju",KR,KR,22
25958,"Saint-Aimé-des-Lacs",CA,CA,22
25382,"Adjuntas",PR,PR,21
5091,"Cairo/Garden City",EG,EG,21
5843,"Choquequirao",PE,PE,21
24138,"Didsbury and Carstairs",CA,CA,21
8110,"Grand Falls",CA,CA,21
28274,"Hinsdale (Massachusetts)",PE,PE,21
24394,"In the footsteps of explorers",TR,TR,21
9795,"Keetmanshoop",NA,NA,21
10691,"Lednice–Valtice Cultural Landscape",CZ,CZ,21
16422,"South Caicos",TC,TC,21
18172,"Village at Blue Mountain",CA,CA,21
21814,"Astrid Lindgren tourism",SE,SE,20
27208,"Baja Whale Trail",MX,MX,20
7897,"Giant Mountains National Park",PL,PL,20
8885,"Hortobágy",HU,HU,20
23221,"Karamea",NZ,NZ,20
20397,"Loviisa",FI,FI,20
26841,"Mexican artesanias",MX,MX,20
21553,"Nordic history",NO,NO,20
21661,"Raetihi",NZ,NZ,20
15171,"Rurrenabaque",BO,BO,20
20076,"Sami culture",RU,RU,20
23318,"Textiles",PE,PE,20
22547,"Trece Martires",PH,PH,20
17909,"Urmia",IR,IR,20
17913,"Urubamba",PE,PE,20
23643,"Vulcan (Alberta)",CA,CA,20
20643,"Zruč nad Sázavou",CZ,CZ,20
11324,"Makarska",HR,HR,19
26951,"Marttila",FI,FI,19
11818,"Meriden (Connecticut)",MX,MX,19
26305,"Nastola",FI,FI,19
12874,"New Ulm (Minnesota)",US,US,19
12977,"Nordkapp",NO,NO,19
13793,"Passu",CN,CN,19
14120,"Placencia",IT,IT,19
14122,"Placentia (Newfoundland)",CA,CA,19
21392,"Road 63 (Norway)",NO,NO,19
16981,"Tachileik",MM,MM,19
21496,"World War I",FR,FR,19
19797,"Yeonpyeong Island",KR,KR,19
25179,"Buddhist Circuit",IN,IN,18
22192,"Cycling in the Achterhoek",NL,NL,18
6577,"Delta Works",NL,NL,18
6971,"Eastport (Newfoundland)",CA,CA,18
9606,"Kampinos National Park",PL,PL,18
26052,"Kaskinen",FI,FI,18
13960,"Petawawa",CA,CA,18
26457,"Pudasjärvi",FI,FI,18
24961,"Sauvo",FI,FI,18
16975,"Taberg",SE,SE,18
23065,"Wooden tserkvas of the Carpathian region",PL,PL,18
27160,"Bullfighting",PT,PT,17
6700,"Disabled travel in South Africa",ZA,ZA,17
7416,"Ferghana",UZ,UZ,17
24364,"Japanese colonial empire",JP,JP,17
25205,"Jomon Prehistoric Sites in Northern Japan",JP,JP,17
22744,"Kebnekaise",SE,SE,17
24589,"Nobel tourism",NO,NO,17
15891,"Selkirk (Manitoba)",CA,CA,17
16919,"Sydfynske Øhav",DK,DK,17
26565,"Tohmajärvi",FI,FI,17
23730,"Utö (Finland)",SE,SE,17
26206,"Viking (Alberta)",NO,NO,17
18300,"Waitomo",NZ,NZ,17
18308,"Wakefield (New Zealand)",NZ,NZ,17
21557,"War of 1812",US,US,17
18720,"Winkler",CA,CA,17
21805,"Acadia",CA,CA,16
27232,"Aš",CZ,CZ,16
4254,"Bernal",PE,PE,16
27489,"Bréhat",FR,FR,16
5504,"Central Ukraine",UA,UA,16
7203,"Ephesus",TR,TR,16
24884,"Gelephu",BT,BT,16
8239,"Grodno",BY,BY,16
25483,"Japanese gardens",JP,JP,16
20279,"Kalajoki",FI,FI,16
24528,"Orivesi",FI,FI,16
13853,"Pedasi",PA,PA,16
14012,"Phimai",TH,TH,16
22797,"Pottenstein",DE,DE,16
14458,"Princeton (British Columbia)",CA,CA,16
16651,"Stewart",CA,CA,16
16880,"Sussex (New Brunswick)",CA,CA,16
27682,"Amatlán de Cañas",MX,MX,15
6391,"Dabu",CI,CI,15
6742,"Doi Inthanon National Park",TH,TH,15
23417,"Geraldton (Ontario)",CA,CA,15
9630,"Kanha National Park",IN,IN,15
11219,"Macau/Coloane",PT,PT,15
11537,"Mariánské Lázně",CZ,CZ,15
22143,"Mongol Empire",KR,KR,15
12313,"Mount Aspiring National Park",NZ,NZ,15
19290,"Nackawic",CA,CA,15
24776,"Parkano",FI,FI,15
14164,"Plitvice Lakes National Park",HR,HR,15
25094,"Ritsem",SE,SE,15
21357,"Romney Marsh",US,US,15
15216,"Sackets Harbor",CA,CA,15
26188,"Saint-Amable",CA,CA,15
15285,"St. Lawrence",JE,JE,15
17436,"Tivat",ME,ME,15
17952,"Vadstena and Ödeshög",SE,SE,15
18165,"Vilcabamba",PE,PE,15
18372,"Warroad",BR,BR,15
18678,"Williamstown (New Jersey)",US,US,15
4080,"Beaver Creek",US,US,14
24860,"Carman (Manitoba)",CA,CA,14
23641,"Chess",IN,IN,14
6568,"Delphi",GR,GR,14
7282,"European route E39",NO,NO,14
24948,"Kuhmoinen",FI,FI,14
22240,"Lüdinghausen",DE,DE,14
26224,"Myrskylä",SE,SE,14
13139,"Notodden",NO,NO,14
25994,"Pertunmaa",FI,FI,14
14132,"Plant City",US,US,14
25157,"Protected areas of the Nullarbor",AU,AU,14
20433,"Riksgränsen",NO,NO,14
15145,"Royal Natal National Park",ZA,ZA,14
15345,"Salento",CO,CO,14
15953,"Seychelles",SC,SC,14
16658,"St George (Queensland)",AU,AU,14
23993,"Stokmarknes",NO,NO,14
16976,"Table Mountain National Park",ZA,ZA,14
17511,"Tongariro National Park",NZ,NZ,14
24264,"Utrechtse Heuvelrug",DE,DE,14
23858,"Waterford (Ontario)",CA,CA,14
3475,"Ascension",BO,BO,13
23037,"Australian Convict Sites",AU,AU,13
21318,"Boac",PH,PH,13
24335,"Bus travel in the Philippines",PH,PH,13
7122,"El Malpais National Monument",MX,MX,13
24449,"Glückstadt",DE,DE,13
21235,"Hell-Ville",MG,MG,13
21096,"Iron Gates Natural Park",RO,RO,13
10192,"Ko Sichang",TH,TH,13
27343,"Las Leñas",AR,AR,13
23216,"Longlac",CA,CA,13
11956,"Milford Sound",NZ,NZ,13
20547,"Minca",DE,DE,13
24492,"New Administrative Capital (Egypt)",EG,EG,13
22921,"Novo Selo",MK,MK,13
14095,"Pisac",PE,PE,13
26840,"Pomarkku",FI,FI,13
15912,"Senmonorom",KH,KH,13
21720,"Signs",ES,ES,13
24853,"Souris (Manitoba)",CA,CA,13
25985,"Sprengisandur",IS,IS,13
16693,"Stołowe Mountains National Park",ZA,ZA,13
17573,"Tory Island",IE,IE,13
17706,"Tsitsikamma National Park",ZA,ZA,13
18273,"Wadden Sea National Park",DE,DE,13
18380,"Wartrail and New England",ZA,ZA,13
18775,"Wonsan",KP,KP,13
20241,"Bayham (Ontario)",CA,CA,12
20290,"Biesbosch National Park",NL,NL,12
4400,"Birgunj",NP,NP,12
24224,"Bothnian Sea National Park",FI,FI,12
25486,"Cape Byron State Conservation Area",TR,TR,12
20396,"Clinton (Ontario)",CA,CA,12
28441,"Diwali",GB,GB,12
7064,"Elba",EE,EE,12
19806,"Gasan",IN,IN,12
24774,"Hämeenkyrö",FI,FI,12
9054,"Ilgaz National Park",TR,TR,12
20366,"Innisfail (Queensland)",AU,AU,12
23265,"Jementah",MY,MY,12
20603,"Lemmenjoki National Park",NO,NO,12
22601,"Lord of the Rings tourism",NZ,NZ,12
26724,"Micronations",AU,AU,12
12147,"Monte Albán",MX,MX,12
24938,"National Route 83",AU,AU,12
13002,"North Coast-Nechako",CA,CA,12
22941,"Occitanie",ES,ES,12
13551,"Oze National Park",JP,JP,12
14258,"Poring Hot Spring",MY,MY,12
14532,"Puerto Varas",CL,CL,12
21761,"Sacheon",KR,KR,12
16328,"Sodwana Bay",ZA,ZA,12
24960,"Somero",FI,FI,12
27371,"Tamsahelte",MA,MA,12
19363,"Waihi Beach",NZ,NZ,12
3279,"Angola (Indiana)",US,US,11
3291,"Anlong Veng",KH,KH,11
4129,"Beirut/Verdun",LB,LB,11
25356,"Budderoo National Park",AU,AU,11
21828,"Central Bohemian Uplands",CZ,CZ,11
5603,"Charleville",FR,FR,11
27298,"Concepción de Ataco",SV,SV,11
26839,"Cuetzalan",MX,MX,11
7128,"Elmira (Ontario)",DE,DE,11
26124,"Glass House Mountains",AU,AU,11
23084,"Hajdú-Bihar County",HU,HU,11
24182,"Hanna (Alberta)",CA,CA,11
9016,"Ibarra",EC,EC,11
21597,"Indigenous cultures of South America",PT,PT,11
25950,"Karijini National Park",AU,AU,11
9977,"King's Highway",FI,FI,11
21297,"Knokke-Heist",BE,BE,11
20220,"Lordsburg",US,US,11
11293,"Magnolia (Arkansas)",US,US,11
27204,"Maxcanú",MX,MX,11
