id,nome,pais_code,hotels,type_note
22817,"Cycling the Western Sahara",MA,41,topic/activity
28102,"National parks in Thailand",TH,40,topic/activity
24685,"Georgian cuisine",US,32,topic/activity
26135,"Hiking in Kosciuszko National Park",AU,28,topic/activity
26130,"Danish Empire",NO,25,topic/activity
19740,"Marathon race",JP,25,topic/activity
27896,"Bergslagen trail",SE,25,topic/activity
24977,"Nordic monarchies",NO,23,topic/activity
21496,"World War I",FR,19,topic/activity
27160,"Bullfighting",PT,17,potential place — needs geocoding
20047,"Kurjenrahka National Park",FI,12,topic/activity
24938,"National Route 83",AU,12,potential place — needs geocoding
28441,"Diwali",GB,12,topic/activity
21173,"Padjelantaleden",SE,12,potential place — needs geocoding
27938,"Ravenstein",FR,11,potential place — needs geocoding
17439,"Tiwi Islands",AU,11,potential place — needs geocoding
26228,"Suomusjärvi",FI,11,potential place — needs geocoding
24327,"Själö",SE,11,potential place — needs geocoding
16440,"Southern Tasmania",AU,10,potential place — needs geocoding
20072,"Karlsborg",SE,10,potential place — needs geocoding
26001,"Kyyjärvi",FI,10,potential place — needs geocoding
26080,"Mexquitic de Carmona",MX,10,potential place — needs geocoding
27597,"Taumarunui",NZ,10,potential place — needs geocoding
28387,"Wasur National Park",ID,10,topic/activity
19220,"Buchan",AU,10,potential place — needs geocoding
24801,"Lanigan",CA,10,potential place — needs geocoding
22523,"Christmas and New Year travel",ES,10,topic/activity
24628,"Granity",NZ,10,potential place — needs geocoding
27996,"Lescun",FR,9,potential place — needs geocoding
26318,"Jiaganj Azimganj",IN,9,potential place — needs geocoding
27971,"Cimarron",MX,9,potential place — needs geocoding
20446,"Udo Island",KR,9,potential place — needs geocoding
26799,"Miehikkälä",FI,9,potential place — needs geocoding
21163,"Indus Valley Civilisation",IN,9,topic/activity
18583,"West Rand",ZA,9,potential place — needs geocoding
18027,"Vanderkloof",ZA,9,potential place — needs geocoding
26788,"Aquismón",MX,9,potential place — needs geocoding
28115,"Botnialeden",SE,9,potential place — needs geocoding
19395,"Spiritwood",CA,9,potential place — needs geocoding
22198,"T. Narsipur",IN,9,potential place — needs geocoding
26529,"Mokala National Park",ZA,9,topic/activity
27939,"Gränsleden",NO,9,potential place — needs geocoding
28422,"Tunuyán",AR,8,potential place — needs geocoding
26783,"Rääkkylä",FI,8,potential place — needs geocoding
27704,"Chalcatzingo",MX,8,potential place — needs geocoding
23034,"Narsaq",GL,8,potential place — needs geocoding
26924,"Gedong Tataan",ID,8,potential place — needs geocoding
26712,"Etruscans",IT,8,potential place — needs geocoding
23291,"Korean cuisine",CN,8,topic/activity
20871,"Waipara",NZ,8,potential place — needs geocoding
24228,"Ranfurly",NZ,8,potential place — needs geocoding
23363,"Sant'Erasmo",AT,8,potential place — needs geocoding
28048,"Simunul",PH,8,potential place — needs geocoding
26340,"Modisi",ID,8,potential place — needs geocoding
27889,"Laugavegur",IS,8,potential place — needs geocoding
22332,"Sawarna",ID,8,topic/activity
23256,"Sandane",NO,7,potential place — needs geocoding
26283,"Franquelin",CA,7,potential place — needs geocoding
18554,"West Jutland",DK,7,potential place — needs geocoding
23874,"Thandwe",MM,7,potential place — needs geocoding
26883,"Ristijärvi",FI,7,potential place — needs geocoding
26155,"Kisantu",PT,7,potential place — needs geocoding
17996,"Valley of 1000 Hills",ZA,7,potential place — needs geocoding
26838,"E69",NO,7,potential place — needs geocoding
27897,"Roslagsleden",SE,7,potential place — needs geocoding
28327,"Mount Lemongan",ID,7,potential place — needs geocoding
27310,"Talbingo",AU,7,potential place — needs geocoding
18059,"Vágar",FO,7,potential place — needs geocoding
20189,"Årjäng",NO,7,potential place — needs geocoding
25456,"Zec Borgia",CA,7,potential place — needs geocoding
28265,"K-pop",KR,7,potential place — needs geocoding
19487,"Pom Pom Island",MY,7,potential place — needs geocoding
26413,"Siikainen",FI,7,potential place — needs geocoding
27252,"Twizel",NZ,7,potential place — needs geocoding
23281,"Laiyuan County",CN,6,potential place — needs geocoding
26590,"Xochicalco",MX,6,potential place — needs geocoding
27503,"Horinger",CN,6,potential place — needs geocoding
27225,"Skógar",IS,6,potential place — needs geocoding
20464,"Mpande",ZA,6,potential place — needs geocoding
24899,"Dargo",AU,6,potential place — needs geocoding
26246,"Multia",FI,6,potential place — needs geocoding
27230,"Workers’ Assembly Halls",AU,6,potential place — needs geocoding
27516,"Valle Nevado",CL,6,potential place — needs geocoding
16857,"Supetar",HR,6,potential place — needs geocoding
19232,"Ourika Valley",MA,6,potential place — needs geocoding
18006,"Valtimo",FI,6,potential place — needs geocoding
20046,"Älvkarleby",SE,6,potential place — needs geocoding
