id,nome,pais_code,pais,hotelCount
23654,"Letenye",HR,HR,52
18215,"Visegrád",HU,HU,49
18169,"Villach",AT,AT,48
4230,"Bergen",NO,NO,44
14795,"Rømø",DK,DK,42
4403,"Birmingham",US,US,41
25241,"Tiszafüred",HU,HU,41
22598,"Iskandar Puteri",MY,MY,41
7572,"La Fortuna",CR,CR,41
11142,"Luhansk",UA,UA,41
21799,"Pasir Gudang",MY,MY,41
28102,"National parks in Thailand",TH,TH,40
20713,"Pyeongchang",KR,KR,40
14026,"Phu Quoc",VN,VN,40
20963,"Kimitoön",FI,FI,40
16664,"St Helens (Tasmania)",AU,AU,40
17538,"Tornio",FI,FI,40
4360,"Australia's big things",AU,AU,40
19615,"Kronstadt",RO,RO,39
27499,"Pocheon",KR,KR,39
23682,"Pacsa",HU,HU,38
13273,"Odsherred",DK,DK,38
9974,"Kincardine (Ontario)",CA,CA,37
2582,"Bergen",NO,NO,36
23584,"Kamenice nad Lipou",CZ,CZ,35
15405,"Samsø",TR,TR,34
14391,"Poulsbo",US,US,34
13607,"Pakse",LA,LA,34
24738,"Encs",HU,HU,33
16861,"Sur",LB,LB,33
13812,"Patras",GR,GR,33
19773,"Samoeng Loop",TH,TH,33
13347,"Ollantaytambo",PE,PE,33
17303,"The Catlins",NZ,NZ,33
17065,"Taman Negara",MY,MY,33
16152,"Sigulda",LV,LV,32
16170,"Sillamäe",EE,EE,32
6763,"Dong Hoi",VN,VN,31
13536,"Oxapampa",PE,PE,31
22462,"Flores (Azores)",PT,PT,31
15657,"Sa Pa",VN,VN,31
28135,"Hadong",KR,KR,31
12509,"Mysen",NO,NO,30
23696,"Reefton",NZ,NZ,30
20037,"Laponia",NO,NO,30
16672,"St. Jacobs (Ontario)",CA,CA,30
24019,"Arts in Japan",JP,JP,29
24210,"Pelkosenniemi",SE,SE,28
8447,"Hamelin",DE,DE,28
15561,"San Pedro de Atacama",CL,CL,28
15200,"Saaremaa",DE,DE,27
5871,"Chuy",BR,BR,27
8102,"Grand Case",MF,MF,27
19565,"Koroni",FM,FM,27
12647,"Narva",EE,EE,26
17932,"Utsjoki",NO,NO,26
24964,"Rymättylä",FI,FI,26
24962,"Paimio",FI,FI,25
26278,"Ilmajoki",FI,FI,25
25998,"Askola",FI,FI,25
