OBJECTID,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,DataTituloValAbert,ClassificacaoTdP,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,DTMNFR,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,ERT,SeloCleanSafe
7,9703,São Brás do Regedouro Turismo na Aldeia-3,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,CasaDeCampo,0,7,20,7,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1621468800000,Nao,Não,https://www.regedouro.com/,geral@regedouro.com,"Rua da Liberdade Nrs 6, 8, 8A, e 10 , Beco do Baguinho nr 12  e Beco do João Baguinho nr 12",7000-092,Nossa Senhora da Tourega,"38,43313041 ; -8,06418355",Fiavel,070525,União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,Évora,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
8,9704,São Brás do Regedouro Turismo na Aldeia-4,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,CasaDeCampo,0,2,4,2,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1621468800000,Nao,Não,https://www.regedouro.com/,geral@regedouro.com,Rua Otelo Saraiva de Carvalho Nr 6 e 8,7000-092,Nossa Senhora da Tourega,"38,43267021 ; -8,06421064",Fiavel,070525,União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,Évora,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
9,9705,São Brás do Regedouro Turismo na Aldeia-5,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,CasaDeCampo,0,1,2,1,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1621468800000,Nao,Não,https://www.regedouro.com/,geral@regedouro.com,Rua Otelo Saraiva de Carvalho Nr 4,7000-092,Nossa Senhora da Tourega,"38,4327735 ; -8,06428425",Fiavel,070525,União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,Évora,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
10,9701,São Brás do Regedouro Turismo na Aldeia-1,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,CasaDeCampo,0,2,4,0,2,0,0,0,NaoIntegra,,Não,Não,0,Não,,1621468800000,Nao,Não,https://www.regedouro.com/,geral@regedouro.com,Rua Nossa Senhora do Rosário No: 7 e 9,7000-092,Nossa Senhora da Tourega,"38,43286854 ; -8,06378641",Fiavel,070525,União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,Évora,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
11,9702,São Brás do Regedouro Turismo na Aldeia-2,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,AGUDAL 3 - SOCIEDADE CONSTRUÇÕES URBANIZAÇÕES E REPRESENTAÇÕES LDA,CasaDeCampo,0,4,8,4,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1621468800000,Nao,Não,https://www.regedouro.com/,geral@regedouro.com,Rua da Liberdade Nrs 2 e 4,7000-092,Nossa Senhora da Tourega,"38,4329425 ; -8,06383464",Fiavel,070525,União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,Évora,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
15,10091,Casa d´Arcã,Luisa Heleno,Luisa Heleno,CasaDeCampo,0,4,8,0,4,0,0,0,NaoIntegra,,Não,Sim,0,Não,,1646611200000,NA,Sim,,geral@casadarca.pt,geral@casadarca.pt,5070-032,ALIJÓ,"41,27520813 ; -7,46956989",Fiavel,170101,Alijó,Alijó,Vila Real,Douro,Norte,Turismo do Porto e Norte de Portugal,Não
16,9823,Divor Country Houses,"Industrias Metalomecanicas Lobo, Lda","Salte - Eventros e Turismo, Lda",CasaDeCampo,0,2,4,2,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1628640000000,NA,Não,,salte.turis@gmail.com,Foro do Chainho,7000-019,N Senhora Graça do Divor,"38,65272433 ; -7,98329183",Fiavel,070502,Nossa Senhora da Graça do Divor,Évora,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
17,9844,Casa Tuia,OLIVIER ROZA H BELIEN,LIMELIGHTSEASON - LDA,CasaDeCampo,0,14,28,14,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1605052800000,NA,Não,,olivier@casatuia.com,Sítio do Poço Partido,8400-557,Carvoeiro Lga,"37,11113564 ; -8,4605703",Fiavel,080608,União das freguesias de Lagoa e Carvoeiro,Lagoa,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
18,10226,"Casas de Campo Mirandesas Cimo da Quinta - "" Curral Grande """,RUI MANUEL FERNANDES PIRES,RUI MANUEL FERNANDES PIRES,CasaDeCampo,0,8,16,8,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1652227200000,Nao,Não,www.cimodaquinta.pt/,rui.mf.pires@sapo.pt,"Rua de Cima, Curral Grande",5210-172,MIRANDA DO DOURO,"41,54024294 ; -6,2642552",Fiavel,040608,Miranda do Douro,Miranda do Douro,Bragança,Terras de Trás-os-Montes,Norte,Turismo do Porto e Norte de Portugal,Sim
19,10298,Solar dos Avós,VITORIA MARIA DOS REIS VEIGA NASCIMENTO,FERNANDO NASCIMENTO LDA,CasaDeCampo,0,11,22,11,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1655942400000,NA,Não,,fernandonascimento.pt@gmail.com,Rua do Emigrante,8200-440,GUIA ABF,"37,13351416 ; -8,29965529",Fiavel,080102,Guia,Albufeira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
