hotel_id,nome,old_destino_id,pais_code,razao
261348,Berlin Marathon,19740,DE,cidade
261349,Boston Marathon,19740,US,cidade
261350,Chicago Marathon,19740,US,cidade
261351,London Marathon,19740,CA,cidade
261352,New York City Marathon,19740,,
261353,Tokyo Marathon,19740,JP,cidade
261354,Amsterdam Marathon,19740,NL,cidade
261355,Barcelona Marathon,19740,VE,cidade
261356,Beijing Marathon,19740,CN,cidade
261357,Dubai Marathon,19740,AE,cidade
261358,Finlandia Marathon,19740,FI,pais
261359,Helsinki City Marathon,19740,FI,cidade
261360,Hong Kong Marathon,19740,,
261361,Istanbul Marathon,19740,TR,cidade
261362,Mexico City International Marathon,19740,MX,pais
261363,Osaka Marathon,19740,JP,cidade
261364,Paavo Nurmi Marathon,19740,,
261365,Paris Marathon,19740,FR,cidade
261366,Prague Marathon,19740,CZ,cidade
261367,Maraton do Rio,19740,,
261368,Rome Marathon,19740,IT,cidade
261369,Rotterdam Marathon,19740,NL,cidade
261370,Shanghai Marathon,19740,CN,cidade
261371,Sydney Marathon,19740,AU,cidade
261372,Xiamen International Marathon,19740,CN,cidade
262292,Maralinga atomic test site,19874,,
262302,"Hanford Site near [[Richland]], Washington, USA",19874,US,bracket
262304,Memorial complex of Obninsk Nuclear Power Plant,19874,,
262309,"National Museum of Nuclear Science & History in [[Albuquerque]], USA",19874,MX,bracket
262310,"Savannah River Site, South Carolina, USA",19874,US,pais
262320,TRIGA Mark I,19874,,
262324,The Ignalina Nuclear Power Plant,19874,,
262325,Bataan Nuclear Power Plant,19874,PH,cidade
262326,Kalkar,19874,,
262327,Zwentendorf Nuclear Power Plant,19874,,
262328,"Żarnowiec, [[Poland]]",19874,PL,bracket
279326,Hamlet and Susan,21218,US,pais
279327,Ira,21218,,
279328,Artur and Sveta,21218,,
279329,Nikolai,21218,,
279330,Vardan,21218,,
279331,Armo,21218,,
279332,Aro,21218,,
279333,Officer Samvel,21218,,
279334,Samvel the younger,21218,,
279335,Tiko,21218,,
279336,Vasak and Tatevik,21218,,
279337,Henrikh and Madlen Stepanian,21218,,
279338,Mardik sister,21218,,
279339,Surik and Zamira Hayrapetian,21218,,
279341,Guesthouse Nadejda,21218,,
279342,Ulmar,21218,,
279343,Alvart Dadayan,21218,,
279344,Gago,21218,,
279345,Nver Dadayan,21218,,
279346,Albert and Laura,21218,FR,cidade
279347,Armen and Luisa,21218,,
279348,Elmira (Emma) Hairapetian,21218,,
279349,Suren,21218,,
279350,Artur and Anahit Babayan,21218,,
279351,Onnik and Amalia Balassanian,21218,,
279352,Sergey and Nadia Harutyunian,21218,,
279353,Narimon House,21218,,
279354,Artush Mangasaryan,21218,,
279355,Gagik Zakharyan,21218,,
279356,Fedya Ohanyan,21218,,
279357,Valo and Mareta Ohanyan,21218,,
279358,Vano (Vanya) and Nurvard,21218,,
