# 949 destinos sem hotel (antes de enrich-hotels-remaining)
# nome	pais	continente	id
Munique	Alemanha	Europa	1142
Peterhof	Alemanha	Europa	1396
Bahía Blanca	Argentina	América	189
Clorinda	Argentina	América	472
Esquel	Argentina	América	619
Estrada Austral	Argentina	América	625
La Rioja (cidade)	Argentina	América	951
Península Valdés	Argentina	América	1389
Puerto Pirámides	Argentina	América	1484
Qhapaq Ñan	Argentina	América	1495
Rawson	Argentina	América	1514
Rio Cuarto	Argentina	América	1564
Roque Saenz Peña	Argentina	América	1585
Santiago del Estero (cidade)	Argentina	América	1690
Socompa	Argentina	América	1816
Trelew	Argentina	América	1984
Yacuíba	Argentina	América	2083
Camberra	Austrália	Oceânia	362
Oceania	Austrália	Oceânia	1215
Tourist Drive 33	Austrália	Oceânia	2529
Viajar economicamente	Bélgica	Europa	2081
Abaetetuba	Brasil	América	2561
Abelardo Luz	Brasil	América	2172
Abrolhos	Brasil	América	12
Aceguá (Rio Grande do Sul)	Brasil	América	17
Acopiara	Brasil	América	2557
Agrestina	Brasil	América	33
Água Doce	Brasil	América	2274
Alcântara	Brasil	América	54
Alegrete	Brasil	América	56
Alfenas	Brasil	América	2515
Alter do Chão	Brasil	América	64
Alumínio	Brasil	América	66
América do Sul	Brasil	América	75
Américo Brasiliense	Brasil	América	77
Andradas	Brasil	América	2169
Andrelândia	Brasil	América	95
Angatuba	Brasil	América	2191
Antônio Carlos (Santa Catarina)	Brasil	América	2176
Apicum-Açu	Brasil	América	2292
Aquidauana	Brasil	América	114
Aracaju	Brasil	América	118
Araci	Brasil	América	2147
Araçoiaba da Serra	Brasil	América	123
Aracruz	Brasil	América	124
Aragarças	Brasil	América	125
Arambaré	Brasil	América	127
Arantina	Brasil	América	128
Arapeí	Brasil	América	129
Arapiraca	Brasil	América	130
Araranguá	Brasil	América	132
Araxá	Brasil	América	2581
Areia (Paraíba)	Brasil	América	2518
Areias	Brasil	América	138
Ariranha	Brasil	América	142
Artigas	Brasil	América	150
Avaré	Brasil	América	178
Baixada Fluminense	Brasil	América	194
Balneário Arroio do Silva	Brasil	América	2428
Balneário Gaivota	Brasil	América	2426
Bastos	Brasil	América	237
Bebedouro	Brasil	América	243
Belford Roxo	Brasil	América	2794
Betim	Brasil	América	2153
Bezerros	Brasil	América	262
Bilac	Brasil	América	2145
Biquinhas	Brasil	América	266
Birigui	Brasil	América	267
Boa Esperança	Brasil	América	2173
Boca do Acre	Brasil	América	273
Bocaina do Sul	Brasil	América	274
Boituva	Brasil	América	276
Bom Jesus da Lapa	Brasil	América	281
