"destino_id","destino_nome","pais_encontrado","hotel_count","classificacao","acao","prioridade_acao","latitude","longitude","motivo"
"26807","Ramsar sites","XX","44","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"27095","Legacy retailers","XX","42","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"27053","National parks in Venezuela","XX","41","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"27552","Megalithic Cultures in Europe","XX","41","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"22974","Airport articles","XX","41","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"21867","Monarchies","XX","41","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"22817","Cycling the Western Sahara","MA","41","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"28102","National parks in Thailand","TH","40","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"21218","Janapar Trail","XX","39","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"24748","Medieval Europe","XX","35","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"24685","Georgian cuisine","United States","32","nao-e-lugar","remover/flag","alta","39.4622019","-76.6364878","conceito; match fraco (imp=0.00)"
"24441","KL sightseeing walk","XX","31","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"22161","Botanical tourism","Iran","30","nao-e-lugar","remover/flag","alta","36.2535437","59.608766","conceito; match fraco (imp=0.07)"
"24280","Södermalm heights tour","XX","29","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"22000","European classical music","XX","28","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"26640","Dark Sky Parks in Europe","XX","25","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
"19740","Marathon race","United States","25","nao-e-lugar","remover/flag","alta","44.9353498","-89.744054","conceito; match fraco (imp=0.00)"
"26130","Danish Empire","NO","25","nao-e-lugar","remover/flag","alta","","","conceito (sem correspondencia geografica)"
