"destino_id","destino_nome","pais_encontrado","hotel_count","motivo"
"26807","Ramsar sites","XX","44","conceito (sem correspondencia geografica)"
"27095","Legacy retailers","XX","42","conceito (sem correspondencia geografica)"
"27053","National parks in Venezuela","XX","41","conceito (sem correspondencia geografica)"
"27552","Megalithic Cultures in Europe","XX","41","conceito (sem correspondencia geografica)"
"22974","Airport articles","XX","41","conceito (sem correspondencia geografica)"
"21867","Monarchies","XX","41","conceito (sem correspondencia geografica)"
"22817","Cycling the Western Sahara","MA","41","conceito (sem correspondencia geografica)"
"28102","National parks in Thailand","TH","40","conceito (sem correspondencia geografica)"
"21218","Janapar Trail","XX","39","conceito (sem correspondencia geografica)"
"24748","Medieval Europe","XX","35","conceito (sem correspondencia geografica)"
"24685","Georgian cuisine","United States","32","conceito; match fraco (imp=0.00)"
"24441","KL sightseeing walk","XX","31","conceito (sem correspondencia geografica)"
"22161","Botanical tourism","Iran","30","conceito; match fraco (imp=0.07)"
"24280","Södermalm heights tour","XX","29","conceito (sem correspondencia geografica)"
"22000","European classical music","XX","28","conceito (sem correspondencia geografica)"
"26640","Dark Sky Parks in Europe","XX","25","conceito (sem correspondencia geografica)"
"19740","Marathon race","United States","25","conceito; match fraco (imp=0.00)"
"26130","Danish Empire","NO","25","conceito (sem correspondencia geografica)"
"27015","Sculpture","France","24","conceito; match fraco (imp=0.11)"
"28105","Architecture of Buffalo","United States","24","conceito; match fraco (imp=0.00)"
"24977","Nordic monarchies","NO","23","conceito (sem correspondencia geografica)"
"25135","Ned Kelly tourism","XX","20","conceito (sem correspondencia geografica)"
"25060","European Route of Industrial Heritage","XX","20","conceito (sem correspondencia geografica)"
"21496","World War I","France","19","conceito; match fraco (imp=0.00)"
"26915","Eura and surroundings","XX","19","conceito (sem correspondencia geografica)"
"27674","Greater Orlando public transit","XX","18","conceito (nao encontravel como lugar)"
"27691","Ancient Rome tour","XX","18","conceito (sem correspondencia geografica)"
"27160","Bullfighting","PT","17","conceito (sem correspondencia geografica)"
"27036","Cold Winter Deserts of Turan","XX","17","conceito (nao encontravel como lugar)"
"25216","The Flashman Papers","XX","16","conceito (sem correspondencia geografica)"
"27042","The Persian Caravanserai","XX","16","conceito (sem correspondencia geografica)"
"23603","Rock and roll","United States","15","conceito; match fraco (imp=0.13)"
"23042","Le Corbusier World Heritage","XX","15","conceito (sem correspondencia geografica)"
"26110","Culturally significant landscapes in Huelva","XX","14","conceito (nao encontravel como lugar)"
