destino_id,destino_nome,pais,pais_code,tipo,hotel_count
26448,Arthur-Pieman Conservation Area,AR,AR,praia,4
27771,Monte Leon National Park,AR,AR,praia,3
27773,Río Pilcomayo National Park,AR,AR,cidade,2
28422,Tunuyán,AR,AR,praia,7
23363,Sant'Erasmo,AT,AT,praia,7
23264,French Island,AU,AU,praia,3
26135,Hiking in Kosciuszko National Park,AU,AU,montanha,28
26356,Morne Seychellois National Park,AU,AU,ilha,4
24938,National Route 83,AU,AU,cidade,12
27317,Rydal,AU,AU,cidade,3
16467,South and West Gippsland,AU,AU,praia,1
16440,Southern Tasmania,AU,AU,praia,10
26610,Taranna,AU,AU,cidade,2
25927,Western Tasmania,AU,AU,praia,1
27230,Workers’ Assembly Halls,AU,AU,cidade,6
26152,North Arm,BR,BR,ilha,2
23233,Aulavik National Park,CA,CA,ilha,1
25982,Charlevoix Biosphere Reserve,CA,CA,cidade,1
26283,Franquelin,CA,CA,cidade,7
25573,Marie-Jean-Eudes Ecological Reserve,CA,CA,montanha,1
26264,Minganie,CA,CA,praia,4
26324,Pribaikalsky National Park,CA,CA,ilha,5
27523,Scott Pilgrim locations,CA,CA,praia,4
19395,Spiritwood,CA,CA,montanha,9
23101,Uranium City,CA,CA,cidade,6
19008,Yukon - Charley Rivers National Preserve,CA,CA,cidade,6
25456,Zec Borgia,CA,CA,montanha,7
28381,Česká Kanada,CA,CA,montanha,3
26380,Alberto de Agostini National Park,CL,CL,ilha,6
26160,Arturo Merino Benítez International Airport,CL,CL,ilha,4
26658,Cabo de Hornos National Park,CL,CL,ilha,2
27293,Llullaillaco National Park,CL,CL,montanha,1
26119,Patagonia National Park (Chile),CL,CL,cidade,3
27503,Horinger,CN,CN,cidade,6
23291,Korean cuisine,CN,CN,ilha,8
27161,Korean palaces,CN,CN,montanha,4
23281,Laiyuan County,CN,CN,campo,6
17618,Trans-Siberian Railway,CN,CN,praia,3
18893,Yanbian,CN,CN,montanha,3
27900,Yumurtalık,CN,CN,praia,1
25623,Dibulla,CO,CO,praia,3
16473,South Jutland,DK,DK,praia,3
20913,Travels of Hans Christian Andersen,DK,DK,cidade,2
18554,West Jutland,DK,DK,praia,7
26281,El-Obeid,EG,EG,cidade,5
15579,Santa Barbara County,EG,EG,praia,5
22523,Christmas and New Year travel,ES,ES,praia,9
27148,L'Estany,ES,ES,montanha,4
