destino_id,destino_nome,pais,pais_code,hotel_count
25660,Egbeda,XX,XX,47
20690,Dagupan,XX,XX,45
27841,Boxmeer,XX,XX,45
26807,Ramsar sites,XX,XX,44
25659,Ojo,XX,XX,44
22283,Skopje/Centar,XX,XX,44
18028,Vang Vieng,XX,XX,43
15982,Shangrila,XX,XX,43
27095,Legacy retailers,XX,XX,42
16124,Sibsagar,XX,XX,42
25664,Alimosho,XX,XX,42
27053,National parks in Venezuela,XX,XX,41
26244,Port-Cartier,XX,XX,41
27552,Megalithic Cultures in Europe,XX,XX,41
22974,Airport articles,XX,XX,41
18369,Warri,XX,XX,41
21867,Monarchies,XX,XX,41
22817,Cycling the Western Sahara,MA,MA,41
17010,Tainan,XX,XX,41
18347,Whanganui,XX,XX,41
26676,Sleman,XX,XX,40
18937,Yellowstone National Park,XX,XX,40
28102,National parks in Thailand,TH,TH,40
25800,Ikole,XX,XX,40
18952,Yilan,XX,XX,40
25655,Akute,XX,XX,40
18234,Volcanoes,XX,XX,40
21718,Paleontology,XX,XX,40
25816,Gwagwalada,XX,XX,40
18128,Viñales,XX,XX,40
23463,Buffalo-Pittsburgh Highway,XX,XX,40
17837,Uiwang,XX,XX,40
26018,Mount Lawu,XX,XX,40
25661,Iyana-ipaja,XX,XX,40
17974,Valga,XX,XX,39
21218,Janapar Trail,XX,XX,39
27526,Longquanyi,XX,XX,39
28302,Taichung/Central Taichung,XX,XX,39
20582,Lac-Saint-Jean,XX,XX,39
27877,Bulqiza,XX,XX,39
23309,Taal,XX,XX,37
26320,Carmel Point,XX,XX,37
20482,Diani Beach,XX,XX,37
16907,Swartz Creek,XX,XX,37
28120,Zona Volcànica de la Garrotxa Natural Park,XX,XX,37
25868,Uselu,XX,XX,37
27832,Gemert,XX,XX,37
28454,Ukpor,XX,XX,37
27840,Cuijk,XX,XX,37
25723,Ajegunle,XX,XX,36
19081,Zhangye,XX,XX,36
21290,Mtwapa,XX,XX,36
24035,Gjilani,XX,XX,36
18009,Vanadzor,XX,XX,36
24748,Medieval Europe,XX,XX,35
25348,Grandes-Piles,XX,XX,35
25083,Sango Ota,XX,XX,35
25662,Ifo,XX,XX,35
25840,Bwari,XX,XX,35
26127,Livingston Island,XX,XX,35
27521,Suqian,XX,XX,34
27845,Laarbeek,XX,XX,34
27007,Pengzhou,XX,XX,34
25802,Efon,XX,XX,33
18907,Yaremche,XX,XX,33
16635,Stepanavan,XX,XX,33
25813,Kosofe,XX,XX,33
26661,Targovishte,XX,XX,33
24685,Georgian cuisine,US,US,32
25818,Kuje,XX,XX,32
21149,Clusane,XX,XX,32
21656,Parksville,XX,XX,32
25879,Oye,XX,XX,32
25789,Ojota,XX,XX,31
19222,Ellenville,XX,XX,31
24441,KL sightseeing walk,XX,XX,31
25860,Otukpo,XX,XX,31
15473,Sandy Springs,XX,XX,31
28263,"Montgrí, Medes Islands and Baix Ter Natural Park",XX,XX,31
27876,Peshkopi,XX,XX,31
10174,Koraput,XX,XX,31
25527,Boucherville,XX,XX,31
28156,Zhongmu County,XX,XX,31
27128,Paratge Natural d'Interès Nacional de l'Albera,XX,XX,30
25836,Potiskum,XX,XX,30
18168,Viljandi,XX,XX,30
28223,Sant Cugat del Vallès,XX,XX,30
22161,Botanical tourism,XX,XX,30
27846,Someren,XX,XX,30
26146,La Prairie,XX,XX,30
16026,Shellharbour,XX,XX,30
19152,Skowhegan,XX,XX,29
27106,Khankendi,XX,XX,29
24280,Södermalm heights tour,XX,XX,29
22324,Noord-Beveland,XX,XX,29
25732,Apapa,XX,XX,29
20131,Lac-Mégantic,XX,XX,29
22313,South Tangerang,XX,XX,29
28136,Serra de Montsant Natural Park,XX,XX,29
25817,Karu,XX,XX,29
18507,West Bank,XX,XX,29
17132,Taroko Gorge,XX,XX,28
22000,European classical music,XX,XX,28
26135,Hiking in Kosciuszko National Park,AU,AU,28
21114,Františkovy Lázně,XX,XX,28
25649,Agege,XX,XX,27
12626,Napili,XX,XX,27
28168,Huainan,XX,XX,27
11385,Manali,XX,XX,27
15058,Rohnert Park,XX,XX,27
27146,Northern Okinawa,XX,XX,27
20613,Kokand,XX,XX,27
25765,Lagos City/Ikoyi,XX,XX,27
27261,Aigüestortes i Estany de Sant Maurici National Park,XX,XX,27
26168,Istog,XX,XX,27
16297,Slyudyanka,XX,XX,27
27842,Sint Anthonis,XX,XX,26
26482,Karlovo,XX,XX,26
23280,Antsiranana,XX,XX,26
28032,Val Demone Wine Region,XX,XX,26
28009,Indian Lake Region,XX,XX,26
12399,Muang Ngoi Neua,XX,XX,26
15254,Saint-Constant,XX,XX,25
26208,Contrecoeur,XX,XX,25
25436,Driggs,XX,XX,25
25859,Funtua,XX,XX,25
28337,Llafranc,XX,XX,25
26962,Collserola Natural Park,XX,XX,25
20223,Darkhan,XX,XX,25
26640,Dark Sky Parks in Europe,XX,XX,25
25708,Ketu,XX,XX,25
19740,Marathon race,JP,JP,25
18596,West Warwick,XX,XX,25
26130,Danish Empire,NO,NO,25
