id,hotel_nome,fonte,estrelas,destino_id,destino_nome,pais,pais_code,dest_lat,dest_lon
314582,Hiperdino,hotel_centroid,3,24050,Granadilla de Abona,XX,XX,,
334740,Mama Sandra,geo_not_found,3,25655,Akute,XX,XX,,
334741,Sample Restaurant,geo_not_found,3,25655,Akute,XX,XX,,
334687,Rock View Bar and Lounge,geo_not_found,3,25649,Agege,XX,XX,,
334688,Oba's Unique Bar,geo_not_found,3,25649,Agege,XX,XX,,
334689,AZ's Place Wine Shop and Restaurant,geo_not_found,3,25649,Agege,XX,XX,,
334690,Kia And Testimony Hotel,geo_not_found,3,25649,Agege,XX,XX,,
334691,Tip Top Hostel Nigeria Limited,geo_not_found,2,25649,Agege,XX,XX,,
334696,Agege Area Office,geo_not_found,3,25649,Agege,XX,XX,,
334697,Agege Local Government Office Area B,geo_not_found,3,25649,Agege,XX,XX,,
351008,Shanghai No. 1 Department Store,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351014,La Samaritaine,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351015,Printemps,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351016,KaDeWe,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351017,[[Milan/Centro Storico#Q51112,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351018,[[Milan/Centro Storico#La Rinascente,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351020,Mitsukoshi,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351021,Takashimaya,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351023,[[Mexico_City/Polanco#,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351034,Hayashi Department Store,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351035,Fortnum & Mason,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351036,Harrods,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351037,Harvey Nichols,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351038,Liberty,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351039,Selfridges,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351040,Bergdorf Goodman,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
351041,Bloomingdale's,gmaps_not_found,3,27095,Legacy retailers,XX,XX,,
62169,Huang’s Tea Factory (黃記茶廠)-,geo_not_found,3,6668,Tian Song Pi Agricultural Leisure Area,XX,XX,,
120893,Church of St. Dominic of Guzmán,geo_not_found,3,10505,San Cristóbal de La Laguna,XX,XX,,
115947,Jagannath Lodge,geo_not_found,3,10174,Koraput,XX,XX,,
115948,Sri Ram Hotel,geo_not_found,3,10174,Koraput,XX,XX,,
245326,Colony Club,hotel_centroid,3,18521,Western Barbados,XX,XX,,
245335,[[Akko]],hotel_centroid,3,18525,Western Galilee,XX,XX,,
245336,[[Nahariyya]],hotel_centroid,3,18525,Western Galilee,XX,XX,,
276738,Amir-agin Han,hotel_centroid,3,20994,Novi Pazar,XX,XX,,
117475,Jannah,geo_not_found,3,10263,Kuala Kangsar,XX,XX,,
207549,Namdang Stone Bridge,hotel_centroid,3,16124,Sibsagar,XX,XX,,
207550,Na Pukhuri Shiva Dol,hotel_centroid,3,16124,Sibsagar,XX,XX,,
207553,Shiva Dol,hotel_centroid,3,16124,Sibsagar,XX,XX,,
135620,Gauri Shankar Temple,geo_not_found,3,11385,Manali,XX,XX,,
135329,Saagar sangam,geo_not_found,3,11370,Malvan,XX,XX,,
136351,Janardhana Swamy temple,geo_not_found,3,11421,Mandya,XX,XX,,
136232,Neel Nirjaney,geo_not_found,3,11413,Mandarmani,XX,XX,,
130206,Lyceum Health and Fitness Club,geo_not_found,3,11029,Long Beach Island,XX,XX,,
136226,Digante,geo_not_found,3,11413,Mandarmani,XX,XX,,
130215,Island Sun Jewelers,geo_not_found,3,11029,Long Beach Island,XX,XX,,
130214,Hand's Department Store,geo_not_found,3,11029,Long Beach Island,XX,XX,,
137494,Al-Baik Restaurant,geo_not_found,3,11468,Manjeri,XX,XX,,
143889,Middle Bass Island Airport,geo_not_found,3,11906,Middle Bass Island,XX,XX,,
135617,Rohtang Pass,geo_not_found,3,11385,Manali,XX,XX,,
136370,Samrdh Karoly Restaurant,geo_not_found,3,11421,Mandya,XX,XX,,
137434,Cliff House Restaurant,geo_not_found,3,11465,Manitou Springs,XX,XX,,
137485,Pandallur Hills,geo_not_found,3,11468,Manjeri,XX,XX,,
136237,The Sana Beach,geo_not_found,3,11413,Mandarmani,XX,XX,,
137493,Al-Madheena Restaurant,geo_not_found,3,11468,Manjeri,XX,XX,,
135429,Beachcomber Island,geo_not_found,3,11376,Mamanuca Islands,XX,XX,,
136364,Ranganthittu Bird Sanctuary,geo_not_found,3,11421,Mandya,XX,XX,,
136224,Tarangamala Guest House,geo_not_found,3,11413,Mandarmani,XX,XX,,
136368,Haripriya Restaurant,geo_not_found,3,11421,Mandya,XX,XX,,
