hotel_name;external_city;external_country;external_lat;external_lon;geocoded_lat;geocoded_lon;geocoder;matched_name;matched_type;distance_km;status
Les Suites Orient, Bund Shanghai;Shanghai;China;31.2336424;121.4882742;31.2336424;121.4882742;photon;东方饭店, 黄浦区, 中国;commercial/W/446933545;0.0;OK
Las Casas Filipinas de Acuzar;Luzon;Philippines;14.6013756;120.3854025;14.6013756;120.3854025;photon;Las Casas Filipinas de Acuzar, Bagac, Philippines;attraction/R/7143107;0.0;OK
White Swan Hotel;Guangzhou;China;23.1086755;113.2371984;23.1086755;113.2371984;photon;广州市, 中国;hotel/N/13802033401;0.0;OK
Millennium Hotel;Chengdu;China;30.6154568;104.0464841;30.6154568;104.0464841;photon;新东方千禧大酒店, 成都, 中国;hotel/N/2708951129;0.0;OK
Lemon Tree Premier-Mumbai International Airport;Mumbai;India;19.108247;72.8822827;19.108196;72.8821719;photon;Lemon Tree Premier Mumbai International Airport, Mumbai, India;hotel/W/1253560109;0.01;OK
Hilton Mumbai International Airport;Mumbai;India;19.1043735;72.8709317;19.1043696;72.8709345;photon;Hilton Mumbai International Airport, Mumbai, India;hotel/W/40819205;0.0;OK
Hilton Chennai;Chennai (Madras);India;13.016676;80.2047663;13.0167643;80.2047775;photon;Hilton Chennai, Chennai, India;hotel/W/32551266;0.01;OK
Hotel Universal Port;Osaka;Japan;34.6661009;135.4378877;34.6661405;135.4379225;photon;ホテル ユニバーサル ポート, 大阪市, 日本;hotel/W/257458123;0.01;OK
Hotel Keihan Universal Tower;Osaka;Japan;34.6678256;135.4379826;34.6678073;135.4379379;photon;ホテル京阪ユニバーサル・タワー, 大阪市, 日本;hotel/W/257458153;0.0;OK
Holiday Inn Tianjin Riverside;Tianjin;China;39.1518681;117.1838906;39.1518681;117.1838906;photon;河北区, 中国;hotel/N/7862213044;0.0;OK
Raintree Lodge;Kochi (Cochin);India;9.9644416;76.2415742;9.9644416;76.2415742;photon;Raintree Lodge, Kochi, India;hotel/N/1668520864;0.0;OK
Royal Park Hotel;Hong Kong;China;22.3797478;114.1885585;22.3797435;114.1885324;photon;帝都酒店 Royal Park Hotel, 中国;hotel/R/20088591;0.0;OK
Hotel Moonlight;Kathmandu;Nepal;27.7175128;85.3091028;27.7169754;85.3085386;photon;Hotel Moonlight Kathmandu, काठमाडौं, Nepal;hotel/W/343325589;0.08;OK
Hotel Shambala;Kathmandu;Nepal;27.7416201;85.3383673;27.7416201;85.3383673;photon;Hotel Shambala, काठमाडौं, Nepal;hotel/N/12121424883;0.0;OK
Green Hotel;Vung Tau;Vietnam;10.337459;107.0909249;10.3374498;107.0909195;photon;Green hotel, Thành phố Hồ Chí Minh, Việt Nam;hotel/W/612283146;0.0;OK
City Hotel;Krabi Town;Thailand;8.0649044;98.9162048;8.058682;98.9199871;photon;Krabi City Seaview Hotel, กระบี่, ประเทศไทย;hotel/N/2828528474;0.81;OK
The Ummed Ahmedabad;Ahmedabad;India;23.0823961;72.6165176;23.0823961;72.6165176;photon;The Ummed Ahmedabad, Ahmedabad, India;hotel/N/2050519210;0.0;OK
Grand Hyatt Incheon;Incheon;South Korea;37.4405857;126.457555;37.4403713;126.4566625;photon;인천광역시, 대한민국;footway/W/840538952;0.08;OK
Best Western Premier Incheon Airport;Incheon;South Korea;37.4383392;126.4597822;37.4383114;126.4597029;photon;베스트 웨스턴  인천에어포트 호텔, 인천광역시, 대한민국;hotel/W/429005059;0.01;OK
Hilton Foshan;Foshan;China;23.1488451;113.315283;23.0479265;113.1508863;photon;佛山希尔顿花园酒店, 佛山市, 中国;hotel/N/4885055504;20.22;OK
Green Hotel;Taichung;Taiwan;24.1765344;120.6432276;24.1765036;120.6432091;photon;葉綠宿旅館, 臺中市, 臺灣;hotel/W/387989688;0.0;OK
