name,city,countryCode,neighborhood,starLevel,overallScore,reviewCount,ratingLabel,cleanliness,locationRating,staffRating,latitude,longitude,hotelId,scrapedAt,description,descriptionLanguage,reviews
The Westbourne Hyde Park,London,UK,Notting Hill - Paddington Station Area,4.0,8.6,2314.0,Very Good,8.9,9.4,9.1,51.5179,-0.18440999,4212805.0,2026-05-04T08:38:43.265Z,"Located opposite Hyde Park, The Westbourne Hyde Park Hotel is housed in a beautifully restored 19th-century Victorian property, a 3-minute walk from Lancaster Gate Tube Station and a 6-minute walk from Paddington Tube Station. The hotel offers studios and one-bedroom suites that feature Hypnos beds, Smart TV's and a working area with a desk. All one-bedroom suites also offer a lounge area. The Westbourne Hyde Park has a W Bar & Lounge as well as a 24-hour reception team along with a daily maid service. The hotel is located a 1-minute walk to Hyde Park and it is an 18-minute walk from Oxford Street and Marble Arch Tube Station. Just across the Hyde Park are Kensington, Knightsbridge, Buckingham Palace and the Royal Albert Hall. There is easy access to Heathrow Airport, with an express service from Paddington Train Station, just a 5-minute walk away. ",en,[]
"The Tower Hotel, by Thistle",London,UK,The City - Tower Bridge - St. Pauls Cathedral,4.0,7.8,11040.0,Good,8.2,9.5,8.6,51.5063050900001,-0.072680974999912,424803.0,2026-05-04T08:38:46.161Z,"Nestled between the River Thames and St Katherine’s Dock, and next to Tower Bridge, The Tower Hotel, by Thistle offers ideal location, a restaurant, a bar and a fitness center. Free Wi-Fi is available throughout. Each room at The Tower has a flat-screen TV with Freeview channels and a desk. The on-site restaurant offers freshly prepared modern fusion cuisine. The bar features an extensive drinks menu, and features stunning views of the famous Tower Bridge and the Shard skyscraper. This 4-stars hotel is just 8 minutes’ stroll away from Tower Hill Tube Station, and offers easy access to central London and the West End in just a 20-minute journey. London City Airport is only 30 minutes away by DLR. Thames Clippers service St Katherine’s Pier is a mere 2 minutes’ walk away, connecting the area with the city via the River Thames. ",en,[]
Copthorne Tara Hotel London Kensington,London,UK,Kensington - Earl's Court,4.0,7.2,5522.0,Good,7.6,8.9,8.0,51.4990018600001,-0.192106234999926,326303.0,2026-05-04T08:38:47.845Z,"Copthorne Tara Hotel London Kensington is located within a 3-minute walk from Kensington High Street and within easy reach from the shops and restaurants of Knightsbridge and Notting Hill. Rooms here feature Hypnos beds, flat-screen TVs and in-room safes. All are en-suite and feature coffee and tea making facilities. Free WiFi is available in all areas. Guests can dine on site in the Artist Corner, offering modern British and European cuisine. The property also features a brasserie with Asian-style dishes and the Cafexpress cafe. Further facilities at Copthorne Tara Hotel London Kensington include a conference center and a fitness room. Olympia exhibition center is within walking distance and so are Hyde Park, the Royal Albert Hall and the world-famous museums on Cromwell Road. ",en,[]
Zedwell Piccadilly Circus,London,UK,Mayfair - Soho,3.0,7.5,15479.0,Good,7.9,9.6,8.3,51.51046,-0.13364,126382003.0,2026-05-04T08:38:49.981Z,"The Zedwell Piccadilly Hotel is a great choice for those looking to stay near Piccadilly Circus. The hotel is located in the heart of London’s West End and is within walking distance of some of the city’s most popular attractions, including Soho, Buckingham Palace, Trafalgar Square, and Leicester Square. Whether you are in London for theater or night life, Zedwell Piccadilly Hotel is the perfect place to stay. The hotel offers a variety of amenities and services to make your stay as comfortable and enjoyable as possible, including a 24-hour front desk, gym access, and high speed free WI-Fi throughout the property. It is perfect for couples, solo adventurers, business travelers, and families (with kids). Book your stay at Zedwell Piccadilly Hotel today and experience all that London has to offer! Zedwell Hotel Piccadilly Circus offers complimentary access to Beauty & Ironing Rooms. The rooms are: Ironing Room: 11.215, 5203 Beauty Room: 7103, 3131 Alternatively, guests can request an iron or hairdryer to be delivered to their room for a £10 fee. Guests can either: Use the Beauty & Ironing Room for free. Request an iron/hairdryer to their room for £10 ",en,[]
Mowbray Court Hotel,London,UK,Kensington - Earl's Court,3.5,7.4,648.0,Good,7.9,9.1,8.6,51.4910100000001,-0.193856199999914,8407303.0,2026-05-04T08:38:51.324Z,"Mowbray Court Hotel is a listed Victorian building in Earl's Court, this hotel is a 3-minute walk from the Earl's Court Underground Station. The Mowbray Court Hotel features air-conditioned rooms with free WiFi. The hotel offers a continental buffet breakfast. Refurbished in 2016, the rooms include a flat-screen TV. You will find a kettle in the room. Each room has a private bathroom with a shower, with free toiletries provided. You will find a 24-hour front desk at the property. A variety of restaurants, bars and cafés are within 5 minutes’ walk from the hotel. Mowbray Court Hotel is near to Knightsbridge and a short walk to Kensington Palace, The Royal Albert Hall and Museums of South Kensington. Olympia London exhibition center is only 15-minute walk away. There is a direct tube to Heathrow Airport from Earl's Court Underground Station. ",en,[]
STG Hotel Oxford Street - formerly St Giles London Hotel,London,UK,Bloomsbury - Marble Arch - Kings Cross Station & British Museum,3.0,7.3,7401.0,Good,,,,51.5176057800001,-0.130341419999922,609603.0,2026-05-04T08:38:53.582Z,"Located in London’s West End, less than 5 minutes’ walk from Tottenham Court Underground Station and Oxford Street shops is the STG Hotel Oxford Street. The Dominion Theater is just a 3-minute walk away. The hotel offers 2 restaurant choices: Hudson’s House Restaurant & Lounge Bar and VQ - a vibrant café & diner Covent Garden and the British Museum are within a 10-minute walk of the STG Hotel Oxford Street. The National Gallery is less than 15 minutes’ walk away. The bar is usually open until late, every night. WiFi access for social media and browsing is available free of charge A private shower room and a TV are provided in each bright room. With classic decor, all rooms at the STG Hotel Oxford Street feature a safe and a hairdryer. Same day luggage storage is available for £10 per item. ",en,[]
Tower Suites by Blue Orchid,London,UK,The City - Tower Bridge - St. Pauls Cathedral,5.0,8.7,2745.0,Very Good,9.1,9.4,9.1,51.51047,-0.07528,100420203.0,2026-05-04T08:38:56.498Z,"Located in London and with Tower of London reachable within a 11-minute walk, Tower Suites by Blue Orchid has concierge services, non-smoking rooms, a restaurant, free WiFi and a bar. This 5-star hotel offers room service and a tour desk. The property is a 9-minute walk from Sky Garden, and within 2.6 miles of the city center. The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a fridge, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Rooms come with an electric tea pot, while some rooms include a kitchen with a dishwasher, a microwave and a stovetop. The rooms have a closet. Guests at Tower Suites by Blue Orchid can enjoy a buffet or a Full English/Irish breakfast. Speaking Bulgarian, German, English and Spanish, staff will be happy to provide guests with practical advice on the area at the 24-hour front desk. Popular points of interest near the accommodation include Liverpool Street Tube Station, Tower Bridge and Brick Lane. London City Airport is 6.2 miles from the property. ",en,[]
W London,London,UK,Mayfair - Soho,5.0,8.6,298.0,Very Good,9.1,9.7,9.4,51.5107698,-0.131687967999937,17838904.0,2026-05-04T08:38:57.690Z,"In London’s vibrant West End, W London – Leicester Square offers luxury bedrooms and a stylish cocktail bar. The hotel features a sumptuous spa and beauty center. Featuring floor-to-ceiling windows, the 5-star rooms at W London have iPod docks, 37-inch flat-screen TVs, and an impressive media library. All have bathrobes and luxury linens, and some have views over Leicester Square. Away Spa at W London Leicester Square features a sauna and steam room. There is also a beauty boutique and 4 elegant treatment rooms. The Perception Bar serves cocktails, dining experiences and music/events while overlooking the streets of Soho below. In the heart of Theatreland, W London Hotel is just yards from lively Chinatown and Soho. Leicester Square Underground Station is 984 feet away and Piccadilly Circus is a 2-minute walk. ",en,[]
Park Plaza London Riverbank,London,UK,Westminster - Houses of Parliament - Victoria,4.0,8.2,7869.0,Very Good,8.6,9.0,8.8,51.49156,-0.1217,1799504.0,2026-05-04T08:38:59.781Z,"Located on the south side of the River Thames, 2133 feet from the London Underground, Park Plaza London Riverbank has free WiFi and air-conditioned rooms with flat-screen TVs. The hotel is set across the river from the Tate Britain gallery, close to Westminster. The London Eye, Houses of Parliament and Big Ben are all within reach. Waterloo Station is a mile away, giving great access to the rest of the city and south of England. A fitness center which features free weights, a pre-and post-workout stretching area and a range of TechnoGym weight resistance and cardiovascular machines is available at the property. Guests can also enjoy the indoor pool, sauna and steam room facilities. Every room has a EU/US power sockets, a large work desk, laptop safe, and a mini-bar. Some rooms have views of the River Thames and the London skyline. 24-hour room service is also available. Park Plaza London Riverbank houses the award winning Chino Latino that serves exotic Pan-Asian dishes featuring stunning views of the River Thames. ",en,[]
Holiday Inn London - Kensington By IHG,London,UK,Kensington - Earl's Court,4.0,7.5,6245.0,Good,8.1,9.1,8.5,51.499864,-0.192854,50060603.0,2026-05-04T08:39:02.362Z,"Just 2 minutes’ walk from Kensington High Street, the Holiday Inn London Kensington High St. offers air-conditioned rooms with private bathrooms and free access to the gym. It has Spa center and a 24-hour front desk. Hyde Park is a 10-minute walk away. The spacious rooms at Holiday Inn London Kensington High St. come with a satellite TV, and each is fitted with carpeted floors and wooden furniture. All include a personal safe and a tea/coffee maker. High Street Kensington Underground Station is 492 feet away, and links to Wimbledon and Hammersmith. The famous Museum Mile and Earl’s Court are within a 15-minute walk of Holiday Inn London Kensington High St. The Boulevard Restaurant serves hot buffet breakfast every day, and guests can enjoy contemporary European dishes for dinner. The Lounge Bar serves drinks, light lunches and afternoon teas in a relaxed atmosphere. Access to the swimming pool and modern spa facilities is available at a surcharge. ",en,[]
