"Nome do Hotel","Estrelas","Morada","Cidade","Pais","Latitude","Longitude","Notas"
"President Hotel","4 estrelas","Bolshaya Yakimanka str., 24","Moscow","Russia","55.7375098","37.6127825","metro Oktyabr'skaya; localização aproximada (hotel próximo na cidade correta)"
"Akademicheskaya Hotel","3 estrelas","Donskaya str., 1","Moscow","Russia","55.7271768","37.6109944","metro Oktyabr'skaya; localização aproximada (hotel próximo na cidade correta)"
"Maroseyka Hotel","3 estrelas","Maroseyka str., 2/15","Moscow","Russia","55.7573316","37.6174627","metro Kitay-gorod; localização aproximada (hotel próximo na cidade correta)"
"Pallada Hotel","3 estrelas","Ostrovityanova str., 14","Moscow","Russia","55.7573316","37.6174627","metro Konkovo; localização aproximada (hotel próximo na cidade correta)"
"Cosmos Hotel","3 estrelas","Prospekt Mira, 150","Moscow","Russia","55.7532451","37.5994713","metro VDNH"
"Atlantis House","","Am Markt 21","Bremen","Germany","53.0827415","8.8085954","Das Atlantis Haus; localização aproximada (hotel próximo na cidade correta)"
"Breidenbacher Hof","","Koenigsallee 11","Duesseldorf","Germany","51.2253282","6.7777564",""
"Cecilienhof","","Im Neuen Garten 11","Potsdam","Germany","52.4192803","13.0703237","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Dom-Hotel","","Domkloster 1a","Cologne","Germany","50.9397225","6.9588317","localização aproximada (hotel próximo na cidade correta)"
"Edelweiss Lodge and Resort","","","Garmisch-Partenkirchen","Germany","47.4817671","11.063739","US Armed Forces resort; localização aproximada (sem etiqueta 'hotel' no OSM)"
"Edelweiss Vacation Village and Campground","","","Garmisch-Partenkirchen","Germany","47.4923741","11.0962815","coordenada do centro da cidade (hotel não localizado em OSM)"
"Eh'haeusl","","","Amberg","Germany","49.4447588","11.8526825","claimed world's oldest hotel; localização aproximada (hotel próximo na cidade correta)"
"Excelsior Hotel Ernst","","Trankgasse 1","Cologne","Germany","50.9421706","6.9563483",""
"General Walker Hotel","","Obersalzberg","Berchtesgaden","Germany","47.6330221","13.0020051","defunct; coordenada do centro da cidade (hotel não localizado em OSM)"
"Grand Hotel Heiligendamm","","","Heiligendamm","Germany","54.1437223","11.8432444",""
"Gut Weissenhaus","","","Wangels","Germany","54.3013782","10.7381034","localização aproximada (hotel próximo na cidade correta)"
"Hotel Atlantic Kempinski","","An der Alster 72","Hamburg","Germany","53.5570776","10.0045598",""
"Hotel Nassauer Hof","","Friedrich-Ebert-Str. 17","Wiesbaden","Germany","50.0850625","8.2437641",""
"Hotel Nikko Duesseldorf","","Immermannstrasse 33","Duesseldorf","Germany","51.2228924","6.788524","localização aproximada (hotel próximo na cidade correta)"
"Hotel Petersberg","","","Koenigswinter","Germany","50.6859549","7.207533","near Bonn"
"Hotel Vier Jahreszeiten Kempinski","","Maximilianstrasse 17","Munich","Germany","48.1391684","11.5819647",""
"Hotel Waldkater","","","Friedrichskoog","Germany","54.0072866","8.8841226","coordenada do centro da cidade (hotel não localizado em OSM)"
"Kempinski Hotel Falkenstein","","","Koenigstein im Taunus","Germany","50.1921751","8.4798995",""
"Meisdorf House","","","Meisdorf","Germany","51.4377711","11.6642894","Falkenstein/Harz; localização aproximada (hotel próximo na cidade correta)"
"Palasthotel","","","Berlin","Germany","52.5173885","13.3951309","defunct; coordenada do centro da cidade (hotel não localizado em OSM)"
"Propeller Island City Lodge","","Albrecht-Achilles-Str. 1","Berlin","Germany","52.5173885","13.3951309","coordenada do centro da cidade (hotel não localizado em OSM)"
"Prora","","","Binz","Germany","54.4311986","13.580393","defunct, Ruegen"
"Radisson Blu Hotel","","Grosse Bleichen","Hamburg","Germany","53.6324334","10.0082805","localização aproximada (hotel próximo na cidade correta)"
"Ringberghaus","","","Suhl","Germany","50.617038","10.7237502","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Schloss Elmau","","","Kruen","Germany","47.4621412","11.1864855",""
"Schloss Wolfsbrunn","","","Hilchenbach","Germany","50.9935863","8.107365","approx; coordenada do centro da cidade (hotel não localizado em OSM)"
"Schlosshotel Kronberg","","","Kronberg im Taunus","Germany","50.1890366","8.5104984",""
"St Petrus House","","","Kaltern","Germany","48.29394","12.1310397","approx; coordenada do centro da cidade (hotel não localizado em OSM)"
"Staffelter Hof","","","Kroev","Germany","49.9809554","7.0890725","Mosel; localização aproximada (hotel próximo na cidade correta)"
"Steigenberger Parkhotel Duesseldorf","","Koenigsallee 1a","Duesseldorf","Germany","51.2268175","6.7783854",""
"Taschenbergpalais","","","Dresden","Germany","51.0518956","13.736322",""
"Zum Roten Baeren","","Oberlinden","Freiburg im Breisgau","Germany","47.9933111","7.8537101",""
"Zum Schwan","","","Geiselwind","Germany","49.7797088","10.4561198","approx; localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Bayerischer Hof","","Promenadeplatz 2","Munich","Germany","48.1404741","11.5729285",""
"Schloss Bensberg","","","Bergisch Gladbach","Germany","50.9669449","7.1621126",""
"Estrel Hotel","","Sonnenallee 225","Berlin","Germany","52.4736275","13.4588496",""
"Grand Hotel Bellevue","","","Berlin","Germany","52.496208","13.3202693","defunct"
"Hotel Adlon","","Unter den Linden 77","Berlin","Germany","52.5155757","13.3800699",""
"Hotel Bellevue","","","Berlin","Germany","52.496208","13.3202693",""
"Hotel Berlin","","Luetzowplatz 17","Berlin","Germany","52.5036649","13.3516814",""
