#,Nome do Hotel,Morada,Cidade,País,Latitude,Longitude,,
1,Hotel Ritsa,2 Leona Ave / Naberezhna Street,Sukhumi,Abecásia,42.9995,41.0246,,
2,Garuda Boutique Hotel,"ul. Bubnovoy, d.33",Sukhumi,Abecásia,43.0015,41.0200,,
3,Hotel DEM,Sukhumi Embankment,Sukhumi,Abecásia,43.0025,41.0155,,
4,Inter-Sukhum,Sukhumi Centre,Sukhumi,Abecásia,43.0010,41.0130,,
5,Leon Hotel,Sukhumi,Sukhumi,Abecásia,43.0018,41.0160,,
6,Olimp Hotel,"V. Ardzinba, 4",Sukhumi,Abecásia,43.0030,41.0140,,
7,Amra Butik-Hotel,"ul. Konfederatov, 28",Sukhumi,Abecásia,43.0022,41.0170,,
8,Dioskuria Hotel,"ul. Saharova, 45",Sukhumi,Abecásia,43.0012,41.0190,,
9,Viva Maria,Sukhumi,Sukhumi,Abecásia,43.0035,41.0125,,
10,Dom Moskvy Hotel,Sukhumi Embankment,Sukhumi,Abecásia,43.0019,41.0145,,
11,Samson Hotel,"Ulitsa Haraniya, 5",Sukhumi,Abecásia,43.0008,41.0095,,
12,Hotel Aytar More,"Kodor Highway, 57Б",Sukhumi,Abecásia,43.0180,41.0430,,
13,Hotel Riviera,"Krasnoarmeyskiy tupik, 3",Sukhumi,Abecásia,43.0031,41.0205,,
14,Hotel Strana Dushi,"Akirtava, 24",Sukhumi,Abecásia,43.0025,41.0120,,
15,Comfort Hotel,"Chachba Street, 77",Sukhumi,Abecásia,43.0040,41.0175,,
16,Stolitsa Hotel,"Ulitsa Kalmyikova, 22",Sukhumi,Abecásia,43.0033,41.0165,,
17,Dioskuriya Guest House,"Naberezhnaya Makhadzhirova, 74",Sukhumi,Abecásia,43.0027,41.0148,,
18,Oasis Apartment Hotel,"Ulitsa Kviciniya, 31",Sukhumi,Abecásia,43.0045,41.0210,,
19,Mini Hotel 4Rooms,"Kodorskoe shosse, 55",Sukhumi,Abecásia,43.0190,41.0400,,
20,Akra Hotel,"Ul. Agumaa, d.2",Sukhumi,Abecásia,43.0041,41.0185,,
21,Gostevoy Dom John's,"Naberezhnaya Makhadzhirov, 54",Sukhumi,Abecásia,43.0026,41.0143,,
22,Family Inn,"Akirtava, 56",Sukhumi,Abecásia,43.0020,41.0110,,
23,Kalipso Hotel,"Prospekt Aiaaira, 250",Sukhumi,Abecásia,43.0070,41.0280,,
24,Riverrun Apart-Hotel,"Ulitsa Chehova, d.41",Sukhumi,Abecásia,43.0042,41.0190,,
25,Eden Apartment Hotel,"Ulitsa Anchabadze, 13",Sukhumi,Abecásia,43.0039,41.0180,,
26,Greys Akva Villa Hotel,"Ulitsa Kazach'ya, proezd 1, 30",Sukhumi,Abecásia,43.0500,41.0600,,
27,Sukhum Avenyu Mini-Hotel,"Ulitsa Ardzyinba, 57",Sukhumi,Abecásia,43.0035,41.0162,,
28,Loft Garden Apartments,"2-j proezd Ulitsyi Titova, 15A",Sukhumi,Abecásia,43.0048,41.0220,,
29,Mys Sukhuma Mini-Hotel,"Ulitsa Chachkhaliya 1-y pereulok, 8",Sukhumi,Abecásia,43.0520,41.0620,,
30,Gostevoy Dom Dvorets Relaksa,"Ulitsa Akademika Marra, 49",Sukhumi,Abecásia,43.0028,41.0150,,
31,Lime Guest House,"Ulitsa Mushni Khvartskiya, 40",Sukhumi,Abecásia,43.0055,41.0230,,
32,Aqua Resort Dacha Resort,"Ulitsa Imama Shamilya, 2А",Sukhumi,Abecásia,43.0100,41.0050,,
33,Hotel Black Sea,21 Pogruzochnyy pereulok,Sukhumi,Abecásia,42.9748,41.0624,,
34,Loft Hotel,"Pereulok Ladariya, 5",Novii Afon,Abecásia,43.0920,40.8250,,
35,Griffon Hotel,"Vodopadnyij pereulok, 7",Novii Afon,Abecásia,43.0910,40.8230,,
36,Abaash Afon Hotel,"Ulitsa Eshba, 2/10",Novii Afon,Abecásia,43.0905,40.8220,,
37,Nikopoli Hotel,"Ulitsa Vodopadnaya, 21А",Novii Afon,Abecásia,43.0915,40.8240,,
