"Nome do Hotel","Estrelas","Morada","Cidade","Pais","Latitude","Longitude","Notas"
"Shangri-La Hotel, Beijing","5 estrelas","","Beijing","China","39.9427042","116.3016495","geocodificado por nome (verificar)"
"InterContinental Beijing Sanlitun","5 estrelas","","Beijing","China","39.9312369","116.4487857",""
"Holiday Inn Express Beijing Yizhuang","5 estrelas","","Beijing","China","40.0353871","116.3083873","geocodificado por nome (verificar)"
"Kerry Hotel Beijing","5 estrelas","","Beijing","China","39.9127508","116.4521212","geocodificado por nome (verificar)"
"The Bulgari Hotel Beijing","5 estrelas","","Beijing","China","39.9464674","116.4515654",""
"Crowne Plaza Beijing Sun Palace","4.5 estrelas","","Beijing","China","39.9708074","116.4289471",""
"Crowne Plaza Beijing Chaoyang U-Town","4.5 estrelas","3 Sanfeng North Area Chaoyang","Beijing","China","39.9206041","116.4328216",""
"Regent Beijing","4.5 estrelas","","Beijing","China","39.9146076","116.4127365",""
"Park Hyatt Beijing","4.5 estrelas","","Beijing","China","39.9062681","116.4535128","geocodificado por nome (verificar)"
"Holiday Inn Express Beijing Wangjing","4.5 estrelas","","Beijing","China","40.0353871","116.3083873","geocodificado por nome (verificar)"
"Holiday Inn Express Beijing Badaling","5 estrelas","","Beijing","China","40.0353871","116.3083873","geocodificado por nome (verificar)"
"Zhong'ao Kaifu International Hotel","4 estrelas","","Beijing","China","34.8016259","114.3041962","geocodificado por nome (verificar)"
"Holiday Inn Express Beijing Minzuyuan","4.5 estrelas","","Beijing","China","39.9778177","116.3847401","geocodificado por nome (verificar)"
"VUE Hotel Hou Hai, Beijing","5 estrelas","","Beijing","China","39.9626117","116.3131081","geocodificado por nome (verificar)"
"EAST Beijing","5 estrelas","","Beijing","China","39.9133817","116.4070196","geocodificado por nome (verificar)"
"Hotel Eclat Beijing","5 estrelas","","Beijing","China","39.917939","116.4433988",""
"Grand Mercure Beijing Dongcheng","4.5 estrelas","","Beijing","China","39.9399315","116.4043172",""
"Shangri-La's China World Hotel","5 estrelas","","Beijing","China","22.2970544","114.1770022","geocodificado por nome (verificar)"
"CHAO Sanlitun Beijing","5 estrelas","","Beijing","China","39.9312369","116.4487857","geocodificado por nome (verificar)"
"Four Seasons Hotel Beijing","5 estrelas","","Beijing","China","39.9488258","116.4605476",""
"The Opposite House","5 estrelas","","Beijing","China","39.9361844","116.4485305","geocodificado por nome (verificar)"
"NUO Hotel Beijing","5 estrelas","","Beijing","China","39.9077822","116.4465692",""
"Sunrise Kempinski Hotel, Beijing","5 estrelas","","Beijing","China","40.3858197","116.6710167","geocodificado por nome (verificar)"
"Kerry Hotel Pudong Shanghai","5 estrelas","","Shanghai","China","31.2153329","121.5591707","geocodificado por nome (verificar)"
"Jing An Shangri-La, West Shanghai","5 estrelas","","Shanghai","China","31.2249373","121.4461444","geocodificado por nome (verificar)"
"The Middle House Shanghai","5 estrelas","","Shanghai","China","31.2318339","121.4582093","geocodificado por nome (verificar)"
"The Portman Ritz-Carlton, Shanghai","4.5 estrelas","","Shanghai","China","31.2290667","121.4470596",""
"The Sukhothai Shanghai","5 estrelas","","Shanghai","China","31.2432569","121.4847583","geocodificado por nome (verificar)"
"Grand Kempinski Hotel Shanghai","5 estrelas","1288号 陆家嘴环路","Shanghai","China","31.2445364","121.4997513",""
"The Ritz-Carlton Shanghai, Pudong","5 estrelas","8 世纪大道","Shanghai","China","31.2385571","121.4968072",""
"Cachet Boutique Shanghai","4.5 estrelas","","Shanghai","China","31.2295153","121.4801635","geocodificado por nome (verificar)"
"DoubleTree by Hilton Shanghai-Pudong","4 estrelas","","Shanghai","China","31.2130198","121.5299452",""
"Fairmont Peace Hotel","5 estrelas","20 南京东路","Shanghai","China","31.2410898","121.4845341",""
"The Langham Shanghai Xintiandi","5 estrelas","","Shanghai","China","31.2237257","121.4698926","geocodificado por nome (verificar)"
"Bulgari Hotel Shanghai","5 estrelas","","Shanghai","China","31.2062423","121.4664011","geocodificado por nome (verificar)"
"The Peninsula Shanghai","4.5 estrelas","32 中山东一路","Shanghai","China","31.2432741","121.484736",""
"URBN Boutique Shanghai","4.5 estrelas","","Shanghai","China","31.2295153","121.4801635","geocodificado por nome (verificar)"
"Sofitel Shanghai Hyland","4 estrelas","","Shanghai","China","31.2375328","121.476324","geocodificado por nome (verificar)"
"Okura Garden Hotel Shanghai","4.5 estrelas","","Shanghai","China","31.2208344","121.4555403",""
"InterContinental Shanghai Expo","4.5 estrelas","","Shanghai","China","31.2013335","121.5007022",""
"Swissotel Grand Shanghai","4.5 estrelas","1 Yu Yuan Road","Shanghai","China","31.2264932","121.4424361",""
"Amara Signature Shanghai","4.5 estrelas","","Shanghai","China","31.2403696","121.4304126","geocodificado por nome (verificar)"
"Jin Jiang Tower","4 estrelas","","Shanghai","China","30.2514899","120.1622653","geocodificado por nome (verificar)"
"Les Suites Orient, Bund Shanghai","4.5 estrelas","","Shanghai","China","31.2336424","121.4882742","geocodificado por nome (verificar)"
"Shanghai Blue Mountain Bund Youth Hostel","4 estrelas","350 山西南路","Shanghai","China","31.2415221","121.4770715",""
"Ramada Pudong Airport Shanghai","3.5 estrelas","","Shanghai","China","31.1627576","121.7947602","geocodificado por nome (verificar)"
"Grand Hyatt Shenzhen","5 estrelas","","Shenzhen","China","22.1487195","113.5679425",""
"Hilton Shenzhen Shekou Nanhai","4.5 estrelas","1177号 望海路","Shenzhen","China","22.481387","113.910905",""
"The Ritz-Carlton, Shenzhen","5 estrelas","1 柯士甸道西 Austin Road West","Shenzhen","China","22.3033024","114.1601775",""
"Sheraton Shenzhen Nanshan","5 estrelas","4088 留仙大道","Shenzhen","China","22.5860511","113.9669157",""
"The St. Regis Shenzhen","5 estrelas","5016号 深南东路","Shenzhen","China","22.5455293","114.1015763",""
"Wyndham Grand Shenzhen","5 estrelas","2009 彩田路","Shenzhen","China","22.5362373","114.0624492",""
"Shangri-la Hotel Shenzhen","4.5 estrelas","1002 建设路","Shenzhen","China","22.5362758","114.1131106",""
"Muji Hotel Shenzhen","3.5 estrelas","5001 皇岗路","Shenzhen","China","22.5598606","114.0632854",""
"Innogo Hotel","4.5 estrelas","","Shenzhen","China","22.2748998","114.17325","geocodificado por nome (verificar)"
"Jinjiang Inn Shenzhen Fumin Road","4 estrelas","","Shenzhen","China","22.6792275","114.1316254","geocodificado por nome (verificar)"
"Baohengda International Hotel","4 estrelas","","Shenzhen","China","22.54738","114.06585","geocodificado por nome (verificar)"
"InterContinental Shenzhen Dameisha Resort","5 estrelas","","Shenzhen","China","22.6002505","114.3095222","geocodificado por nome (verificar)"
"Futian Shangri-La","5 estrelas","","Shenzhen","China","22.5389201","114.052389","geocodificado por nome (verificar)"
"Four Seasons Hotel Shenzhen","5 estrelas","8 金融街 Finance Street","Shenzhen","China","22.2866239","114.1566313",""
"InterContinental Shenzhen","5 estrelas","9009号 深南大道","Shenzhen","China","22.5351967","113.9795615",""
"Residence G Shenzhen","5 estrelas","","Shenzhen","China","22.513241","113.9150356","geocodificado por nome (verificar)"
"The Langham, Shenzhen","4.5 estrelas","7888 深南大道","Shenzhen","China","22.5390891","114.0155634",""
"Raffles Shenzhen","5 estrelas","","Shenzhen","China","22.5148226","113.9207242","geocodificado por nome (verificar)"
"Hyatt Place Shenzhen Airport","4 estrelas","2-1 空港八道","Shenzhen","China","22.6263517","113.8109351",""
"Hyatt Regency Shenzhen Airport","4.5 estrelas","","Shenzhen","China","22.6249682","113.8072529",""
"Sunshine Hotel Shenzhen","4 estrelas","","Shenzhen","China","22.5224701","113.9181341","geocodificado por nome (verificar)"
"Hui Hotel Shenzhen","4.5 estrelas","","Shenzhen","China","22.551197","114.0769305",""
"Jiayue Hotel Donghua Shenzhen","3.5 estrelas","","Shenzhen","China","22.659059","114.0331105","geocodificado por nome (verificar)"
"Fulai Garden Hotel","4 estrelas","","Shenzhen","China","22.2984915","114.177615","geocodificado por nome (verificar)"
"Anya Resort Tagaytay","4.5 estrelas","","Luzon","Philippines","14.1245603","120.9700542","geocodificado por nome (verificar)"
"Las Casas Filipinas de Acuzar","4 estrelas","","Luzon","Philippines","14.6013756","120.3854025","geocodificado por nome (verificar)"
"View Park Hotel","4 estrelas","","Luzon","Philippines","16.4178759","120.6266456","geocodificado por nome (verificar)"
"Escala Tagaytay","4 estrelas","","Luzon","Philippines","14.0944183","120.94109","geocodificado por nome (verificar)"
"Savoy Hotel Manila","4.5 estrelas","","Luzon","Philippines","14.5231988","121.0131833","geocodificado por nome (verificar)"
"Sponsored      The Farm at San Benito","4.5 estrelas","","Luzon","Philippines","13.9275825","121.2056272","geocodificado por nome (verificar)"
"Belmont Hotel Manila","4.5 estrelas","","Luzon","Philippines","14.5209455","121.0165149","geocodificado por nome (verificar)"
"Acacia Hotel Manila","4 estrelas","","Luzon","Philippines","14.4205075","121.035496","geocodificado por nome (verificar)"
"The Lake Hotel Tagaytay","3.5 estrelas","","Luzon","Philippines","14.101629","120.9485187","geocodificado por nome (verificar)"
"Bayview Park Hotel Manila","3.5 estrelas","","Luzon","Philippines","14.5788253","120.9784415","geocodificado por nome (verificar)"
"Kabayan Hotel","4 estrelas","","Luzon","Philippines","14.6586143","120.9836707","geocodificado por nome (verificar)"
"The Farm at San Benito","4.5 estrelas","","Luzon","Philippines","13.9275825","121.2056272","geocodificado por nome (verificar)"
"F1 Hotel Manila","4 estrelas","","Luzon","Philippines","14.5535441","121.0492914","geocodificado por nome (verificar)"
"Taal Vista Hotel","4 estrelas","","Luzon","Philippines","14.0954844","120.9345276","geocodificado por nome (verificar)"
"Widus Hotel and Casino","4 estrelas","","Luzon","Philippines","15.1895441","120.5255831",""
"Red Planet Manila Bay","4.5 estrelas","","Luzon","Philippines","14.5776361","120.979417","geocodificado por nome (verificar)"
"The Mini Suites","3.5 estrelas","","Luzon","Philippines","15.1644058","120.5820194","geocodificado por nome (verificar)"
"City Garden Suites","4 estrelas","","Luzon","Philippines","14.5791299","120.9807849","geocodificado por nome (verificar)"
"Berjaya Makati Hotel - Philippines","3.5 estrelas","","Luzon","Philippines","14.5651103","121.0293903","geocodificado por nome (verificar)"
"Hotel Monticello","4 estrelas","","Luzon","Philippines","14.1002316","120.9282599","geocodificado por nome (verificar)"
"Hotel 101 - Manila","3.5 estrelas","","Luzon","Philippines","14.5354436","120.9880069","geocodificado por nome (verificar)"
"Holiday Inn Express Manila Newport City","3 estrelas","","Luzon","Philippines","14.517882","121.0194586","geocodificado por nome (verificar)"
"Microtel by Wyndham Mall of Asia","3.5 estrelas","","Luzon","Philippines","14.5304903","120.9802543","geocodificado por nome (verificar)"
"New World Makati Hotel","4.5 estrelas","","Luzon","Philippines","14.5511597","121.0216878","geocodificado por nome (verificar)"
"Hilton Manila","4.5 estrelas","","Luzon","Philippines","14.5186554","121.0188988","geocodificado por nome (verificar)"
"Hilton Guangzhou Tianhe","4.5 estrelas","215 Linhe West Cross Rd","Guangzhou","China","23.1488451","113.315283",""
"The Garden Hotel Guangzhou","4.5 estrelas","","Guangzhou","China","22.2984915","114.177615","geocodificado por nome (verificar)"
"Guangzhou Marriott Hotel Tianhe","4.5 estrelas","228 Tianhe Road","Guangzhou","China","23.1352884","113.3208039",""
"Sheraton Guangzhou Hotel","5 estrelas","","Guangzhou","China","22.7947163","113.5240137","geocodificado por nome (verificar)"
"W Guangzhou","5 estrelas","","Guangzhou","China","23.1488451","113.315283","geocodificado por nome (verificar)"
"Langham Place Guangzhou","4.5 estrelas","","Guangzhou","China","23.0991973","113.3546295","geocodificado por nome (verificar)"
"Four Points by Sheraton Guangzhou Dongpu","4.5 estrelas","","Guangzhou","China","23.1142466","113.4123873",""
"Pullman Guangzhou Baiyun Airport","4 estrelas","","Guangzhou","China","23.3341695","113.2833645","geocodificado por nome (verificar)"
"Fraser Suites Guangzhou","4.5 estrelas","232 天河路","Guangzhou","China","23.13517","113.3257649",""
"Grand Mercure Guangzhou Zhujiang New Town","5 estrelas","","Guangzhou","China","23.1248227","113.3180622","geocodificado por nome (verificar)"
"Holiday Inn Guangzhou Airport Zone","4.5 estrelas","","Guangzhou","China","30.3533412","104.5125801","geocodificado por nome (verificar)"
"Holiday Inn Guangzhou Shifu","4 estrelas","","Guangzhou","China","23.1156498","113.2398364","geocodificado por nome (verificar)"
"DoubleTree by Hilton Guangzhou","4.5 estrelas","391 Dongfeng Road","Guangzhou","China","23.1342368","113.2656669",""
"Leeden Hotel","4 estrelas","","Guangzhou","China","23.1234468","113.3121718","geocodificado por nome (verificar)"
"Dan Executive Apartment Guangzhou","4 estrelas","","Guangzhou","China","22.8769138","113.8643973","geocodificado por nome (verificar)"
"H Life Hotel","4 estrelas","31 石牌东路","Guangzhou","China","23.1376041","113.3377427",""
"Lazy Gaga Hostel","4.5 estrelas","","Guangzhou","China","23.1257997","113.2516317",""
"Landmark Canton Hotel","3.5 estrelas","","Guangzhou","China","23.1175415","113.262613",""
"Guangzhou Yihe Hotel","3.5 estrelas","","Guangzhou","China","23.1186453","113.2603913","geocodificado por nome (verificar)"
"Four Seasons Hotel Guangzhou","5 estrelas","5号 珠江西路","Guangzhou","China","23.1204288","113.3179702",""
"White Swan Hotel","4.5 estrelas","","Guangzhou","China","23.1086755","113.2371984",""
"The Ritz-Carlton, Xi`an","5 estrelas","50 科技二路","Xi'an","China","34.2251842","108.8932255",""
"Renaissance Xi'an Hotel","5 estrelas","355 汇新路","Xi'an","China","34.1963319","108.9498145",""
"Grand Hyatt Xi'an","5 estrelas","12 锦业路","Xi'an","China","34.1940647","108.8760114",""
"Sofitel Xian on Renmin Square","4.5 estrelas","319 Dongxin","Xi'an","China","34.2664175","108.9549975",""
"Hilton Xi'an","4.5 estrelas","186 镐京大道","Xi'an","China","34.2369185","108.7940374",""
"Grand Mercure Xian on Renmin Square","4 estrelas","","Xi'an","China","34.2670338","108.9541256",""
"Eastern House Boutique Hotel","4.5 estrelas","","Xi'an","China","34.2572437","108.9371998",""
"Le Meridien Xi'an Chanba","4.5 estrelas","6 West Euro-Asia Avenue","Xi'an","China","34.3406337","109.0105762",""
"Crowne Plaza Xi'an","4.5 estrelas","1 朱雀大街","Xi'an","China","34.2329944","108.9353805",""
"InterContinental Century City Hotel Chengdu","5 estrelas","","Chengdu","China","30.5620773","104.0696903",""
"InterContinental Global Center","5 estrelas","","Chengdu","China","30.5694475","104.0611478",""
"The St. Regis Chengdu","5 estrelas","88 太升南路","Chengdu","China","30.6634959","104.0721824",""
"Canopy by Hilton Chengdu City Centre","5 estrelas","","Chengdu","China","30.6583342","104.0621715",""
"Crowne Plaza Chengdu Wenjiang","5 estrelas","1 西芯大道","Chengdu","China","30.7314289","103.9714048",""
"Shangri-La Hotel Chengdu","5 estrelas","9 Binjiang E Rd","Chengdu","China","30.6453863","104.0836134",""
"The Ritz-Carlton, Chengdu","5 estrelas","269 顺城大街","Chengdu","China","30.6664017","104.0675133",""
"JW Marriott Hotel Chengdu","5 estrelas","19 东御街","Chengdu","China","30.6592725","104.0675001",""
"Millennium Hotel","5 estrelas","41 神仙树南路","Chengdu","China","30.6154568","104.0464841",""
"Chengdu Marriott Hotel Financial Centre","5 estrelas","999 天府大道北段","Chengdu","China","30.588917","104.067146",""
"JinJiang Hotel","4.5 estrelas","","Chengdu","China","30.6507295","104.0621831",""
"Crowne Plaza Chengdu West","5 estrelas","1 西芯大道","Chengdu","China","30.7314289","103.9714048",""
"Hilton Chengdu","5 estrelas","666 Tianfu Avenue","Chengdu","China","30.5519827","104.0656563",""
"Wyndham Grand Plaza Royale Palace Chengdu","4.5 estrelas","1088 望丛中路","Chengdu","China","30.7954126","103.8996832",""
"Howard Johnson Hi-Tech Plaza Chengdu","5 estrelas","338 天泰路","Chengdu","China","30.5931873","104.0664981",""
"Renaissance Chengdu Hotel","5 estrelas","48 South Renmin Road","Chengdu","China","30.6147853","104.0640023",""
"The Myst Dong Khoi","4.5 estrelas","","Ho Chi Minh City","Vietnam","10.7747222","106.7053977",""
"Silverland Yen Hotel","4.5 estrelas","","Ho Chi Minh City","Vietnam","10.774313","106.6961892",""
"Le Meridien Saigon","4.5 estrelas","3C Ton Duc Thang Street","Ho Chi Minh City","Vietnam","10.7799374","106.707289",""
"Lotus Central Hotel","4.5 estrelas","","Ho Chi Minh City","Vietnam","10.7724614","106.6950674",""
"Pullman Saigon Centre","4.5 estrelas","","Ho Chi Minh City","Vietnam","10.7642446","106.6917021",""
"Grand Silverland Hotel & SPA","4.5 estrelas","","Ho Chi Minh City","Vietnam","10.7801224","106.7038609",""
"Hotel Grand Saigon","4 estrelas","Hẻm 373 Phạm Ngũ Lão","Ho Chi Minh City","Vietnam","10.7665962","106.6898057",""
"Mia Saigon Luxury Boutique Hotel","4.5 estrelas","","Ho Chi Minh City","Vietnam","10.8099887","106.751104",""
"Sanouva Saigon Hotel","4 estrelas","39/26 Nguyen Trai Street","Ho Chi Minh City","Vietnam","10.7702587","106.6928106",""
"Hotel Continental Saigon","4 estrelas","","Ho Chi Minh City","Vietnam","10.7757521","106.7046095",""
"Akoya Saigon Central Hotel","4.5 estrelas","19 Đông Du","Ho Chi Minh City","Vietnam","10.7761911","106.7048364",""
"Tan Hoang Long Hotel","4.5 estrelas","84 Mạc Thị Bưởi","Ho Chi Minh City","Vietnam","10.774799","106.7041338",""
"Central Palace Hotel","4 estrelas","34 Mạc Thị Bưởi","Ho Chi Minh City","Vietnam","10.7756897","106.7049251",""
"Saigon Sparkle Hotel","3 estrelas","204 Đường Nguyễn Thị Minh Khai","Ho Chi Minh City","Vietnam","10.7752121","106.6905019",""
"The Quarter Phromphong By UHG","5 estrelas","","Bangkok","Thailand","13.7376383","100.5664949",""
"The Quarter Ari by UHG","4.5 estrelas","","Bangkok","Thailand","13.7844645","100.5470473",""
"Novotel Bangkok Platinum Pratunam","4.5 estrelas","220 ถนนเพชรบุรี","Bangkok","Thailand","13.7495822","100.5406831",""
"Sponsored      Bed Station Hostel","5 estrelas","484 Soi Phetchaburi16","Bangkok","Thailand","13.7532575","100.5311223",""
"The Quarter Ladprao by UHG","4.5 estrelas","","Bangkok","Thailand","13.8119977","100.5617932",""
"Evergreen Place Siam by UHG","4.5 estrelas","318 Phayathai Road","Bangkok","Thailand","13.7508791","100.5304436",""
"Hilton Sukhumvit Bangkok","4.5 estrelas","11 Soi Sukhumvit 24","Bangkok","Thailand","13.7284001","100.5693322",""
"Asoke Residence Sukhumvit by UHG","4.5 estrelas","","Bangkok","Thailand","13.7466353","100.5615984",""
"Millennium Hilton Bangkok","4.5 estrelas","123 ถนนเจริญนคร","Bangkok","Thailand","13.7286941","100.5109597",""
"Picnic Hotel Bangkok","4.5 estrelas","","Bangkok","Thailand","13.7600692","100.5404515",""
"Amari Don Muang Airport Bangkok","4 estrelas","","Bangkok","Thailand","13.920916","100.6001478",""
"Ibis Bangkok Sukhumvit 24","4 estrelas","41 ซอยสุขุมวิท 4","Bangkok","Thailand","13.7379918","100.5534487",""
"Vince Hotel","4.5 estrelas","","Bangkok","Thailand","13.7543554","100.5355558",""
"Al Meroz Hotel Bangkok","4.5 estrelas","","Bangkok","Thailand","13.7463217","100.6037168",""
"ibis Bangkok Siam","4 estrelas","","Bangkok","Thailand","13.7469672","100.528996",""
"Baiyoke Sky Hotel","3.5 estrelas","","Bangkok","Thailand","13.7545522","100.540399",""
"The Berkeley Hotel Pratunam","4 estrelas","559 ถนนเพชรบุรี","Bangkok","Thailand","13.7500308","100.542967",""
"Grand Tower Inn Rama VI","3.5 estrelas","","Bangkok","Thailand","13.7893951","100.5378231",""
"Roseate House New Delhi","5 estrelas","Asset 10, Northern Access Rd, Aerocity, Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi 110037","New Delhi","India","28.5507261","77.120575",""
"The Roseate New Delhi","4.5 estrelas","NH-8","New Delhi","India","28.5319029","77.1034619",""
"Holiday Inn New Delhi International Airport","4.5 estrelas","","New Delhi","India","28.5502204","77.1228191",""
"Radisson Blu Plaza Delhi Airport","4.5 estrelas","","New Delhi","India","28.5431492","77.1195279",""
"JW Marriott Hotel New Delhi Aerocity","4.5 estrelas","","New Delhi","India","28.5527985","77.1215512",""
"Hilton Garden Inn New Delhi / Saket","4.5 estrelas","","New Delhi","India","28.5279835","77.2174969",""
"WelcomHotel Dwarka","4.5 estrelas","","New Delhi","India","28.579363","77.0560517",""
"Andaz Delhi","5 estrelas","Asset No.1 Aerocity","New Delhi","India","28.5542398","77.1220283",""
"Eros Hotel","4.5 estrelas","","New Delhi","India","28.5501814","77.2491737",""
"Lemon Tree Premier, Delhi Airport","4.5 estrelas","Asset No.6 Aerocity Hospitality District, IGI Airport","New Delhi","India","28.5516096","77.1207961",""
"The Lodhi","4.5 estrelas","Lodhi Road","New Delhi","India","28.5915262","77.238125",""
"ibis New Delhi Aerocity","4 estrelas","","New Delhi","India","28.551413","77.1232779",""
"The Park New Delhi","4 estrelas","","New Delhi","India","28.6289121","77.2161522",""
"Hyatt Regency Delhi","4.5 estrelas","Mahatma Gandhi Marg/Ring Road","New Delhi","India","28.5689952","77.1851106",""
"Jaypee Siddharth","4.5 estrelas","","New Delhi","India","28.6424826","77.1755884",""
"Jinmao Hotel Lijiang, The Unbound Collection By Hyatt","5 estrelas","","Lijiang","China","26.9162856","100.2183027",""
"Hilton Garden Inn Lijiang","4.5 estrelas","","Lijiang","China","26.8729488","100.2208523",""
"InterContinental Lijiang Ancient Town Resort","5 estrelas","","Lijiang","China","26.869499","100.2362909",""
"Banyan Tree Lijiang","4.5 estrelas","","Lijiang","China","26.9287295","100.21249",""
"Lijiang Spiritual Utopia Hotel","4.5 estrelas","","Lijiang","China","26.877854","100.2412759",""
"Sponsored      The Westin Siray Bay Resort & Spa Phuket","4 estrelas","","Phuket","Thailand","7.87226","98.4288815",""
"Pullman Phuket Arcadia Naithon Beach","4.5 estrelas","","Phuket","Thailand","8.0634299","98.276471",""
"Sponsored      Phuket Marriott Resort & Spa, Merlin Beach","4.5 estrelas","99 Muen-Ngoen Road","Phuket","Thailand","7.8834899","98.2724533",""
"Banyan Tree Phuket","4.5 estrelas","","Phuket","Thailand","8.0111129","98.295735",""
"Novotel Phuket Kamala Beach","4 estrelas","","Phuket","Thailand","7.9637548","98.2845238",""
"The Chava Resort","5 estrelas","","Phuket","Thailand","7.9783698","98.2802944",""
"The Nature Phuket","4.5 estrelas","","Phuket","Thailand","7.9152839","98.2929871",""
"Burasari Phuket","4.5 estrelas","18/110 Ruamchai Road","Phuket","Thailand","7.8879048","98.293116",""
"The Shore At Katathani","5 estrelas","14 Kata Noi Rd","Phuket","Thailand","7.8031138","98.2993158",""
"Kantary Bay, Phuket","4.5 estrelas","","Phuket","Thailand","7.8053126","98.406577",""
"Phuket Marriott Resort & Spa, Merlin Beach","4.5 estrelas","99 Muen-Ngoen Road","Phuket","Thailand","7.8834899","98.2724533",""
"DoubleTree by Hilton Phuket Banthai Resort","4 estrelas","94 94 Thaweewong Road, Patong Beach","Phuket","Thailand","7.8906466","98.2951011",""
"Dewa Phuket","4.5 estrelas","","Phuket","Thailand","8.0929722","98.300068",""
"Palmyra Patong Resort","4 estrelas","","Phuket","Thailand","7.8810164","98.2929101",""
"Andamantra Resort & Villa Phuket","3.5 estrelas","","Phuket","Thailand","7.8822785","98.3012048",""
"Dusit Thani Laguna Phuket","4.5 estrelas","","Phuket","Thailand","8.0014539","98.2938719",""
"Katathani Phuket Beach Resort","4.5 estrelas","","Phuket","Thailand","7.8074981","98.2995481",""
"Amari Phuket","4.5 estrelas","","Phuket","Thailand","7.8860386","98.2844304",""
"Cassia Phuket","4.5 estrelas","","Phuket","Thailand","8.0002057","98.2963381",""
"The Boathouse Phuket","5 estrelas","","Phuket","Thailand","7.8142641","98.2992435",""
"Sugar Palm Grand Hillside","4 estrelas","1 Khoktanod soi 3 Road,Karon","Phuket","Thailand","7.8142148","98.3006597",""
"Sheraton Grand Hangzhou Wetland Park Resort","5 estrelas","1 西溪喜来登环路","Hangzhou","China","30.2700451","120.0839728",""
"Four Seasons Hangzhou at West Lake","5 estrelas","5号 灵隐路","Hangzhou","China","30.2537723","120.1236265",""
"Conrad Hangzhou","5 estrelas","","Hangzhou","China","30.2510925","120.2092052",""
"Shangri La Hotel Hangzhou","4.5 estrelas","","Hangzhou","China","30.2547588","120.1319271",""
"Midtown Shangri-La,Hangzhou","5 estrelas","6 长寿路 Changshou Road","Hangzhou","China","30.2623203","120.1569287",""
"InterContinental Hangzhou","4.5 estrelas","2号 解放东路","Hangzhou","China","30.2448091","120.2090503",""
"Le Meridien Hangzhou Binjiang","5 estrelas","4756 Jiangnan Avenue","Hangzhou","China","30.1905849","120.1415511",""
"JW Marriott Hotel Hangzhou","5 estrelas","719 Dayuan Road","Hangzhou","China","30.2904909","119.8159123",""
"Hangzhou Marriott Hotel Qianjiang","5 estrelas","399 Juyuan Road","Hangzhou","China","30.2482661","120.2131968",""
"Grand New Century Hotel Hangzhou Xiaoshan","5 estrelas","","Hangzhou","China","30.392676","120.2974979",""
"The Westin Wuhan Wuchang","5 estrelas","96 Linjiang Road","Wuhan","China","30.5669284","114.3026641",""
"Renaissance Wuhan Hotel","4.5 estrelas","160 Xudong Avenue","Wuhan","China","30.581897","114.350679",""
"Sheraton Grand Wuhan Hankou Hotel","5 estrelas","","Wuhan","China","30.604806","114.2495677",""
