"Nome do Hotel","Cidade","Pais","Latitude","Longitude","Match OSM","Motivo"
"President Hotel","Moscow","Russia","55.7375098","37.6127825","Президент-Отель","localização aproximada (hotel próximo na cidade correta)"
"Akademicheskaya Hotel","Moscow","Russia","55.7271768","37.6109944","Академическая","localização aproximada (hotel próximo na cidade correta)"
"Maroseyka Hotel","Moscow","Russia","55.7573316","37.6174627","Four Seasons Hotel Moscow","localização aproximada (hotel próximo na cidade correta)"
"Pallada Hotel","Moscow","Russia","55.7573316","37.6174627","Four Seasons Hotel Moscow","localização aproximada (hotel próximo na cidade correta)"
"Atlantis House","Bremen","Germany","53.0827415","8.8085954","Vienna House Easy","localização aproximada (hotel próximo na cidade correta)"
"Cecilienhof","Potsdam","Germany","52.4192803","13.0703237","Schloss Cecilienhof","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Dom-Hotel","Cologne","Germany","50.9397225","6.9588317","CityClass Hotel am Dom","localização aproximada (hotel próximo na cidade correta)"
"Edelweiss Lodge and Resort","Garmisch-Partenkirchen","Germany","47.4817671","11.063739","Edelweiss Lodge and Resort","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Edelweiss Vacation Village and Campground","Garmisch-Partenkirchen","Germany","47.4923741","11.0962815","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Eh'haeusl","Amberg","Germany","49.4447588","11.8526825","Eh'häusl","localização aproximada (hotel próximo na cidade correta)"
"General Walker Hotel","Berchtesgaden","Germany","47.6330221","13.0020051","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Gut Weissenhaus","Wangels","Germany","54.3013782","10.7381034","Gut Friederikenhof","localização aproximada (hotel próximo na cidade correta)"
"Hotel Nikko Duesseldorf","Duesseldorf","Germany","51.2228924","6.788524","Clayton Hotel Düsseldorf","localização aproximada (hotel próximo na cidade correta)"
"Hotel Waldkater","Friedrichskoog","Germany","54.0072866","8.8841226","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Meisdorf House","Meisdorf","Germany","51.4377711","11.6642894","The Glass-House Of Spirits","localização aproximada (hotel próximo na cidade correta)"
"Palasthotel","Berlin","Germany","52.5173885","13.3951309","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Propeller Island City Lodge","Berlin","Germany","52.5173885","13.3951309","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Radisson Blu Hotel","Hamburg","Germany","53.6324334","10.0082805","Radisson Blu Hotel, Hamburg Airport","localização aproximada (hotel próximo na cidade correta)"
"Ringberghaus","Suhl","Germany","50.617038","10.7237502","Ringberghaus","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Schloss Wolfsbrunn","Hilchenbach","Germany","50.9935863","8.107365","","coordenada do centro da cidade (hotel não localizado em OSM)"
"St Petrus House","Kaltern","Germany","48.29394","12.1310397","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Staffelter Hof","Kroev","Germany","49.9809554","7.0890725","Springiersbacher Hof","localização aproximada (hotel próximo na cidade correta)"
"Zum Schwan","Geiselwind","Germany","49.7797088","10.4561198","Zum geselligen Anker","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Berolina","Berlin","Germany","52.5174707","13.4152062","B&B Hotel Berlin-Alexanderplatz","localização aproximada (hotel próximo na cidade correta)"
"Hotel Excelsior","Berlin","Germany","52.5036649","13.3516814","Hotel Berlin, Berlin","localização aproximada (hotel próximo na cidade correta)"
"Hotel Fuerstenhof","Berlin","Germany","52.4314392","13.2587721","Fürstenhof","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Kaiserhof","Berlin","Germany","52.4447925","13.5761985","Hotel zum Kaiserhof","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Park Inn Berlin","Berlin","Germany","52.5228403","13.4127893","Park Inn by Radisson Berlin-Alexanderplatz","localização aproximada (hotel próximo na cidade correta)"
"Swissoetel Berlin","Berlin","Germany","52.5228403","13.4127893","Park Inn by Radisson Berlin-Alexanderplatz","localização aproximada (hotel próximo na cidade correta)"
"Mandarin Oriental Munich","Munich","Germany","48.1372989","11.5807333","Mandarin Oriental","localização aproximada (hotel próximo na cidade correta)"
"Hotel Bellavista","Andorra la Vella","Andorra","42.5084414","1.5269239","Hotel Andorra Palace","localização aproximada (hotel próximo na cidade correta)"
"Hostal Palanques","La Massana","Andorra","42.5071323","1.5204253","Hostal Cisco De Sans","localização aproximada (hotel próximo na cidade correta)"
"Aleksandar Palas Hotel","Belgrade","Serbia","44.8195159","20.4724492","Prezident Palace Hotel","localização aproximada (hotel próximo na cidade correta)"
"Hotel Bristol Belgrade","Belgrade","Serbia","44.8127512","20.4526281","Хотел Бристол","localização aproximada (hotel próximo na cidade correta)"
"Hotel Jugoslavija","Belgrade","Serbia","44.812876","20.4604199","Хотел Москва","localização aproximada (hotel próximo na cidade correta)"
"Hotel Moskva","Belgrade","Serbia","44.812876","20.4604199","Хотел Москва","localização aproximada (hotel próximo na cidade correta)"
"Hotel Slavija Lux","Belgrade","Serbia","44.8178131","20.4568974","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Ambasador Hotel","Nis","Serbia","43.3212006","21.8965559","Ambasador","localização aproximada (sem etiqueta 'hotel' no OSM)"
"InterContinental Dhaka","Dhaka","Bangladesh","23.7412386","90.3970716","InterContinental","localização aproximada (hotel próximo na cidade correta)"
"Grand Central Hotel","Nassau","Bahamas","25.0782266","-77.3383438","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Graycliff","Nassau","Bahamas","25.079519","-77.3414265","World of Graycliff","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Xanadu Beach Resort & Marina","Freeport","Bahamas","26.535681","-78.6953623","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Hotel Le Plaza","Brussels","Belgium","50.854478","4.3561286","Le Plaza Brussels","localização aproximada (hotel próximo na cidade correta)"
"Hotel Metropole","Brussels","Belgium","50.8512399","4.3653009","Corinthia Grand Hotel Astoria Brussels","localização aproximada (hotel próximo na cidade correta)"
"Pook's Hill Lodge","San Ignacio","Belize","17.1678919","-89.1023738","Vanilla Hills Lodge","localização aproximada (hotel próximo na cidade correta)"
"Hamilton Hotel","Hamilton","Bermuda","32.3394123","-64.7012052","Tucker's Point Hotel and Spa","localização aproximada (hotel próximo na cidade correta)"
"Hotel Jumolhari","Thimphu","Bhutan","27.4743322","89.6301652","Hotel Bhutan Home","localização aproximada (hotel próximo na cidade correta)"
"Hotel Motithang","Thimphu","Bhutan","27.4749622","89.6196434","Mothithang Hotel","localização aproximada (hotel próximo na cidade correta)"
"Hotel Wangchuck","Thimphu","Bhutan","27.4708353","89.6400825","Lemon Tree Hotel, Thimphu","localização aproximada (hotel próximo na cidade correta)"
"Palacio de Sal","Salar de Uyuni","Bolivia","-20.3052504","-66.9739805","Hotel Palacio de Sal","verificar localização (nome coincide, fora da cidade indicada)"
"Divi Flamingo Beach Resort & Casino","Kralendijk","Bonaire","12.1310269","-68.2649182","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Plaza Resort Bonaire","Kralendijk","Bonaire","12.1371672","-68.2747192","Plaza Beach Resort","localização aproximada (hotel próximo na cidade correta)"
"Ariau Towers","Manaus","Brazil","-3.0615821","-59.9239552","Rua Ariau","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Centro Empresarial Nacoes Unidas","Sao Paulo","Brazil","-23.6104213","-46.6969964","Centro Empresarial Nações Unidas","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Dom Pedro Hotels & Golf Collection","Vilamoura","Portugal","37.0759505","-8.1165401","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Kubitschek Plaza","Brasilia","Brazil","-15.7902545","-47.8866462","Kubitscheck Plaza","localização aproximada (hotel próximo na cidade correta)"
"Palacio Quitandinha","Petropolis","Brazil","-29.3759836","-51.1123342","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Othon Palace Hotel","Sao Paulo","Brazil","-23.5594793","-46.6347353","Nikkey Palace Hotel","localização aproximada (hotel próximo na cidade correta)"
"Hotel Gloria","Rio de Janeiro","Brazil","-22.9236857","-43.1734131","Hotel Glória - Anexo","localização aproximada (hotel próximo na cidade correta)"
"Hotel Nacional Rio","Rio de Janeiro","Brazil","-22.9978075","-43.2570047","Torre Hotel Nacional","localização aproximada (sem etiqueta 'hotel' no OSM)"
"LSH Hotel","Rio de Janeiro","Brazil","-22.9670132","-43.1791849","Hotel Copacabana Palace","localização aproximada (hotel próximo na cidade correta)"
"Sheraton Grand Rio Hotel & Resort","Rio de Janeiro","Brazil","-22.9921969","-43.2332174","Sheraton Rio Hotel & Resort","localização aproximada (hotel próximo na cidade correta)"
"Bitter End Yacht Club","Virgin Gorda","British Virgin Islands","18.5001377","-64.3578982","Bitter End Yacht Club","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Mirage","Burgas","Bulgaria","42.4921682","27.4648662","Family Hotel Chiplakoff","localização aproximada (hotel próximo na cidade correta)"
"Maritsa Hotel","Plovdiv","Bulgaria","42.1982434","24.6942152","ego hotel","localização aproximada (hotel próximo na cidade correta)"
"Novotel Plovdiv","Plovdiv","Bulgaria","42.1559256","24.7456124","Гранд хотел Пловдив","localização aproximada (hotel próximo na cidade correta)"
"Hotel Marinela Sofia","Sofia","Bulgaria","42.6723235","23.3187293","Хотел Маринела София","localização aproximada (hotel próximo na cidade correta)"
"Hotel Rodina","Sofia","Bulgaria","42.6958454","23.3165692","Sofia Palace Hotel","localização aproximada (hotel próximo na cidade correta)"
"Kempinski Hotel Zografski","Sofia","Bulgaria","42.6977028","23.3217359","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Interhotel Cherno More","Varna","Bulgaria","43.2048872","27.919849","Черно Море","localização aproximada (hotel próximo na cidade correta)"
"Andaman Club","Thahtay Kyun Island","Myanmar","13.917786","97.9138003","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Grand Park Hotel","Mandalay","Myanmar","21.9628546","96.0757617","Grand Park Hotel","localização aproximada (hotel próximo na cidade correta)"
"Parnu Mud Baths","Parnu","Estonia","58.3757286","24.4964685","Mudaravila","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Schloessle Hotel","Tallinn","Estonia","59.4386525","24.7475981","Schlössle","localização aproximada (hotel próximo na cidade correta)"
"Swissoetel Tallinn","Tallinn","Estonia","59.4328311","24.7613745","Swissôtel","localização aproximada (hotel próximo na cidade correta)"
"Hotel Foroyar","Torshavn","Faroe Islands","62.0124575","-6.7998646","Hotel Føroyar","localização aproximada (hotel próximo na cidade correta)"
"Shangri-La's Fijian Resort","Yanuca","Fiji","-18.1407705","177.4207353","Shangri-La Fijian Resort","verificar localização (nome coincide, fora da cidade indicada)"
"Palace Hotel","Helsinki","Finland","60.1651688","24.9522492","Palace Hotel","localização aproximada (hotel próximo na cidade correta)"
"Anjodi","Le Somail","France","43.4887606","2.7572599","Le Somail","localização aproximada (hotel próximo na cidade correta)"
"Beat Hotel","Paris","France","48.8534951","2.3483915","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Chateau de l'Ile","Ostwald","France","48.5447009","7.7143052","Château de l'Île","localização aproximada (hotel próximo na cidade correta)"
"Enchante","Briare","France","47.6410716","2.7413128","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Grand-Hotel du Cap-Ferrat","Saint-Jean-Cap-Ferrat","France","43.6769597","7.3315163","Grand Hôtel du Cap Ferrat","localização aproximada (hotel próximo na cidade correta)"
"Hotel Belvedere du Rayon Vert","Cerbere","France","42.4440707","3.1676109","Hôtel Belvédère du Rayon Vert","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Concorde La Fayette","Paris","France","48.8676219","2.3213665","Hôtel de Crillon","localização aproximada (hotel próximo na cidade correta)"
"Hotel du Cap","Antibes","France","43.5484489","7.1215745","Hôtel du Cap-Eden-Roc","localização aproximada (hotel próximo na cidade correta)"
"Hotel Le Bristol Paris","Paris","France","48.8534951","2.3483915","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Hotel Lutetia","Paris","France","48.8510984","2.3274844","Hôtel Lutétia","localização aproximada (hotel próximo na cidade correta)"
"Hotel de Soissons","Paris","France","48.8676219","2.3213665","Hôtel de Crillon","localização aproximada (hotel próximo na cidade correta)"
"La Clef Champs-Elysees","Paris","France","48.8668308","2.3028826","Hôtel de la Trémoille","localização aproximada (hotel próximo na cidade correta)"
"Le Chabichou","Courchevel","France","45.4133863","6.6577786","Miléade (ex Vacanciel Le Zenith)","localização aproximada (hotel próximo na cidade correta)"
"L'Hotel","Paris","France","48.8563424","2.3352399","L'Hôtel","localização aproximada (hotel próximo na cidade correta)"
"Noga Hilton","Cannes","France","43.5485116","7.0117679","Canopy by Hilton Cannes","localização aproximada (hotel próximo na cidade correta)"
"Plaza Athenee","Paris","France","48.8663815","2.3038926","Hôtel Plaza Athénée","localização aproximada (hotel próximo na cidade correta)"
"Christopher Hotel","Port-au-Prince","Haiti","18.5413542","-72.3339579","Park Hotel Haiti","localização aproximada (hotel próximo na cidade correta)"
"Hotel Oloffson","Port-au-Prince","Haiti","18.5413542","-72.3339579","Park Hotel Haiti","localização aproximada (hotel próximo na cidade correta)"
"Baden-Powell International House","Hong Kong","Hong Kong","22.2818333","114.1582831","","coordenada do centro da cidade (hotel não localizado em OSM)"
"The Excelsior","Hong Kong","Hong Kong","22.295066","114.1717888","香港半島酒店 The Peninsula Hong Kong","localização aproximada (hotel próximo na cidade correta)"
"Hotel Panorama","Hong Kong","Hong Kong","22.2976479","114.1748768","香港夢卓恩酒店 Mondrian Hong Kong","localização aproximada (hotel próximo na cidade correta)"
"Novotel Nathan Road","Hong Kong","Hong Kong","22.2911908","113.9422615","香港諾富特東薈城酒店 Novotel Citygate Hong Kong Hotel","localização aproximada (hotel próximo na cidade correta)"
"The Peak Hotel","Hong Kong","Hong Kong","22.2957921","114.1717254","九龍酒店 The Kowloon Hotel","localização aproximada (hotel próximo na cidade correta)"
"Royal Park Hotel","Hong Kong","Hong Kong","22.3797191","114.1885338","帝都酒店 Royal Park Hotel","localização aproximada (hotel próximo na cidade correta)"
"Royal Plaza Hotel","Hong Kong","Hong Kong","22.3241635","114.1731584","帝京酒店 Royal Plaza Hotel","localização aproximada (hotel próximo na cidade correta)"
"Hotel Gellert","Budapest","Hungary","47.4878569","19.0297759","Hotel Bara Budapest","localização aproximada (hotel próximo na cidade correta)"
"InterContinental Budapest","Budapest","Hungary","47.4972447","19.047902","InterContinental","localização aproximada (hotel próximo na cidade correta)"
"Promenad Gyor","Gyor","Hungary","47.6858301","17.6416018","Ibis Győr","localização aproximada (hotel próximo na cidade correta)"
"Hotel Budir","Snaefellsbaer","Iceland","64.8231038","-23.3842131","Hotel Búðir","localização aproximada (hotel próximo na cidade correta)"
"Inna Dharma Deli Hotel","Medan","Indonesia","3.5894617","98.6741623","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Abbasi Hotel","Isfahan","Iran","32.6516628","51.6697865","هتل عباسی","localização aproximada (hotel próximo na cidade correta)"
"Dariush Grand Hotel","Kish Island","Iran","26.5351068","54.027613","هتل بزرگ داریوش","localização aproximada (hotel próximo na cidade correta)"
"Parsian Azadi Hotel","Tehran","Iran","35.7899612","51.3898916","هتل پارسیان آزادی","localização aproximada (hotel próximo na cidade correta)"
"Al-Fanar Hotel","Baghdad","Iraq","33.3163911","44.3900923","فندق الرشيد","localização aproximada (hotel próximo na cidade correta)"
"Al Rasheed Hotel","Baghdad","Iraq","33.3163911","44.3900923","فندق الرشيد","localização aproximada (hotel próximo na cidade correta)"
"Babel Hotel","Baghdad","Iraq","33.3191284","44.4155341","فندق بغداد","localização aproximada (hotel próximo na cidade correta)"
"Basrah Sheraton","Basra","Iraq","30.5162878","47.8401133","لؤلؤة البصرة","localização aproximada (hotel próximo na cidade correta)"
"Erbil International Hotel","Erbil","Iraq","36.2245431","43.9926568","ABN Hotel International","localização aproximada (hotel próximo na cidade correta)"
"Khanzad Hotel","Erbil","Iraq","36.2018059","44.0027097","grand istnboul city hotel","localização aproximada (hotel próximo na cidade correta)"
"Mansour Hotel","Baghdad","Iraq","33.3280048","44.3964865","فندق المنصور","localização aproximada (hotel próximo na cidade correta)"
"Palestine Hotel","Baghdad","Iraq","33.3152176","44.4185308","فندق فلسطين الدولي","localização aproximada (hotel próximo na cidade correta)"
"Moy House","Lahinch","Ireland","52.9179381","-9.3487923","Moy House","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Glin Castle","Glin","Ireland","52.7835769","-8.9056991","Dromoland Castle","localização aproximada (hotel próximo na cidade correta)"
"David Citadel Hotel","Jerusalem","Israel","31.7770704","35.2229306","מלון מצודת דוד","localização aproximada (hotel próximo na cidade correta)"
"Inbal Jerusalem Hotel","Jerusalem","Israel","31.7705201","35.221899","ענבל","localização aproximada (hotel próximo na cidade correta)"
"Isrotel Tower","Tel Aviv","Israel","32.073145","34.7682561","Arcadia Tower Hotel","localização aproximada (hotel próximo na cidade correta)"
"King David Hotel","Jerusalem","Israel","31.7743683","35.2226346","מלון המלך דוד","localização aproximada (hotel próximo na cidade correta)"
"Leonardo City Tower Hotel","Ramat Gan","Israel","32.0846181","34.7995649","לאונרדו סיטי טאוור","localização aproximada (hotel próximo na cidade correta)"
"Mount of Olives Hotel","Jerusalem","Israel","31.7792442","35.2449839","فندق جبل الزيتون","localização aproximada (hotel próximo na cidade correta)"
"Seven Arches Hotel","Jerusalem","Israel","31.7760467","35.24403","אינטרקונטיננטל שבע הקשתות","localização aproximada (hotel próximo na cidade correta)"
"The Shepherd Hotel","Jerusalem","Israel","31.7705201","35.221899","ענבל","localização aproximada (hotel próximo na cidade correta)"
"Vered Hagalil","Sea of Galilee","Israel","32.9370251","35.4391501","אמירי הגליל","localização aproximada (hotel próximo na cidade correta)"
"Grand Hotel des Bains","Venice","Italy","45.4135965","12.3747694","Grand Hotel de Bains","localização aproximada (sem etiqueta 'hotel' no OSM)"
"JK Place Capri","Capri","Italy","40.5488429","14.2283708","","coordenada do centro da cidade (hotel não localizado em OSM)"
"Palazzo Dandolo","Venice","Italy","45.4328621","12.3358442","Bauer Palazzo","localização aproximada (hotel próximo na cidade correta)"
"Torre di Moravola","Citta di Castello","Italy","43.4573112","12.2380207","Torre civica","localização aproximada (sem etiqueta 'hotel' no OSM)"
