source;hotel_name;external_city;external_country;external_lat;external_lon;db_city;db_country;db_lat;db_lon;distance_km;status
"Folha 1 (hoteis - Folha1.csv)";"Les Suites Orient, Bund Shanghai";"Shanghai";"China";31.2336424;121.4882742;"Xangai";"China";37.09103;-8.217216;10793.25;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Las Casas Filipinas de Acuzar";"Luzon";"Philippines";14.6013756;120.3854025;"Bataan";"China";14.6436;120.4658;9.84;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"White Swan Hotel";"Guangzhou";"China";23.1086755;113.2371984;"Alnwick";"Internacional";55.41334;-1.707235;9350.67;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Millennium Hotel";"Chengdu";"China";30.6154568;104.0464841;"Mbarara";"Uganda";-0.4180848;30.57374;8456.24;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Lemon Tree Premier-Mumbai International Airport";"Mumbai";"India";19.108247;72.8822827;"Chhatrapati Shivaji Maharaj International Airport";"Índia";37.11314;-8.675184;8011.84;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Hilton Mumbai International Airport";"Mumbai";"India";19.1043735;72.8709317;"Chhatrapati Shivaji Maharaj International Airport";"Índia";37.11314;-8.675184;8011.09;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Hilton Chennai";"Chennai (Madras)";"India";13.016676;80.2047663;"Chennai/South";"Índia";37.09014;-8.678213;9041.94;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Hotel Universal Port";"Osaka";"Japan";34.6661009;135.4378877;"Osaka";"Japão";34.69376;135.5014;6.57;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Hotel Keihan Universal Tower";"Osaka";"Japan";34.6678256;135.4379826;"Osaka";"Japão";34.69376;135.5014;6.48;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Holiday Inn Tianjin Riverside";"Tianjin";"China";39.1518681;117.1838906;"Tianjin";"China";39.08441;117.1957;7.57;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Raintree Lodge";"Kochi (Cochin)";"India";9.9644416;76.2415742;"Suva";"Internacional";-18.14159;178.4422;11628.42;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Royal Park Hotel";"Hong Kong";"China";22.3797478;114.1885585;"Piracicaba";"Brasil";-22.72516;-47.64933;18150.76;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Hotel Moonlight";"Kathmandu";"Nepal";27.7175128;85.3091028;"Antananarivo";"Internacional";-18.91001;47.52558;6589.39;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Hotel Shambala";"Kathmandu";"Nepal";27.7416201;85.3383673;"Siddharthanagar";"Internacional";27.51163;83.45288;187.50;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Green Hotel";"Vung Tau";"Vietnam";10.337459;107.0909249;"Atyrau";"Internacional";47.10672;51.9139;6569.49;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"City Hotel";"Krabi Town";"Thailand";8.0649044;98.9162048;"Balikpapan";"Indonésia";-1.239871;116.8593;2242.36;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"The Ummed Ahmedabad";"Ahmedabad";"India";23.0823961;72.6165176;"Ahmedabad/North Zone";"Índia";37.08452;-8.256735;7710.31;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Grand Hyatt Incheon";"Incheon";"South Korea";37.4405857;126.457555;"Yeongjong Island";"Coreia do Sul";37.09103;-8.217216;10509.17;DISCREPANCY
"Folha 1 (hoteis - Folha1.csv)";"Best Western Premier Incheon Airport";"Incheon";"South Korea";37.4383392;126.4597822;"Incheon International Airport";"Coreia do Sul";38.70633;-9.393227;10418.53;DISCREPANCY
