country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
US;"Internacional";62465;3458;2662;0;0;0;-59007;0.0554;5.54;"UNDER"
ES;"Internacional";19346;40;14;0;0;0;-19306;0.0021;0.21;"UNDER"
IT;"Itália";16623;12413;8400;3;0;155;-4210;0.7467;74.67;""
FR;"Internacional";12303;99;44;0;0;0;-12204;0.0080;0.80;"UNDER"
GB;"Internacional";8310;85;51;0;0;0;-8225;0.0102;1.02;"UNDER"
GR;"Internacional";7993;246;101;0;0;0;-7747;0.0308;3.08;"UNDER"
CN;"Internacional";7951;388;167;0;0;0;-7563;0.0488;4.88;"UNDER"
DE;"Internacional";7201;101;27;0;0;0;-7100;0.0140;1.40;"UNDER"
TH;"Tailândia";6225;6833;2838;0;0;38;608;1.0977;109.77;""
TR;"Internacional";6004;70;45;0;0;0;-5934;0.0117;1.17;"UNDER"
CA;"Internacional";5527;1487;607;1;0;0;-4040;0.2690;26.90;""
AU;"Internacional";4802;425;208;0;0;0;-4377;0.0885;8.85;"UNDER"
IN;"Internacional";4554;254;126;0;0;0;-4300;0.0558;5.58;"UNDER"
BR;"Internacional";4138;118;93;0;0;0;-4020;0.0285;2.85;"UNDER"
MX;"Internacional";3812;37;4;0;0;0;-3775;0.0097;0.97;"UNDER"
PT;"Internacional";3528;51;31;0;0;7;-3477;0.0145;1.45;"UNDER"
ID;"Internacional";3202;304;131;0;0;0;-2898;0.0949;9.49;"UNDER"
JP;"Internacional";2999;141;34;0;0;0;-2858;0.0470;4.70;"UNDER"
AT;"Áustria";2894;2679;821;0;0;0;-215;0.9257;92.57;""
CH;"Suíça";1869;3228;1425;0;0;58;1359;1.7271;172.71;""
AR;"Internacional";1845;39;1;0;0;0;-1806;0.0211;2.11;"UNDER"
MA;"Internacional";1660;40;0;0;0;0;-1620;0.0241;2.41;"UNDER"
HR;"Croácia";1638;1369;314;0;0;6;-269;0.8358;83.58;""
AE;"Emirados Árabes Unidos";1577;53;53;0;0;4;-1524;0.0336;3.36;"UNDER"
MY;"Internacional";1567;841;297;0;0;0;-726;0.5367;53.67;""
RU;"Internacional";1544;2388;2100;0;0;32;844;1.5466;154.66;""
IE;"Irlanda";1443;4117;2163;3;0;23;2674;2.8531;285.31;"OVER"
NL;"Países Baixos";1391;73;73;0;0;0;-1318;0.0525;5.25;"UNDER"
EG;"Egito";1357;2670;1456;0;0;18;1313;1.9676;196.76;""
ZA;"Internacional";1342;68;4;0;0;0;-1274;0.0507;5.07;"UNDER"
NZ;"Internacional";1276;754;95;0;0;0;-522;0.5909;59.09;""
CZ;"Tchéquia";1205;50;50;0;0;0;-1155;0.0415;4.15;"UNDER"
VN;"Vietnã";1177;109;109;0;0;0;-1068;0.0926;9.26;"UNDER"
BG;"Bulgária";1157;181;181;0;0;11;-976;0.1564;15.64;""
PH;"Internacional";1122;248;63;0;0;0;-874;0.2210;22.10;""
PL;"Polônia";1078;14;14;0;0;0;-1064;0.0130;1.30;"UNDER"
KR;"Internacional";1001;15;8;0;0;0;-986;0.0150;1.50;"UNDER"
CO;"Internacional";990;38;7;0;0;0;-952;0.0384;3.84;"UNDER"
BE;"Internacional";988;10;1;0;0;0;-978;0.0101;1.01;"UNDER"
NO;"Internacional";931;86;35;0;0;0;-845;0.0924;9.24;"UNDER"
TW;"Internacional";917;74;18;0;0;0;-843;0.0807;8.07;"UNDER"
TN;"Internacional";837;185;16;0;0;0;-652;0.2210;22.10;""
CY;"Internacional";807;134;55;0;0;31;-673;0.1660;16.60;""
DO;"República Dominicana";772;16;16;0;0;0;-756;0.0207;2.07;"UNDER"
RO;"Internacional";708;10;3;0;0;0;-698;0.0141;1.41;"UNDER"
HU;"Hungria";706;3865;724;0;0;0;3159;5.4745;547.45;"OVER"
SE;"Internacional";650;32;14;0;0;0;-618;0.0492;4.92;"UNDER"
CR;"Internacional";623;181;3;0;0;0;-442;0.2905;29.05;""
IL;"Internacional";607;240;11;0;0;0;-367;0.3954;39.54;""
SA;"Internacional";578;186;13;0;0;0;-392;0.3218;32.18;""
CU;"Cuba";566;88;88;0;0;0;-478;0.1555;15.55;""
CL;"Internacional";530;56;2;0;0;0;-474;0.1057;10.57;"UNDER"
KH;"Camboja";505;16;16;0;0;0;-489;0.0317;3.17;"UNDER"
SG;"Singapura";490;1031;179;0;0;36;541;2.1041;210.41;"OVER"
FI;"Internacional";444;40;4;0;0;0;-404;0.0901;9.01;"UNDER"
HK;"Internacional";432;552;25;0;0;0;120;1.2778;127.78;""
DK;"Internacional";415;33;0;0;0;0;-382;0.0795;7.95;"UNDER"
UA;"Internacional";399;576;67;0;0;0;177;1.4436;144.36;""
LK;"Internacional";386;290;98;0;0;0;-96;0.7513;75.13;""
