en_name;wikidata_id;filename;es;fr;de;it;en;pt;nl;ru;ja;zh;ar;pl;sv;he;el;ro;tr;id;vi;th;ko;cs;da;no;fi;hu;uk;fa;bn;hi
Afghanistan;Q889;;https://es.wikivoyage.org/wiki/Afganist%C3%A1n;https://fr.wikivoyage.org/wiki/Afghanistan;https://de.wikivoyage.org/wiki/Afghanistan;https://it.wikivoyage.org/wiki/Afghanistan;https://en.wikivoyage.org/wiki/Afghanistan;https://pt.wikivoyage.org/wiki/Afeganist%C3%A3o;https://nl.wikivoyage.org/wiki/Afghanistan;https://ru.wikivoyage.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%95%E3%82%AC%E3%83%8B%E3%82%B9%E3%82%BF%E3%83%B3;https://zh.wikivoyage.org/wiki/%E9%98%BF%E5%AF%8C%E6%B1%97;;https://pl.wikivoyage.org/wiki/Afganistan;https://sv.wikivoyage.org/wiki/Afghanistan;https://he.wikivoyage.org/wiki/%D7%90%D7%A4%D7%92%D7%A0%D7%99%D7%A1%D7%98%D7%9F;https://el.wikivoyage.org/wiki/%CE%91%CF%86%CE%B3%CE%B1%CE%BD%CE%B9%CF%83%CF%84%CE%AC%CE%BD;;https://tr.wikivoyage.org/wiki/Afganistan;https://id.wikivoyage.org/wiki/Afghanistan;https://vi.wikivoyage.org/wiki/Afghanistan;;;https://cs.wikivoyage.org/wiki/Afgh%C3%A1nist%C3%A1n;;;https://fi.wikivoyage.org/wiki/Afganistan;;https://uk.wikivoyage.org/wiki/%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D1%96%D1%81%D1%82%D0%B0%D0%BD;https://fa.wikivoyage.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86;https://bn.wikivoyage.org/wiki/%E0%A6%86%E0%A6%AB%E0%A6%97%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8;
Albania;Q222;;https://es.wikivoyage.org/wiki/Albania;https://fr.wikivoyage.org/wiki/Albanie;https://de.wikivoyage.org/wiki/Albanien;https://it.wikivoyage.org/wiki/Albania;https://en.wikivoyage.org/wiki/Albania;https://pt.wikivoyage.org/wiki/Alb%C3%A2nia;https://nl.wikivoyage.org/wiki/Albani%C3%AB;https://ru.wikivoyage.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%AB%E3%83%90%E3%83%8B%E3%82%A2;https://zh.wikivoyage.org/wiki/%E9%98%BF%E5%B0%94%E5%B7%B4%E5%B0%BC%E4%BA%9A;;https://pl.wikivoyage.org/wiki/Albania;https://sv.wikivoyage.org/wiki/Albanien;https://he.wikivoyage.org/wiki/%D7%90%D7%9C%D7%91%D7%A0%D7%99%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CE%BB%CE%B2%CE%B1%CE%BD%CE%AF%CE%B1;https://ro.wikivoyage.org/wiki/Albania;https://tr.wikivoyage.org/wiki/Arnavutluk;https://id.wikivoyage.org/wiki/Albania;https://vi.wikivoyage.org/wiki/Albania;;;https://cs.wikivoyage.org/wiki/Alb%C3%A1nie;;;https://fi.wikivoyage.org/wiki/Albania;;https://uk.wikivoyage.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D1%96%D1%8F;https://fa.wikivoyage.org/wiki/%D8%A2%D9%84%D8%A8%D8%A7%D9%86%DB%8C;https://bn.wikivoyage.org/wiki/%E0%A6%86%E0%A6%B2%E0%A6%AC%E0%A7%87%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE;
Algeria;Q262;;https://es.wikivoyage.org/wiki/Argelia;https://fr.wikivoyage.org/wiki/Alg%C3%A9rie;https://de.wikivoyage.org/wiki/Algerien;https://it.wikivoyage.org/wiki/Algeria;https://en.wikivoyage.org/wiki/Algeria;https://pt.wikivoyage.org/wiki/Arg%C3%A9lia;https://nl.wikivoyage.org/wiki/Algerije;https://ru.wikivoyage.org/wiki/%D0%90%D0%BB%D0%B6%D0%B8%D1%80;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%AB%E3%82%B8%E3%82%A7%E3%83%AA%E3%82%A2;https://zh.wikivoyage.org/wiki/%E9%98%BF%E5%B0%94%E5%8F%8A%E5%88%A9%E4%BA%9A;;https://pl.wikivoyage.org/wiki/Algieria;https://sv.wikivoyage.org/wiki/Algeriet;https://he.wikivoyage.org/wiki/%D7%90%D7%9C%D7%92%27%D7%99%D7%A8%D7%99%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CE%BB%CE%B3%CE%B5%CF%81%CE%AF%CE%B1;https://ro.wikivoyage.org/wiki/Algeria;;https://id.wikivoyage.org/wiki/Aljazair;https://vi.wikivoyage.org/wiki/Alg%C3%A9rie;;;https://cs.wikivoyage.org/wiki/Al%C5%BE%C3%ADrsko;;;https://fi.wikivoyage.org/wiki/Algeria;;https://uk.wikivoyage.org/wiki/%D0%90%D0%BB%D0%B6%D0%B8%D1%80;https://fa.wikivoyage.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%DB%8C%D8%B1;https://bn.wikivoyage.org/wiki/%E0%A6%86%E0%A6%B2%E0%A6%9C%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE;
Andorra;Q228;;https://es.wikivoyage.org/wiki/Andorra;https://fr.wikivoyage.org/wiki/Andorre;https://de.wikivoyage.org/wiki/Andorra;https://it.wikivoyage.org/wiki/Andorra;https://en.wikivoyage.org/wiki/Andorra;https://pt.wikivoyage.org/wiki/Andorra;https://nl.wikivoyage.org/wiki/Andorra;https://ru.wikivoyage.org/wiki/%D0%90%D0%BD%D0%B4%D0%BE%D1%80%D1%80%D0%B0;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%B3%E3%83%89%E3%83%A9;https://zh.wikivoyage.org/wiki/%E5%AE%89%E9%81%93%E7%88%BE;;https://pl.wikivoyage.org/wiki/Andora;https://sv.wikivoyage.org/wiki/Andorra;https://he.wikivoyage.org/wiki/%D7%90%D7%A0%D7%93%D7%95%D7%A8%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CE%BD%CE%B4%CF%8C%CF%81%CF%81%CE%B1;https://ro.wikivoyage.org/wiki/Andorra;;https://id.wikivoyage.org/wiki/Andorra;https://vi.wikivoyage.org/wiki/Andorra;;;https://cs.wikivoyage.org/wiki/Andorra;;;https://fi.wikivoyage.org/wiki/Andorra;;https://uk.wikivoyage.org/wiki/%D0%90%D0%BD%D0%B4%D0%BE%D1%80%D1%80%D0%B0;https://fa.wikivoyage.org/wiki/%D8%A2%D9%86%D8%AF%D9%88%D8%B1%D8%A7;https://bn.wikivoyage.org/wiki/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A7%8B%E0%A6%B0%E0%A6%BE;
Angola;Q916;;https://es.wikivoyage.org/wiki/Angola;https://fr.wikivoyage.org/wiki/Angola;https://de.wikivoyage.org/wiki/Angola;https://it.wikivoyage.org/wiki/Angola;https://en.wikivoyage.org/wiki/Angola;https://pt.wikivoyage.org/wiki/Angola;https://nl.wikivoyage.org/wiki/Angola;https://ru.wikivoyage.org/wiki/%D0%90%D0%BD%D0%B3%D0%BE%D0%BB%D0%B0;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%B3%E3%82%B4%E3%83%A9;https://zh.wikivoyage.org/wiki/%E5%AE%89%E5%93%A5%E6%8B%89;;https://pl.wikivoyage.org/wiki/Angola;https://sv.wikivoyage.org/wiki/Angola;https://he.wikivoyage.org/wiki/%D7%90%D7%A0%D7%92%D7%95%D7%9C%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CE%BD%CE%B3%CE%BA%CF%8C%CE%BB%CE%B1;https://ro.wikivoyage.org/wiki/Angola;;https://id.wikivoyage.org/wiki/Angola;https://vi.wikivoyage.org/wiki/Angola;;;https://cs.wikivoyage.org/wiki/Angola;;;https://fi.wikivoyage.org/wiki/Angola;;https://uk.wikivoyage.org/wiki/%D0%90%D0%BD%D0%B3%D0%BE%D0%BB%D0%B0;https://fa.wikivoyage.org/wiki/%D8%A2%D9%86%DA%AF%D9%88%D9%84%D8%A7;https://bn.wikivoyage.org/wiki/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A6%BE;
Antigua and Barbuda;Q781;;https://es.wikivoyage.org/wiki/Antigua_y_Barbuda;https://fr.wikivoyage.org/wiki/Antigua-et-Barbuda;https://de.wikivoyage.org/wiki/Antigua_und_Barbuda;https://it.wikivoyage.org/wiki/Antigua_e_Barbuda;https://en.wikivoyage.org/wiki/Antigua_and_Barbuda;https://pt.wikivoyage.org/wiki/Ant%C3%ADgua_e_Barbuda;https://nl.wikivoyage.org/wiki/Antigua_en_Barbuda;https://ru.wikivoyage.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B3%D1%83%D0%B0_%D0%B8_%D0%91%D0%B0%D1%80%D0%B1%D1%83%D0%B4%D0%B0;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%B3%E3%83%86%E3%82%A3%E3%82%B0%E3%82%A2%E3%83%BB%E3%83%90%E3%83%BC%E3%83%96%E3%83%BC%E3%83%80;https://zh.wikivoyage.org/wiki/%E5%AE%89%E6%8F%90%E7%93%9C%E5%92%8C%E5%B7%B4%E5%B8%83%E8%BE%BE;;https://pl.wikivoyage.org/wiki/Antigua_i_Barbuda;https://sv.wikivoyage.org/wiki/Antigua_och_Barbuda;https://he.wikivoyage.org/wiki/%D7%90%D7%A0%D7%98%D7%99%D7%92%D7%95%D7%90%D7%94_%D7%95%D7%91%D7%A8%D7%91%D7%95%D7%93%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CE%BD%CF%84%CE%AF%CE%B3%CE%BA%CE%BF%CF%85%CE%B1_%CE%BA%CE%B1%CE%B9_%CE%9C%CF%80%CE%B1%CF%81%CE%BC%CF%80%CE%BF%CF%8D%CE%BD%CF%84%CE%B1;;;;https://vi.wikivoyage.org/wiki/Antigua_v%C3%A0_Barbuda;;;https://cs.wikivoyage.org/wiki/Antigua_a_Barbuda;;;https://fi.wikivoyage.org/wiki/Antigua_ja_Barbuda;;https://uk.wikivoyage.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B3%D1%83%D0%B0_%D1%96_%D0%91%D0%B0%D1%80%D0%B1%D1%83%D0%B4%D0%B0;https://fa.wikivoyage.org/wiki/%D8%A2%D9%86%D8%AA%DB%8C%DA%AF%D9%88%D8%A7_%D9%88_%D8%A8%D8%A7%D8%B1%D8%A8%D9%88%D8%AF%D8%A7;https://bn.wikivoyage.org/wiki/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%97%E0%A7%81%E0%A6%AF%E0%A6%BC%E0%A6%BE_%E0%A6%93_%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A7%81%E0%A6%A1%E0%A6%BE;
Argentina;Q414;;https://es.wikivoyage.org/wiki/Argentina;https://fr.wikivoyage.org/wiki/Argentine;https://de.wikivoyage.org/wiki/Argentinien;https://it.wikivoyage.org/wiki/Argentina;https://en.wikivoyage.org/wiki/Argentina;https://pt.wikivoyage.org/wiki/Argentina;https://nl.wikivoyage.org/wiki/Argentini%C3%AB;https://ru.wikivoyage.org/wiki/%D0%90%D1%80%D0%B3%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%AB%E3%82%BC%E3%83%B3%E3%83%81%E3%83%B3;https://zh.wikivoyage.org/wiki/%E9%98%BF%E6%A0%B9%E5%BB%B7;;https://pl.wikivoyage.org/wiki/Argentyna;https://sv.wikivoyage.org/wiki/Argentina;https://he.wikivoyage.org/wiki/%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%99%D7%A0%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CF%81%CE%B3%CE%B5%CE%BD%CF%84%CE%B9%CE%BD%CE%AE;https://ro.wikivoyage.org/wiki/Argentina;https://tr.wikivoyage.org/wiki/Arjantin;https://id.wikivoyage.org/wiki/Argentina;https://vi.wikivoyage.org/wiki/Argentina;;;https://cs.wikivoyage.org/wiki/Argentina;;;https://fi.wikivoyage.org/wiki/Argentiina;;https://uk.wikivoyage.org/wiki/%D0%90%D1%80%D0%B3%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0;https://fa.wikivoyage.org/wiki/%D8%A2%D8%B1%DA%98%D8%A7%D9%86%D8%AA%DB%8C%D9%86;https://bn.wikivoyage.org/wiki/%E0%A6%86%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%A8%E0%A6%BE;
Armenia;Q399;;https://es.wikivoyage.org/wiki/Armenia;https://fr.wikivoyage.org/wiki/Arm%C3%A9nie;https://de.wikivoyage.org/wiki/Armenien;https://it.wikivoyage.org/wiki/Armenia;https://en.wikivoyage.org/wiki/Armenia;https://pt.wikivoyage.org/wiki/Arm%C3%A9nia;https://nl.wikivoyage.org/wiki/Armeni%C3%AB;https://ru.wikivoyage.org/wiki/%D0%90%D1%80%D0%BC%D0%B5%D0%BD%D0%B8%D1%8F;https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%AB%E3%83%A1%E3%83%8B%E3%82%A2;https://zh.wikivoyage.org/wiki/%E4%BA%9A%E7%BE%8E%E5%B0%BC%E4%BA%9A;;https://pl.wikivoyage.org/wiki/Armenia;https://sv.wikivoyage.org/wiki/Armenien;https://he.wikivoyage.org/wiki/%D7%90%D7%A8%D7%9E%D7%A0%D7%99%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CF%81%CE%BC%CE%B5%CE%BD%CE%AF%CE%B1;https://ro.wikivoyage.org/wiki/Armenia;https://tr.wikivoyage.org/wiki/Ermenistan;https://id.wikivoyage.org/wiki/Armenia;https://vi.wikivoyage.org/wiki/Armenia;;;https://cs.wikivoyage.org/wiki/Arm%C3%A9nie;;;https://fi.wikivoyage.org/wiki/Armenia;;https://uk.wikivoyage.org/wiki/%D0%92%D1%96%D1%80%D0%BC%D0%B5%D0%BD%D1%96%D1%8F;https://fa.wikivoyage.org/wiki/%D8%A7%D8%B1%D9%85%D9%86%D8%B3%D8%AA%D8%A7%D9%86;https://bn.wikivoyage.org/wiki/%E0%A6%86%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE;
Australia;Q408;;https://es.wikivoyage.org/wiki/Australia;https://fr.wikivoyage.org/wiki/Australie;https://de.wikivoyage.org/wiki/Australien;https://it.wikivoyage.org/wiki/Australia;https://en.wikivoyage.org/wiki/Australia;https://pt.wikivoyage.org/wiki/Austr%C3%A1lia;https://nl.wikivoyage.org/wiki/Australi%C3%AB;https://ru.wikivoyage.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D1%8F;https://ja.wikivoyage.org/wiki/%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2;https://zh.wikivoyage.org/wiki/%E6%BE%B3%E5%A4%A7%E5%88%A9%E4%BA%9A;;https://pl.wikivoyage.org/wiki/Australia;https://sv.wikivoyage.org/wiki/Australien;https://he.wikivoyage.org/wiki/%D7%90%D7%95%D7%A1%D7%98%D7%A8%D7%9C%D7%99%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CF%85%CF%83%CF%84%CF%81%CE%B1%CE%BB%CE%AF%CE%B1;https://ro.wikivoyage.org/wiki/Australia;https://tr.wikivoyage.org/wiki/Avustralya;https://id.wikivoyage.org/wiki/Australia;https://vi.wikivoyage.org/wiki/%C3%9Ac;;;https://cs.wikivoyage.org/wiki/Austr%C3%A1lie;;;https://fi.wikivoyage.org/wiki/Australia;;https://uk.wikivoyage.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%96%D1%8F;https://fa.wikivoyage.org/wiki/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D9%84%DB%8C%D8%A7;https://bn.wikivoyage.org/wiki/%E0%A6%85%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE;https://hi.wikivoyage.org/wiki/%E0%A4%91%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE
Austria;Q40;;https://es.wikivoyage.org/wiki/Austria;https://fr.wikivoyage.org/wiki/Autriche;https://de.wikivoyage.org/wiki/%C3%96sterreich;https://it.wikivoyage.org/wiki/Austria;https://en.wikivoyage.org/wiki/Austria;https://pt.wikivoyage.org/wiki/%C3%81ustria;https://nl.wikivoyage.org/wiki/Oostenrijk;https://ru.wikivoyage.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B8%D1%8F;https://ja.wikivoyage.org/wiki/%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%AA%E3%82%A2;https://zh.wikivoyage.org/wiki/%E5%A5%A5%E5%9C%B0%E5%88%A9;;https://pl.wikivoyage.org/wiki/Austria;https://sv.wikivoyage.org/wiki/%C3%96sterrike;https://he.wikivoyage.org/wiki/%D7%90%D7%95%D7%A1%D7%98%D7%A8%D7%99%D7%94;https://el.wikivoyage.org/wiki/%CE%91%CF%85%CF%83%CF%84%CF%81%CE%AF%CE%B1;https://ro.wikivoyage.org/wiki/Austria;https://tr.wikivoyage.org/wiki/Avusturya;https://id.wikivoyage.org/wiki/Austria;https://vi.wikivoyage.org/wiki/%C3%81o;;;https://cs.wikivoyage.org/wiki/Rakousko;;;https://fi.wikivoyage.org/wiki/It%C3%A4valta;;https://uk.wikivoyage.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D1%96%D1%8F;https://fa.wikivoyage.org/wiki/%D8%A7%D8%AA%D8%B1%DB%8C%D8%B4;https://bn.wikivoyage.org/wiki/%E0%A6%85%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE;
