id,nome,pais_code,hotelCount
23654,"Letenye",HR,52
13026,"North Coast (Zealand)",FI,51
17652,"Triglav National Park",IT,50
18215,"Visegrád",PL,49
6506,"Dawson City",CA,49
18169,"Villach",TR,48
11220,"Macau/Cotai",CN,47
4230,"Bergen",NO,44
27016,"Maritime history",NZ,44
19560,"Saint Petersburg/Center",FI,43
24194,"Functionalist architecture in Finland",FI,43
8734,"Hiking in South Africa",ZA,43
22169,"Lighthouses",EG,42
24066,"Via Egnatia",GR,42
12099,"Monaco",FR,42
14795,"Rømø",DK,42
16736,"St. Pete Beach",MX,42
24693,"Lusatian Lake District",NZ,42
3548,"Atlanta/East",US,42
13922,"Perhentian Islands",MY,42
24795,"Tourist Drive 33",AU,42
11778,"Melilla",MA,42
22357,"Aviation history",FR,42
4124,"Beirut/Downtown",LB,42
24966,"Vakka-Suomi countryside",FI,41
21799,"Pasir Gudang",SG,41
7572,"La Fortuna",CR,41
23368,"Fortifications",CN,41
22817,"Cycling the Western Sahara",MA,41
23500,"Biomes and ecosystems",AU,41
25241,"Tiszafüred",HU,41
4403,"Birmingham",US,41
20013,"Judaism",EG,41
11142,"Luhansk",RU,41
22598,"Iskandar Puteri",SG,41
13675,"Panama City Beach",ES,41
21886,"Mining tourism",EG,40
20713,"Pyeongchang",KR,40
14026,"Phu Quoc",TH,40
23369,"Grand houses",JP,40
20963,"Kimitoön",FI,40
16664,"St Helens (Tasmania)",AU,40
26107,"Turkish TV series tourism",TR,40
17538,"Tornio",SE,40
21497,"World War II in Europe",DE,40
26959,"Montseny Natural Park",ES,40
4360,"Australia's big things",AU,40
23997,"Indonesian cuisine",ID,40
21042,"Ghost towns",IT,40
20259,"Vikings and the Old Norse",CA,40
28102,"National parks in Thailand",TH,40
20635,"Military museums and sites in Australia",FR,40
6716,"Diving in Thailand",TH,39
27499,"Pocheon",KR,39
4532,"Bohemian Paradise",CZ,39
19615,"Kronstadt",FI,39
4250,"Berlin/East Central",DE,39
23682,"Pacsa",HU,38
13273,"Odsherred",DK,38
19988,"Copenhagen Airport",SE,38
9974,"Kincardine (Ontario)",CA,37
4541,"Bokaro Steel City",IN,37
2582,"Bergen",NO,36
5856,"Chugoku 33 Kannon Temple Pilgrimage",JP,36
24381,"Go",JP,36
23584,"Kamenice nad Lipou",CZ,35
26484,"Tzoumerka National Park",GR,35
15405,"Samsø",DK,34
14391,"Poulsbo",NO,34
8440,"Haman County",KR,34
13607,"Pakse",JP,34
7942,"Glacier National Park (Montana)",CA,34
9888,"Kgalagadi Transfrontier Park",ZA,34
21057,"Semenic-Caraș Gorge National Park",RO,33
17303,"The Catlins",NZ,33
16861,"Sur",CN,33
13812,"Patras",IT,33
19773,"Samoeng Loop",TH,33
13347,"Ollantaytambo",PE,33
24738,"Encs",HU,33
17065,"Taman Negara",MY,33
24685,"Georgian cuisine",US,32
5094,"Cairo/East",EG,32
16152,"Sigulda",CH,32
16170,"Sillamäe",FI,32
13842,"Peace River (Alberta)",CA,32
6763,"Dong Hoi",CN,31
13536,"Oxapampa",PE,31
22462,"Flores (Azores)",PT,31
15657,"Sa Pa",CN,31
24789,"LaGuardia Airport",CA,31
6102,"Comoros",FR,31
28135,"Hadong",CN,31
7445,"Finland in ten days by car",FI,30
23696,"Reefton",NZ,30
20037,"Laponia",NO,30
12509,"Mysen",NO,30
16672,"St. Jacobs (Ontario)",CA,30
13870,"Pelister National Park",GR,29
26363,"Military and police ceremonies",CA,29
4627,"Kathmandu/East",NP,29
24019,"Arts in Japan",JP,29
24210,"Pelkosenniemi",SE,28
8447,"Hamelin",NL,28
26135,"Hiking in Kosciuszko National Park",AU,28
15561,"San Pedro de Atacama",CL,28
23156,"Spies and secrets",GB,28
23045,"Stećci Medieval Tombstones Graveyards",HR,28
25459,"Zec du Gros-Brochet",CA,28
15200,"Saaremaa",DE,27
26389,"Swedish Grace tour",SE,27
27380,"Haciendas",ES,27
11714,"Mývatn",IS,27
5871,"Chuy",PT,27
8102,"Grand Case",MF,27
19565,"Koroni",GR,27
16833,"Sundarbans National Park",IN,26
27327,"Legacy food markets",JP,26
21615,"Prehistoric Europe",GR,26
18154,"Vietnam",VN,26
17932,"Utsjoki",NO,26
12647,"Narva",DK,26
15706,"Saturna Island",CA,26
24964,"Rymättylä",FI,26
22537,"European art",JP,26
3551,"Atlanta/West",US,26
4112,"Beijing/Northern Suburbs",CN,26
23644,"Moravian Karst",CZ,25
22123,"Dong Van Karst Plateau Geopark",CN,25
24962,"Paimio",FI,25
26278,"Ilmajoki",FI,25
25998,"Askola",FI,25
10669,"Lüderitz",PT,25
22701,"Savinja and Šalek Valley",AT,25
26130,"Danish Empire",NO,25
6908,"East Bohemia",CZ,25
19740,"Marathon race",JP,25
26301,"Bad Staffelstein",CH,24
8892,"Huay Xai",TH,24
27786,"Höga Kustenleden",SE,24
26290,"Bella Coola",CA,24
13516,"Ouray",CH,24
26954,"Linnanmäki",FI,24
17266,"Terra Nova National Park",PT,24
28018,"Tatehuarí Huajuyé",MX,24
10594,"Lappajärvi",SE,24
4116,"Beijing/Southern Suburbs",CN,24
19665,"Taipa-Mangonui",NZ,23
2810,"Tour de 2 dias em Melilha",ES,23
6377,"Cuyahoga Valley National Park",MX,23
10437,"Lahemaa National Park",FI,23
8929,"Huanchaco",PE,23
22945,"Manazuru",FR,23
24977,"Nordic monarchies",NO,23
25958,"Saint-Aimé-des-Lacs",CA,22
13602,"Paju",KR,22
8612,"Höfn",IS,22
24138,"Didsbury and Carstairs",CA,21
24394,"In the footsteps of explorers",TR,21
16422,"South Caicos",TC,21
28274,"Hinsdale (Massachusetts)",PE,21
25382,"Adjuntas",CH,21
5843,"Choquequirao",PE,21
18172,"Village at Blue Mountain",CA,21
9795,"Keetmanshoop",ZA,21
5091,"Cairo/Garden City",EG,21
8110,"Grand Falls",DK,21
10691,"Lednice–Valtice Cultural Landscape",CZ,21
21553,"Nordic history",NO,20
20076,"Sami culture",RU,20
17913,"Urubamba",PE,20
23643,"Vulcan (Alberta)",CA,20
23221,"Karamea",NZ,20
20397,"Loviisa",RU,20
27208,"Baja Whale Trail",MX,20
22547,"Trece Martires",PH,20
23318,"Textiles",PE,20
8885,"Hortobágy",HU,20
26841,"Mexican artesanias",MX,20
15171,"Rurrenabaque",BO,20
17909,"Urmia",TR,20
20643,"Zruč nad Sázavou",CZ,20
21814,"Astrid Lindgren tourism",SE,20
7897,"Giant Mountains National Park",PL,20
21661,"Raetihi",NZ,20
14122,"Placentia (Newfoundland)",CA,19
11818,"Meriden (Connecticut)",MX,19
26305,"Nastola",FI,19
14120,"Placencia",US,19
26951,"Marttila",FI,19
21392,"Road 63 (Norway)",NO,19
12874,"New Ulm (Minnesota)",US,19
13793,"Passu",CN,19
19797,"Yeonpyeong Island",KR,19
16981,"Tachileik",TH,19
12977,"Nordkapp",NO,19
11324,"Makarska",HR,19
21496,"World War I",FR,19
24961,"Sauvo",FI,18
9606,"Kampinos National Park",PL,18
25179,"Buddhist Circuit",IN,18
26457,"Pudasjärvi",FI,18
13960,"Petawawa",DE,18
23065,"Wooden tserkvas of the Carpathian region",PL,18
26052,"Kaskinen",FI,18
16975,"Taberg",SE,18
6577,"Delta Works",NL,18
6971,"Eastport (Newfoundland)",CA,18
22192,"Cycling in the Achterhoek",NL,18
21557,"War of 1812",US,17
26565,"Tohmajärvi",FI,17
26206,"Viking (Alberta)",NO,17
18720,"Winkler",RU,17
18300,"Waitomo",NZ,17
25205,"Jomon Prehistoric Sites in Northern Japan",JP,17
15891,"Selkirk (Manitoba)",CA,17
16919,"Sydfynske Øhav",DK,17
22744,"Kebnekaise",SE,17
23730,"Utö (Finland)",SE,17
6700,"Disabled travel in South Africa",ZA,17
27160,"Bullfighting",PT,17
18308,"Wakefield (New Zealand)",NZ,17
7416,"Ferghana",CN,17
24364,"Japanese colonial empire",JP,17
24589,"Nobel tourism",NO,17
14458,"Princeton (British Columbia)",CA,16
4254,"Bernal",MX,16
14012,"Phimai",TH,16
25483,"Japanese gardens",JP,16
27489,"Bréhat",FR,16
20279,"Kalajoki",SE,16
21805,"Acadia",FR,16
13853,"Pedasi",PA,16
27232,"Aš",CZ,16
8239,"Grodno",PL,16
5504,"Central Ukraine",UA,16
16651,"Stewart",CA,16
24884,"Gelephu",SG,16
16880,"Sussex (New Brunswick)",CA,16
7203,"Ephesus",GB,16
24528,"Orivesi",FI,16
22797,"Pottenstein",DE,16
11537,"Mariánské Lázně",CZ,15
14164,"Plitvice Lakes National Park",HR,15
6742,"Doi Inthanon National Park",TH,15
9630,"Kanha National Park",IN,15
15285,"St. Lawrence",CA,15
6391,"Dabu",CN,15
18678,"Williamstown (New Jersey)",IE,15
17436,"Tivat",ME,15
25094,"Ritsem",SE,15
23417,"Geraldton (Ontario)",CA,15
24776,"Parkano",NO,15
18165,"Vilcabamba",PE,15
18372,"Warroad",BR,15
11219,"Macau/Coloane",PT,15
17952,"Vadstena and Ödeshög",SE,15
21357,"Romney Marsh",FR,15
22143,"Mongol Empire",KR,15
12313,"Mount Aspiring National Park",NZ,15
19290,"Nackawic",CA,15
27682,"Amatlán de Cañas",MX,15
26188,"Saint-Amable",CA,15
15216,"Sackets Harbor",CA,15
7282,"European route E39",NO,14
23641,"Chess",IN,14
15345,"Salento",CO,14
14132,"Plant City",IE,14
15953,"Seychelles",SC,14
17511,"Tongariro National Park",NZ,14
20433,"Riksgränsen",NO,14
25994,"Pertunmaa",FI,14
13139,"Notodden",NO,14
15145,"Royal Natal National Park",ZA,14
25157,"Protected areas of the Nullarbor",AU,14
23858,"Waterford (Ontario)",CA,14
26224,"Myrskylä",SE,14
23993,"Stokmarknes",NO,14
24948,"Kuhmoinen",FI,14
16658,"St George (Queensland)",AU,14
24264,"Utrechtse Heuvelrug",DE,14
16976,"Table Mountain National Park",ZA,14
24860,"Carman (Manitoba)",CA,14
22240,"Lüdinghausen",NL,14
6568,"Delphi",GR,14
4080,"Beaver Creek",CA,14
18775,"Wonsan",JP,13
11956,"Milford Sound",NZ,13
3475,"Ascension",PT,13
24335,"Bus travel in the Philippines",PH,13
10192,"Ko Sichang",TH,13
17706,"Tsitsikamma National Park",ZA,13
22921,"Novo Selo",GR,13
21096,"Iron Gates Natural Park",RO,13
21720,"Signs",ES,13
26840,"Pomarkku",FI,13
18380,"Wartrail and New England",ZA,13
21318,"Boac",PH,13
18273,"Wadden Sea National Park",DE,13
20547,"Minca",CO,13
17573,"Tory Island",IE,13
23037,"Australian Convict Sites",AU,13
24492,"New Administrative Capital (Egypt)",EG,13
27343,"Las Leñas",AR,13
7122,"El Malpais National Monument",MX,13
15912,"Senmonorom",VN,13
16693,"Stołowe Mountains National Park",ZA,13
14095,"Pisac",PE,13
21235,"Hell-Ville",TH,13
23216,"Longlac",CA,13
24449,"Glückstadt",DK,13
25985,"Sprengisandur",IS,13
24853,"Souris (Manitoba)",CA,13
22601,"Lord of the Rings tourism",NZ,12
20603,"Lemmenjoki National Park",NO,12
24774,"Hämeenkyrö",FI,12
13551,"Oze National Park",JP,12
28441,"Diwali",GB,12
19363,"Waihi Beach",NZ,12
27371,"Tamsahelte",MA,12
20241,"Bayham (Ontario)",CA,12
13002,"North Coast-Nechako",CA,12
24224,"Bothnian Sea National Park",FI,12
14532,"Puerto Varas",DE,12
24960,"Somero",FI,12
23265,"Jementah",MY,12
19806,"Gasan",PH,12
22941,"Occitanie",ES,12
24938,"National Route 83",AU,12
9054,"Ilgaz National Park",TR,12
21761,"Sacheon",KR,12
7064,"Elba",IT,12
20366,"Innisfail (Queensland)",AU,12
14258,"Poring Hot Spring",MY,12
20290,"Biesbosch National Park",NL,12
26724,"Micronations",AU,12
12147,"Monte Albán",MX,12
25486,"Cape Byron State Conservation Area",TR,12
20396,"Clinton (Ontario)",CA,12
4400,"Birgunj",IN,12
16328,"Sodwana Bay",ZA,12
21597,"Indigenous cultures of South America",PT,11
14314,"Port Klang",ID,11
3279,"Angola (Indiana)",US,11
27298,"Concepción de Ataco",MX,11
20220,"Lordsburg",MX,11
3291,"Anlong Veng",TH,11
21297,"Knokke-Heist",NL,11
25356,"Budderoo National Park",AU,11
5603,"Charleville",AU,11
11293,"Magnolia (Arkansas)",US,11
26124,"Glass House Mountains",AU,11
16506,"Southwest Washington",CA,11
26518,"Tambrauw Regency",ID,11
21828,"Central Bohemian Uplands",CZ,11
16180,"Silverton (Colorado)",US,11
18297,"Wairarapa",NZ,11
26701,"Paanajärvi National Park",FI,11
7128,"Elmira (Ontario)",DE,11
25950,"Karijini National Park",AU,11
9977,"King's Highway",FI,11
26567,"Oribi Gorge Nature Reserve",ZA,11
20925,"Saint-Claude",FR,11
23084,"Hajdú-Bihar County",HU,11
27628,"Tonatico",MX,11
9016,"Ibarra",CO,11
26528,"Toivakka",FI,11
24182,"Hanna (Alberta)",CA,11
27204,"Maxcanú",MX,11
