id,nome,pais_original,pais_corrigido,nearest_cc,nearest_city,latitude,longitude,dist_km,hotel_count,status,nota
120,Aracati,PT,BR,BR,Santa Luzia,-5.310998,-35.66412,20.9,0,Revisar (distância alta),
152,Arua,PT,FR,FR,Mont-de-Marsan,44.06039,-0.350866,22.2,2,Revisar (distância alta),
154,Aruba,NL,AW,AW,Santa Cruz,12.50136,-69.96185,2.3,4,OK,
165,Atar,PT,SS,SS,Malakal,9.33746,31.407885,35.2,1,Revisar (distância alta),
166,Atenas,GR,IT,IT,Ceggia,45.63453,12.6868,6.8,8,OK,
175,Áustria,AT,IT,IT,Bagno a Ripoli,43.7604,11.30066,2.0,8,OK,
185,Bagan,PT,MM,MM,Nyaung-U,21.131712,94.862366,9.0,8,OK,
192,Baie Ste. Anne,PT,CA,CA,Beaurivage,47.04726,-64.96257,40.6,0,Revisar (distância alta),
229,Barra do Quaraí,BR,UY,UY,Bella Unión,-30.208946,-57.550514,7.3,1,OK,
233,Barroquinha,PT,BR,BR,Igarapé Grande,-4.642327,-44.952866,11.0,0,OK,
234,Bartsam,PT,BT,BT,Trashigang,27.37254,91.598755,6.2,0,OK,
264,Bielorrússia,RU,BY,BY,Druzhny,53.42506,27.697136,25.8,1,Revisar (distância alta),
294,Brabante do Norte,PT,NL,NL,Waspik,51.66667,5.0,4.4,0,OK,
310,Brod,PT,BA,BA,Foča,43.486576,18.746937,3.4,0,OK,
313,Brunei,PT,BN,BN,Liang,4.413715,114.56539,30.3,1,Revisar (distância alta),
322,Cabo Canaveral,PT,US,US,Cape Canaveral,28.451355,-80.528305,9.0,0,OK,
366,Camocim,PT,BR,BR,Carnaubal,-4.131118,-40.874928,8.5,17,OK,
386,Cantão de Isabela,PT,PH,PH,San Mariano,17.0,122.0,2.4,0,OK,
387,Cantão de São Cristóvão,PT,BR,BR,Santo Cristo,-22.9,-43.23333,3.3,0,OK,
393,Capital (Venezuela),VE,AR,AR,San Juan,-31.54493,-68.56254,3.6,2,OK,
420,Castro Laboreiro,PT,ES,ES,Celanova,42.030533,-8.159337,21.7,1,Revisar (distância alta),
426,Cataratas do Iguaçu,BR,AR,AR,Puerto Iguazú,-25.693905,-54.43654,17.3,1,Revisar (distância alta),
436,Chacala,PT,BO,BO,Colchani,-20.172693,-66.86354,15.9,5,Revisar (distância alta),
445,Chhumey,PT,BT,BT,Jakar,27.493576,90.699425,8.1,0,OK,
454,Chinguetti,PT,MR,MR,Atar,20.463434,-12.366484,71.1,1,Revisar (distância alta),
460,Cidade do Kuwait,PT,BR,BR,Foz do Iguaçu,-25.532696,-54.600166,2.1,0,OK,
462,Cidade do Panamá,BR,MX,MX,Azcapotzalco,19.462324,-99.177246,2.9,0,OK,
471,Clarendon,PT,US,US,Pampa,34.935936,-100.89058,67.0,1,Revisar (distância alta),
506,Coreia do Norte,KR,KP,KP,Yŏch’im-dong,40.37366,127.08704,36.3,0,Revisar (distância alta),
514,Costa do Marfim,PT,CI,CI,Bodokro,7.989737,-5.567946,17.4,0,Revisar (distância alta),
525,Cuba,CU,US,US,Olean,42.21757,-78.27529,20.1,8,Revisar (distância alta),
532,Curaçao,PT,CW,CW,Willemstad,12.117649,-68.93092,4.9,5,OK,
549,Deothang,GB,BT,BT,Samdrup Jongkhar,26.86258,91.47308,7.6,0,OK,
550,De Philae a Abu Simbel,EG,SD,SD,Wadi Halfa,22.3457,31.61624,66.2,5,Revisar (distância alta),
562,Disneyland Resort Paris,US,FR,FR,Lagny-sur-Marne,48.86785,2.77863,4.5,7,OK,
563,Disneyland Resort Paris/Disneyland Paris,PT,FR,FR,Lagny-sur-Marne,48.86785,2.77863,4.5,1,OK,
564,Disneyland Resort Paris/Disney Village,PT,FR,FR,Esbly,48.87042,2.79082,4.2,6,OK,
574,Dourado,PT,BR,BR,Aratiba,-27.428738,-52.230484,7.9,0,OK,
602,El Tajín,PT,MX,MX,Papantla de Olarte,20.430176,-97.381256,6.1,0,OK,
610,Erongaricuaro,PT,MX,MX,Pátzcuaro,19.588808,-101.72131,14.4,2,OK,
621,Estados Federados da Micronésia,AU,FM,FM,Weno,8.606235,151.83275,129.0,1,Corrigido,País da Micronésia
625,Estrada Austral,AR,CL,CL,Viña del Mar,-33.002216,-71.51905,3.9,3,OK,
632,Extremo Oriente,JP,CL,CL,Osorno,-40.5732,-73.110306,2.0,0,OK,
673,Fuerteventura,PT,ES,ES,Antigua,28.400377,-14.004869,2.7,7,OK,
674,Fujino,PT,JP,JP,Sapporo,42.9365,141.29509,15.1,0,Revisar (distância alta),
683,Galveston,PT,US,US,La Marque,29.387226,-94.99274,2.9,8,OK,
687,Garapan,PT,MP,MP,Saipan,15.207085,145.72086,3.7,0,OK,
692,Gavião Peixoto,PT,BR,BR,Nova Europa,-21.837753,-48.49285,9.6,0,OK,
701,Goa,PT,IN,IN,Curchorem,15.300454,74.08551,4.8,0,OK,
716,Gray Summit,PT,US,US,Pacific,38.490177,-90.81618,6.6,2,OK,
741,Hakone,PT,JP,JP,Odawara,35.232365,139.10689,5.4,8,OK,
763,Huatajata,PT,BO,BO,San Pedro,-16.208857,-68.700485,16.3,0,Revisar (distância alta),
773,Icaraí,PT,BR,BR,Niterói,-22.9042,-43.1057,2.3,0,OK,
779,Iguatu,PT,BR,BR,Ubiratã,-24.71704,-53.086555,21.6,0,Revisar (distância alta),
781,Ilha Brava,PT,BR,BR,Alpercata,-18.938555,-42.039837,7.8,0,OK,
783,Ilha da Boa Vista,PT,BR,BR,Abaré,-8.653101,-39.22397,14.2,3,OK,
784,Ilha das Mulheres,MX,BR,BR,Conceição das Alagoas,-20.115147,-48.34772,22.7,0,Revisar (distância alta),
786,Ilha de Páscoa,ES,CL,CL,Hanga Roa,-27.12593,-109.34959,8.0,1,OK,
790,Ilha do Fogo,PT,MZ,MZ,Micolene,-17.233202,38.87909,67.1,0,Revisar (distância alta),
792,Ilha do Mel,PT,BR,BR,Paranaguá,-25.53453,-48.310745,21.6,2,Revisar (distância alta),
793,Ilha dos Cocos,FR,BR,BR,Paraty,-23.200516,-44.58118,13.6,0,OK,
797,Ilhas de Kerama,PT,FR,FR,Quimper,48.023914,-4.095044,3.1,1,OK,
800,Ilhas Salomão,GB,SB,SB,Buala,-8.705394,159.10707,82.0,6,Revisar (distância alta),
821,Ischgl,PT,AT,AT,Landeck,47.012024,10.291317,25.2,3,Revisar (distância alta),
856,Itupeva,PT,BR,BR,Medeiros Neto,-17.486542,-40.471535,29.4,0,Revisar (distância alta),
857,Ituzaingó,PT,AR,AR,Castelar,-34.65833,-58.667145,2.5,0,OK,
867,Jakar,PT,MY,MY,Sarikei,2.043684,111.49383,8.5,5,OK,
884,Jinja,PT,UG,UG,Kakira,0.575157,33.28053,7.5,8,OK,
893,Jordânia,PT,SA,SA,Qurayyat,31.166704,36.941628,42.3,2,Revisar (distância alta),
914,Khaling,PT,IN,IN,Leh,34.333897,76.97767,58.8,0,Revisar (distância alta),
926,Koure,PT,NE,NE,Kollo,13.310915,2.57563,25.6,0,Revisar (distância alta),
927,Kourou,PT,ML,ML,Ténenkou,14.485037,-4.962145,5.8,4,OK,
