id,nome,originalPais,currentPais,lat,lon,nearestCity,nearestCc,distKm,hotelCount
152,"Arua",PT,FR,44.06039,-0.3508658,"Mont-de-Marsan",FR,22.2,2
154,"Aruba",NL,AW,12.50136,-69.96185,"Santa Cruz",AW,2.3,4
165,"Atar",PT,SS,9.33746,31.407885,"Malakal",SS,35.2,1
166,"Atenas",GR,IT,45.63453,12.6868,"Ceggia",IT,6.8,8
175,"Áustria",AT,IT,43.7604,11.30066,"Bagno a Ripoli",IT,2.0,8
185,"Bagan",PT,MM,21.131712,94.862366,"Nyaung-U",MM,9.0,8
192,"Baie Ste. Anne",PT,CA,47.04726,-64.96257,"Beaurivage",CA,40.6,0
229,"Barra do Quaraí",BR,UY,-30.208946,-57.550514,"Bella Unión",UY,7.3,1
234,"Bartsam",PT,BT,27.37254,91.598755,"Trashigang",BT,6.2,0
264,"Bielorrússia",RU,BY,53.42506,27.697136,"Druzhny",BY,25.8,1
294,"Brabante do Norte",PT,NL,51.66667,5,"Waspik",NL,4.4,0
387,"Cantão de São Cristóvão",PT,BR,-22.9,-43.23333,"Santo Cristo",BR,3.3,0
393,"Capital (Venezuela)",VE,AR,-31.54493,-68.56254,"San Juan",AR,3.6,2
426,"Cataratas do Iguaçu",BR,AR,-25.693905,-54.43654,"Puerto Iguazú",AR,17.3,1
436,"Chacala",PT,BO,-20.172693,-66.86354,"Colchani",BO,15.9,5
445,"Chhumey",PT,BT,27.493576,90.699425,"Jakar",BT,8.1,0
454,"Chinguetti",PT,MR,20.463434,-12.366484,"Atar",MR,71.1,1
460,"Cidade do Kuwait",PT,BR,-25.532696,-54.600166,"Foz do Iguaçu",BR,2.1,0
462,"Cidade do Panamá",BR,MX,19.462324,-99.177246,"Azcapotzalco",MX,2.9,0
506,"Coreia do Norte",KR,KP,40.37366,127.08704,"Yŏch’im-dong",KP,36.3,0
514,"Costa do Marfim",PT,CI,7.989737,-5.567946,"Bodokro",CI,17.4,0
525,"Cuba",CU,US,42.21757,-78.27529,"Olean",US,20.1,8
532,"Curaçao",PT,CW,12.117649,-68.93092,"Willemstad",CW,4.9,5
549,"Deothang",GB,BT,26.86258,91.47308,"Samdrup Jongkhar",BT,7.6,0
550,"De Philae a Abu Simbel",EG,SD,22.3457,31.61624,"Wadi Halfa",SD,66.2,5
564,"Disneyland Resort Paris/Disney Village",PT,FR,48.87042,2.79082,"Esbly",FR,4.2,6
602,"El Tajín",PT,MX,20.430176,-97.381256,"Papantla de Olarte",MX,6.1,0
610,"Erongaricuaro",PT,MX,19.588808,-101.72131,"Pátzcuaro",MX,14.4,2
621,"Estados Federados da Micronésia",AU,AU,8.606235,151.83275,"Weno",FM,129.0,1
625,"Estrada Austral",AR,CL,-33.002216,-71.51905,"Viña del Mar",CL,3.9,3
632,"Extremo Oriente",JP,CL,-40.5732,-73.110306,"Osorno",CL,2.0,0
673,"Fuerteventura",PT,ES,28.400377,-14.004869,"Antigua",ES,2.7,7
674,"Fujino",PT,JP,42.9365,141.29509,"Sapporo",JP,15.1,0
687,"Garapan",PT,MP,15.207085,145.72086,"Saipan",MP,3.7,0
692,"Gavião Peixoto",PT,BR,-21.837753,-48.49285,"Nova Europa",BR,9.6,0
763,"Huatajata",PT,BO,-16.208857,-68.700485,"San Pedro",BO,16.3,0
781,"Ilha Brava",PT,BR,-18.938555,-42.039837,"Alpercata",BR,7.8,0
783,"Ilha da Boa Vista",PT,BR,-8.653101,-39.22397,"Abaré",BR,14.2,3
784,"Ilha das Mulheres",MX,BR,-20.115147,-48.34772,"Conceição das Alagoas",BR,22.7,0
786,"Ilha de Páscoa",ES,CL,-27.12593,-109.34959,"Hanga Roa",CL,8.0,1
790,"Ilha do Fogo",PT,MZ,-17.233202,38.87909,"Micolene",MZ,67.1,0
792,"Ilha do Mel",PT,BR,-25.53453,-48.310745,"Paranaguá",BR,21.6,2
797,"Ilhas de Kerama",PT,FR,48.023914,-4.095044,"Quimper",FR,3.1,1
800,"Ilhas Salomão",GB,SB,-8.705394,159.10707,"Buala",SB,82.0,6
821,"Ischgl",PT,AT,47.012024,10.291317,"Landeck",AT,25.2,3
867,"Jakar",PT,MY,2.0436838,111.49383,"Sarikei",MY,8.5,5
893,"Jordânia",PT,SA,31.166704,36.941628,"Qurayyat",SA,42.3,2
914,"Khaling",PT,IN,34.333897,76.97767,"Leh",IN,58.8,0
926,"Koure",PT,NE,13.310915,2.57563,"Kollo",NE,25.6,0
927,"Kourou",PT,ML,14.485037,-4.9621453,"Ténenkou",ML,5.8,4
940,"Laguna Yema",PT,AR,-24.25395,-61.242302,"Ingeniero Guillermo N. Juárez",AR,73.7,2
942,"La Libertad",PT,PE,-8,-78.5,"Otuzco",PE,14.4,3
952,"Las Colimas",PT,US,34.144413,-117.75502,"La Verne",US,5.0,1
986,"Loncopué",PT,AR,-38.073177,-70.61441,"Chos Malal",AR,83.0,0
1033,"Malargüe",PT,AR,-35.46838,-69.58473,"San Rafael",AR,148.3,0
1039,"Mambucaba",PT,BR,-23.025,-44.5175,"Angra dos Reis",BR,20.5,0
1057,"Marcote",CH,ES,39.964516,-3.379113,"Ocaña",ES,10.2,1
1085,"Melgaço",PT,ES,42.039192,-8.19663,"Celanova",ES,23.6,8
1100,"Mingun",PT,MM,22.041794,96.01882,"Mandalay",MM,10.0,0
1110,"Mojave",PT,US,35.05247,-118.173965,"California City",US,19.0,3
1138,"Motuca",PT,BR,-21.509586,-48.150383,"Rincão",BR,11.9,0
1139,"Mount Olive (Illinois)",PT,US,39.07222,-89.72717,"Staunton",US,8.7,2
1203,"Novo Laredo",PT,BR,-19.80238,-44.00698,"Ribeirão das Neves",BR,9.2,8
1224,"Oriente Médio",PT,CO,2.5224605,-76.39219,"Silvia",CO,10.4,0
1261,"Países Bálticos",PT,LV,56.917202,24.225681,"Dreiliņi",LV,3.1,1
1273,"Panmunjeom",KR,KP,37.955868,126.67701,"Kaesŏng",KP,10.9,8
1275,"Pantanal",BR,BO,-17.675068,-57.455338,"Puerto Quijarro",BO,35.1,2
1301,"Parque de uKhahlamba Drakensberg",PT,ZA,-28.200449,30.15621,"Glencoe",ZA,2.6,2
1304,"Parque Estadual de Vila Velha",PT,BR,-25.232994,-50.0117,"Ponta Grossa",BR,21.5,0
1320,"Parque Nacional de Comoé",PT,CI,5.1477404,-3.1658762,"Assinie-Mafia",CI,13.9,7
1321,"Parque Nacional de Garamba",PT,NI,12.104069,-86.2905,"Managua",NI,5.4,1
1322,"Parque Nacional de Gorilas de Mgahinga",PT,GB,54.84213,-5.11632,"Stranraer",GB,8.8,5
1323,"Parque Nacional de Kahuzi-Biega",PT,GB,54.84213,-5.11632,"Stranraer",GB,8.8,1
1324,"Parque Nacional de Kakum",PT,NI,12.104069,-86.2905,"Managua",NI,5.4,1
1325,"Parque Nacional de Luangwa Sul",PT,GB,54.84213,-5.11632,"Stranraer",GB,8.8,1
1326,"Parque Nacional de Manovo-Gounda St. Floris",PT,FR,50.62824,2.57045,"Merville",FR,5.3,4
1328,"Parque Nacional de Mole",PT,IT,45.15673,7.16957,"Bussoleno",IT,2.7,1
1329,"Parque Nacional de Murchison Falls",PT,UG,2.27653,31.68908,"Pakwach",UG,29.7,2
1330,"Parque Nacional de Nahanni",PT,NI,12.104069,-86.2905,"Managua",NI,5.4,7
1331,"Parque Nacional de Niokolo-Koba",PT,GN,13.07712,-12.72712,"Youkounkoun",GN,74.3,1
