nome,pais,latitude,longitude,real,tipo,cidade_mais_proxima,distancia_km,categoria
Taumarunui,NZ,-38.8833,175.2667,Sim,cidade,Te Kuiti,65,cidade
Udo Island,KR,33.5067,126.9500,Sim,ilha,Jeju City,35,ilha
Narsaq,GL,60.9167,-46.0500,Sim,cidade,Narsarsuaq,45,cidade
Skógar,IS,63.5333,-19.5000,Sim,vila,Hvolsvöllur,25,vila
Supetar,HR,43.3833,16.5500,Sim,cidade,Split,20,cidade
Ourika Valley,MA,31.2333,-7.7833,Sim,vale,Marrakech,35,vale
Kilmallock,IE,52.4000,-8.5667,Sim,cidade,Limerick,30,cidade
Gränna,SE,58.0167,14.4667,Sim,cidade,Jönköping,40,cidade
Arvidsjaur,SE,65.5833,19.1667,Sim,cidade,Luleå,160,cidade
Farellones,CL,-33.3508,-70.3139,Sim,estação de esqui,Santiago,36,estação de esqui
Twizel,NZ,-44.2500,170.0833,Sim,cidade,Omarama,50,cidade
Waipara,NZ,-43.0500,172.7500,Sim,cidade,Christchurch,60,cidade
Ranfurly,NZ,-45.1333,170.1000,Sim,cidade,Dunedin,110,cidade
Dargo,AU,-37.4667,147.2500,Sim,cidade,Bairnsdale,80,cidade
Valle Nevado,CL,-33.3500,-70.2500,Sim,estação de esqui,Santiago,60,estação de esqui
La Parva,CL,-33.3167,-70.2833,Sim,estação de esqui,Santiago,50,estação de esqui
Y Ty,VN,22.6000,103.8500,Sim,vila,Lao Cai,80,vila
Mount Lemongan,ID,-8.0167,113.3333,Sim,vulcão,Probolinggo,40,vulcão
Simunul,PH,5.8000,120.8500,Sim,município,Bongao,30,município
Talbingo,AU,-35.5667,148.3000,Sim,cidade,Tumut,45,cidade
Kosciuszko National Park,AU,-36.0722,148.3486,Sim,parque nacional,Jindabyne,30,parque nacional
Bergslagen trail,SE,59.5000,14.5000,Sim,trilha,Örebro,50,trilha
Kurjenrahka National Park,FI,60.7206,22.3836,Sim,parque nacional,Turku,30,parque nacional
Padjelantaleden,SE,67.7182,17.4714,Sim,trilha,Kvikkjokk,0,trilha
Wasur National Park,ID,-8.5000,140.8333,Sim,parque nacional,Merauke,30,parque nacional
Mokala National Park,ZA,-29.1667,24.5000,Sim,parque nacional,Kimberley,80,parque nacional
Laugavegur,IS,63.9833,-19.0667,Sim,trilha,Þórsmörk,0,trilha
Rangitoto Island,NZ,-36.7833,174.8667,Sim,ilha,Auckland,25,ilha
Tiritiri Matangi Island,NZ,-36.6000,174.8833,Sim,ilha,Auckland,30,ilha
Mount Gede Pangrango National Park,ID,-6.7833,106.9833,Sim,parque nacional,Bogor,40,parque nacional
Bruce Peninsula National Park,CA,45.2500,-81.5000,Sim,parque nacional,Owen Sound,50,parque nacional
Sirmilik National Park,CA,73.0000,-81.0000,Sim,parque nacional,Pond Inlet,80,parque nacional
Ivvavik National Park,CA,69.0000,-140.0000,Sim,parque nacional,Inuvik,100,parque nacional
Mealy Mountains National Park,CA,53.5000,-58.0000,Sim,parque nacional,Happy Valley-Goose Bay,50,parque nacional
Tuktut Nogait National Park,CA,68.5000,-122.0000,Sim,parque nacional,Paulatuk,30,parque nacional
Paparoa National Park,NZ,-42.1000,171.3333,Sim,parque nacional,Greymouth,30,parque nacional
Eungella National Park,AU,-21.1333,148.5000,Sim,parque nacional,Mackay,80,parque nacional
Vinicunca,PE,-13.8667,-71.2833,Sim,montanha,Cusco,90,montanha
Riung,ID,-8.4167,121.0333,Sim,cidade,Bajawa,60,cidade
Hotel Memling,DRC,-4.30434,15.31223,Sim,hotel,Kinshasa,0,hotel
Cecil Hotel,Egypt,31.20073,29.89847,Sim,hotel,Alexandria,0,hotel
Cairo Marriott,Egypt,30.05682,31.22448,Sim,hotel,Cairo,0,hotel
Marriott Mena House,Egypt,29.98586,31.13275,Sim,hotel,Giza,0,hotel
Sofitel Winter Palace,Egypt,25.6965,32.63737,Sim,hotel,Luxor,0,hotel
Sofitel Legend Old Cataract,Egypt,24.0821,32.8873,Sim,hotel,Aswan,0,hotel
Fairmont The Norfolk,Kenya,-1.27834,36.81583,Sim,hotel,Nairobi,0,hotel
La Mamounia,Morocco,31.62193,-7.99771,Sim,hotel,Marrakech,0,hotel
Polana Serena Hotel,Mozambique,-25.96905,32.5972,Sim,hotel,Maputo,0,hotel
Mount Nelson Hotel,South Africa,-33.93209,18.41167,Sim,hotel,Cape Town,0,hotel
The Royal Hotel,South Africa,-33.38326,18.89645,Sim,hotel,Riebeek-Kasteel,0,hotel
The Arusha Hotel,Tanzania,-3.37317,36.69447,Sim,hotel,Arusha,0,hotel
Hotel Majestic,Tunisia,36.80444,10.18000,Sim,hotel,Tunis,0,hotel
The Victoria Falls Hotel,Zimbabwe,-17.9307,25.8426,Sim,hotel,Victoria Falls,0,hotel
The Peninsula,Hong Kong,22.29529,114.17153,Sim,hotel,Hong Kong,0,hotel
The Grand Hotel,Taiwan,25.07733,121.52578,Sim,hotel,Taipei,0,hotel
Peace Hotel,China,31.24108,121.48458,Sim,hotel,Shanghai,0,hotel
Taj Mahal Palace Hotel,India,18.922,72.8333,Sim,hotel,Mumbai,0,hotel
Raffles Hotel,Singapore,1.29457,103.85401,Sim,hotel,Singapore,0,hotel
Imperial Hotel Tokyo,Japan,35.67239,139.75891,Sim,hotel,Tokyo,0,hotel
Hotel Okura Tokyo,Japan,35.66694,139.74417,Sim,hotel,Tokyo,0,hotel
Westin Josun Seoul,South Korea,37.56447,126.98004,Sim,hotel,Seoul,0,hotel
The Shilla Seoul,South Korea,37.566,126.9784,Sim,hotel,Seoul,0,hotel
Grand Hotel Beijing,China,39.91522,116.41362,Sim,hotel,Beijing,0,hotel
Taj West End,India,12.98453,77.58458,Sim,hotel,Bangalore,0,hotel
The Imperial New Delhi,India,28.62451,77.21725,Sim,hotel,Delhi,0,hotel
Galle Face Hotel,Sri Lanka,6.92061,79.84608,Sim,hotel,Colombo,0,hotel
Mandarin Oriental Bangkok,Thailand,13.72361,100.51444,Sim,hotel,Bangkok,0,hotel
Hotel Metropole,Belgium,50.85139,4.35361,Sim,hotel,Brussels,0,hotel
Claridge's,England,51.5125,-0.1475,Sim,hotel,London,0,hotel
Shelbourne Hotel,Ireland,53.3403,-6.2527,Sim,hotel,Dublin,0,hotel
Hotel Ritz Paris,France,48.8683,2.3289,Sim,hotel,Paris,0,hotel
Hotel de Crillon,France,48.8673,2.3214,Sim,hotel,Paris,0,hotel
Amstel Hotel,Netherlands,52.3625,4.9053,Sim,hotel,Amsterdam,0,hotel
Savoy Hotel,England,51.5101,-0.1203,Sim,hotel,London,0,hotel
The Ritz London,England,51.5073,-0.1419,Sim,hotel,London,0,hotel
The Langham London,England,51.5168,-0.1435,Sim,hotel,London,0,hotel
The Balmoral,Scotland,55.9533,-3.1892,Sim,hotel,Edinburgh,0,hotel
Hotel Imperial Vienna,Austria,48.2017,16.3764,Sim,hotel,Vienna,0,hotel
Hotel Sacher,Austria,48.2042,16.3719,Sim,hotel,Vienna,0,hotel
Grandhotel Pupp,Czech Republic,50.2258,12.8803,Sim,hotel,Karlovy Vary,0,hotel
Hotel Adlon Berlin,Germany,52.5158,13.3775,Sim,hotel,Berlin,0,hotel
Bayerischer Hof,Germany,48.1417,11.5736,Sim,hotel,Munich,0,hotel
Hotel Gellert,Hungary,47.4833,19.0533,Sim,hotel,Budapest,0,hotel
Beau Rivage,Switzerland,46.2083,6.1556,Sim,hotel,Geneva,0,hotel
Badrutt's Palace,Switzerland,46.4978,9.8389,Sim,hotel,St. Moritz,0,hotel
Hotel Grande Bretagne,Greece,37.9763,23.7353,Sim,hotel,Athens,0,hotel
Hotel de Paris,Monaco,43.7392,7.4256,Sim,hotel,Monaco,0,hotel
Reid's Palace,Portugal,32.6478,-16.9078,Sim,hotel,Funchal,0,hotel
Pera Palace,Turkey,41.0258,28.9742,Sim,hotel,Istanbul,0,hotel
Grand Hotel Yerevan,Armenia,40.1833,44.5167,Sim,hotel,Yerevan,0,hotel
Hotel National,Russia,55.7575,37.6139,Sim,hotel,Moscow,0,hotel
Hotel Ukraina,Russia,55.7517,37.5661,Sim,hotel,Moscow,0,hotel
Grand Hotel Europe,Russia,59.9343,30.3356,Sim,hotel,St. Petersburg,0,hotel
Hotel Astoria,Russia,59.935,30.3139,Sim,hotel,St. Petersburg,0,hotel
Lord Nelson Hotel,Canada,44.6442,-63.575,Sim,hotel,Halifax,0,hotel
Le Chateau Frontenac,Canada,46.8118,-71.205,Sim,hotel,Quebec City,0,hotel
The Royal York,Canada,43.6456,-79.3805,Sim,hotel,Toronto,0,hotel
Banff Springs Hotel,Canada,51.1658,-115.5556,Sim,hotel,Banff,0,hotel
Chateau Lake Louise,Canada,51.4167,-116.2167,Sim,hotel,Lake Louise,0,hotel
The Empress Hotel,Canada,48.4217,-123.3681,Sim,hotel,Victoria,0,hotel
Hotel Nacional de Cuba,Cuba,23.1417,-82.3569,Sim,hotel,Havana,0,hotel
The Beverly Hills Hotel,USA,34.0811,-118.4139,Sim,hotel,Beverly Hills,0,hotel
Parker House Hotel,USA,42.3583,-71.0594,Sim,hotel,Boston,0,hotel
The Drake Hotel,USA,41.8917,-87.6247,Sim,hotel,Chicago,0,hotel
Palmer House,USA,41.8814,-87.625,Sim,hotel,Chicago,0,hotel
Waldorf Astoria New York,USA,40.7567,-73.9742,Sim,hotel,New York,0,hotel
The Plaza,USA,40.7642,-73.9735,Sim,hotel,New York,0,hotel
