user_id,item_id,score
1,svc-xfer-02,1
1,dest-0053,2
1,svc-act-09,3
1,dest-0059,2
1,svc-act-07,1
2,svc-cruise-04,3
2,svc-act-10,1
2,svc-cruise-02,1
2,svc-hotel-02,1
3,svc-act-02,4
3,dest-0016,1
3,svc-act-02,4
3,dest-0031,1
3,dest-0030,1
3,svc-xfer-03,2
3,svc-pkg-04,3
3,svc-hotel-02,1
3,dest-0005,3
3,svc-pkg-03,2
3,dest-0047,2
4,svc-cruise-01,2
4,svc-act-06,2
4,svc-cruise-03,5
5,dest-0022,2
5,dest-0008,2
5,dest-0016,1
6,svc-cruise-02,1
6,svc-act-08,1
6,dest-0027,2
6,dest-0044,1
6,dest-0059,1
6,dest-0055,3
6,svc-cruise-01,1
6,svc-cruise-03,1
6,svc-hotel-08,3
6,svc-cruise-04,1
6,svc-hotel-06,3
6,dest-0029,1
6,svc-hotel-01,3
6,svc-hotel-01,3
6,svc-pkg-05,1
6,svc-hotel-04,1
6,dest-0018,2
6,svc-cruise-01,3
6,svc-act-10,3
6,dest-0012,1
6,dest-0017,3
6,svc-hotel-08,2
6,svc-hotel-01,3
6,svc-act-08,3
6,svc-hotel-06,3
6,svc-pkg-05,2
6,svc-cruise-04,2
6,dest-0036,3
6,svc-hotel-04,2
6,svc-cruise-01,2
6,svc-act-03,3
6,svc-cruise-01,3
6,svc-hotel-06,2
6,dest-0036,1
6,dest-0027,1
6,dest-0054,3
6,svc-act-01,3
6,svc-act-03,4
6,svc-hotel-01,4
6,dest-0005,1
7,svc-act-08,4
7,svc-xfer-03,2
7,svc-act-08,4
7,dest-0056,1
7,svc-act-06,1
7,svc-pkg-05,3
7,svc-pkg-05,3
7,svc-pkg-05,4
8,svc-act-07,2
8,svc-xfer-03,3
8,svc-hotel-04,2
8,svc-act-04,1
9,svc-pkg-02,4
9,dest-0040,1
9,dest-0047,2
10,dest-0016,1
10,svc-hotel-02,1
10,dest-0030,1
10,svc-hotel-01,3
10,svc-cruise-01,2
10,svc-hotel-01,1
11,svc-act-05,1
11,svc-pkg-06,1
11,svc-hotel-03,2
11,dest-0027,1
11,dest-0040,1
11,dest-0055,2
12,dest-0016,2
12,dest-0057,1
12,svc-hotel-02,2
12,dest-0013,3
12,dest-0042,1
13,svc-hotel-03,4
13,dest-0048,3
13,svc-act-02,1
13,svc-cruise-01,1
13,svc-act-09,2
13,svc-hotel-01,3
13,svc-pkg-02,2
13,svc-cruise-04,1
13,svc-act-05,2
13,svc-cruise-02,1
14,svc-act-02,3
14,svc-pkg-04,4
14,dest-0046,2
15,svc-hotel-07,2
15,svc-cruise-04,1
15,svc-cruise-03,3
16,svc-act-07,2
16,dest-0059,2
16,svc-act-10,2
16,svc-act-01,3
16,svc-xfer-02,1
16,dest-0023,1
16,svc-pkg-06,2
16,svc-hotel-06,3
17,svc-act-06,1
17,svc-act-10,3
17,dest-0022,1
17,dest-0014,2
17,svc-act-09,2
18,svc-act-06,3
18,svc-act-08,2
18,svc-act-10,1
18,dest-0046,2
18,dest-0049,3
18,svc-act-09,1
18,svc-pkg-01,2
18,dest-0038,2
18,dest-0057,1
18,svc-act-06,1
18,dest-0035,2
18,svc-act-01,3
18,svc-pkg-06,4
18,dest-0008,1
19,svc-hotel-01,1
19,svc-act-05,1
19,svc-act-07,2
19,svc-pkg-02,5
19,svc-act-06,1
19,svc-act-10,3
19,svc-act-01,1
19,dest-0012,1
19,svc-act-02,2
19,svc-hotel-02,3
19,svc-hotel-03,4
20,svc-hotel-01,4
20,dest-0052,1
20,svc-hotel-06,2
20,svc-hotel-07,2
21,dest-0006,1
21,svc-xfer-03,2
21,svc-hotel-08,1
22,dest-0057,1
22,svc-pkg-03,2
22,svc-act-09,2
22,svc-pkg-02,3
22,svc-cruise-02,2
23,dest-0020,2
23,dest-0056,1
23,svc-pkg-04,3
23,svc-xfer-02,2
23,svc-act-02,4
23,dest-0039,3
23,svc-xfer-03,3
24,svc-act-02,1
24,svc-act-09,1
24,svc-hotel-06,3
25,svc-act-07,1
25,svc-hotel-01,1
25,dest-0044,2
25,svc-pkg-02,1
25,svc-xfer-02,2
25,dest-0020,1
25,svc-hotel-02,2
25,dest-0055,1
25,svc-act-05,2
25,svc-act-03,1
25,svc-act-05,2
25,dest-0053,1
26,dest-0035,2
26,svc-hotel-05,2
26,svc-pkg-05,2
26,dest-0060,1
27,svc-cruise-01,2
27,svc-hotel-06,1
27,svc-pkg-06,2
27,svc-pkg-05,3
27,svc-cruise-01,3
27,svc-cruise-01,3
28,dest-0043,2
28,dest-0002,1
28,svc-act-09,1
28,svc-cruise-03,2
28,svc-cruise-02,1
29,svc-act-08,5
29,svc-pkg-05,4
29,svc-hotel-08,2
29,svc-hotel-01,2
29,svc-pkg-03,3
29,svc-act-08,5
29,dest-0008,3
29,svc-hotel-08,2
29,svc-hotel-02,2
29,svc-act-08,5
29,dest-0024,3
29,svc-xfer-03,1
29,dest-0044,3
29,svc-xfer-03,2
30,dest-0024,2
30,svc-act-05,4
30,svc-pkg-06,4
30,dest-0029,2
31,svc-cruise-02,2
31,dest-0015,1
31,svc-cruise-04,2
31,svc-xfer-01,1
31,svc-hotel-02,1
31,svc-cruise-04,3
31,dest-0041,1
31,svc-act-04,1
31,svc-act-02,2
31,svc-cruise-02,3
31,svc-cruise-01,5
31,svc-cruise-03,3
31,svc-hotel-08,3
31,svc-cruise-04,2
31,svc-act-10,1
31,svc-act-01,2
31,svc-xfer-03,1
31,svc-act-08,1
31,svc-xfer-02,2
31,svc-cruise-01,4
31,dest-0045,1
31,dest-0057,2
31,svc-xfer-02,3
31,svc-cruise-04,3
