item_id,type,subtype,tags,nome,pais,continente,clima
dest-0001,destination,cidade,cidade|continental|América|MX|pt|cidade|continental|América,Tecomán,México,América,continental
dest-0002,destination,montanha,montanha|continental|América|BR|pt|montanha|continental|América,Água Branca,Brasil,América,continental
dest-0003,destination,praia,praia|mediterrânico|América|US|en|praia|mediterrânico|América,Milwaukee,Estados Unidos,América,mediterrânico
dest-0004,destination,montanha,montanha|continental|América|US|en|montanha|continental|América,Jackson (Wyoming),Estados Unidos,América,continental
dest-0005,destination,montanha,montanha|tropical|América|CA|en|montanha|tropical|América,Gatineau,Canadá,América,tropical
dest-0006,destination,montanha,montanha|continental|América|BR|pt|montanha|continental|América,Núcleo Casa de Pedra,Brasil,América,continental
dest-0007,destination,praia,praia|polar|América|BR|pt|praia|polar|América,São Gonçalo,Brasil,América,polar
dest-0008,destination,praia,praia|continental|América|BR|pt|praia|continental|América,Pirambu,Brasil,América,continental
dest-0009,destination,cidade,cidade|continental|América|US|en|cidade|continental|América,Coloma (California),Estados Unidos,América,continental
dest-0010,destination,praia,praia|continental|América|BR|pt|praia|continental|América,Assis,Brasil,América,continental
dest-0011,destination,montanha,montanha|continental|América|BR|pt|montanha|continental|América,Arara,Brasil,América,continental
dest-0012,destination,praia,praia|continental|América|BR|pt|praia|continental|América,Rio de Janeiro/Zona Norte,Brasil,América,continental
dest-0013,destination,praia,praia|tropical|Europa|XX|en|praia|tropical|Europa,Kotagiri,Internacional,Europa,tropical
dest-0014,destination,cidade,cidade|tropical|Europa|XX|en|cidade|tropical|Europa,Lira,Internacional,Europa,tropical
dest-0015,destination,cidade,cidade|continental|Europa|CZ|en|cidade|continental|Europa,Říp,República Checa,Europa,continental
dest-0016,destination,cidade,cidade|continental|Europa|XX|en|cidade|continental|Europa,Yusufari,Internacional,Europa,continental
dest-0017,destination,praia,praia|mediterrânico|Europa|XX|en|praia|mediterrânico|Europa,Sorrento,Internacional,Europa,mediterrânico
dest-0018,destination,cidade,cidade|continental|Europa|XX|en|cidade|continental|Europa,Igboho,Internacional,Europa,continental
dest-0019,destination,cidade,cidade|árido|Europa|XX|en|cidade|árido|Europa,Isalo National Park,Internacional,Europa,árido
dest-0020,destination,cidade,cidade|continental|Europa|XX|en|cidade|continental|Europa,Sylacauga,Internacional,Europa,continental
dest-0021,destination,praia,praia|continental|Europa|XX|en|praia|continental|Europa,Eastsound,Internacional,Europa,continental
